species,n,D,second_fraction,T,R1,R2,R12,SD_M1,SD_M2,mean_M1,mean_M2,p_white,p_yellow_orange,p_red_pink,p_blue_purple
Conoclinium betonicifolium,73,0.19778570088196656,0.0958904109589041,0.08369622603099491,0.19225034263445262,0.3571537120855244,0.549404054719977,0.12684883969382366,0.1728942388123992,-0.3617372128763398,0.3547547211752434,0.8904109589041096,0.0136986301369863,0.0,0.0958904109589041
Conopholis alpina,52,0.3106508875739644,0.19230769230769232,0.1256014092544669,0.17164255033530018,0.23213767364112517,0.4037802239764253,0.14682828818093763,0.17075367917084197,-0.16359910314446016,0.08914277099635172,0.19230769230769232,0.8076923076923077,0.0,0.0
Conospermum caeruleum,57,0.4038165589412126,0.2807017543859649,0.10489892012832042,0.17805993004800977,0.24391545226469136,0.42197538231270115,0.13666855666231534,0.15995770548859786,-0.20304453282383347,0.11003190057923531,0.2807017543859649,0.0,0.0,0.7192982456140351
Convolvulus elegantissimus,58,0.5826397146254458,0.3793103448275862,0.23136260355806196,0.16869766267835148,0.27471496564440534,0.44341262832275685,0.1975609537621823,0.252108646594783,-0.27652306108713903,0.19504498523151217,0.5172413793103449,0.06896551724137931,0.3793103448275862,0.034482758620689655
Cornus florida,49,0.21491045397750952,0.12244897959183673,0.14222765213471175,0.29582949406696796,0.42904030137677074,0.7248697954437386,0.20512224251246988,0.24702508928444342,-0.3753170781754704,0.39609376810145985,0.8775510204081632,0.12244897959183673,0.0,0.0
Cornus sanguinea,49,0.14993752603082044,0.08163265306122448,0.0857102561973476,0.615286056602573,0.16143862583057952,0.7767246824331524,0.22964391031782722,0.11763054866864601,-0.12433652767865752,0.42812761040331226,0.9183673469387755,0.08163265306122448,0.0,0.0
Cornus suecica,56,0.035076530612244916,0.017857142857142856,0.04305786361954084,0.6980641803616222,0.13203696401949014,0.8301011443811123,0.1733699866634859,0.0754004614673506,-0.43749691076344693,0.45932465494283303,0.9821428571428571,0.017857142857142856,0.0,0.0
Corydalis aurea,70,0.028163265306122343,0.014285714285714285,0.04916305166751479,0.10095261699698571,0.18371590538016064,0.28466852237714635,0.07044954737536388,0.09503701672690014,0.12632883444894785,-0.12095567331600801,0.014285714285714285,0.9857142857142858,0.0,0.0
Cotula coronopifolia,82,0.024092801903628835,0.012195121951219513,0.08355161252604915,0.0824579326695387,0.12806877805297817,0.21052671072251686,0.0830029712727463,0.10344251021976902,0.0793254166986469,-0.14949112315694374,0.012195121951219513,0.9878048780487805,0.0,0.0
Crepis biennis,61,0.03224939532383764,0.01639344262295082,0.061086732392268486,0.15977203409686946,0.2402452360166861,0.4000172701135556,0.09879246677072025,0.12114370161534889,0.11730636738801639,-0.10395620544758898,0.01639344262295082,0.9836065573770492,0.0,0.0
Crepis sancta,67,0.05791935843172191,0.029850746268656716,0.10188656058797466,0.10418756187746497,0.12472918351926929,0.22891674539673426,0.10303063784982454,0.11273077447496155,0.09093576189875896,-0.1634837280513051,0.029850746268656716,0.9701492537313433,0.0,0.0
Cryptantha barbigera,48,0.2230902777777778,0.10416666666666667,0.12875923769599384,0.44411750515794346,0.3116610717366112,0.7557785768945546,0.23913224669956873,0.20032284446942766,-0.3378048130558637,0.42983523868825424,0.875,0.10416666666666667,0.0,0.020833333333333332
