species,inat_taxon_id,raw_results,locally_eligible_before_exclusion,local_rejected,wrong_taxon,prior_excluded,fresh_duplicate,after_observer_cap,retained,full_fixed_n,request_error,prospective_rank,selection_hash
Clematis paniculata,194530,200,200,0,0,0,0,166,100,True,,181,0cb267ea4d07305106cc9b4476eba0aa5309cfe696b88c2f81e48f53cb33e124
Chaenactis glabriuscula,57923,200,200,0,0,0,0,172,100,True,,182,0cd7ede23f89200dccf0bfd978b6a2223cd8514bad798464042543d7815afd51
Pallenis spinosa,633980,200,200,0,0,1,0,162,100,True,,183,0ce9b08a3176a18409b68f33676c6e87cc6cb6dc929a4312b70d07c77f4679d8
Oxalis latifolia,61839,200,200,0,0,1,0,182,100,True,,184,0cec946a516f57eca81774b83777d39c7d5d07c9b084cd68dbf224502b4ee1b7
Carex flacca,159951,133,133,0,0,1,0,105,100,True,,185,0d1332d6c27348c96aceb8e02ebee470d726e08719e064c18c2b8d949629e5b5
Pseudoturritis turrita,334304,200,200,0,0,1,0,169,100,True,,186,0d2543c175c6f3bb86af92bc40017b0baa0910836da2dbab4dfd71febd96da04
Salpichroa origanifolia,78954,200,200,0,0,2,0,152,100,True,,187,0d2a0d1412c8836f4f120f0d3aae9559570297566b4e09c5f9106e867fed15bc
Pimelea linifolia,321037,200,200,0,0,0,0,187,100,True,,188,0d351677f254cf45458650abe8d79df4470290053f16dad773e0df89f041d85c
Oenothera drummondii,165793,200,200,0,0,3,0,175,100,True,,189,0d3882ad926ab34d0bb5bba2bc75e3da9673c1b77f0b74884af9571bb94b7329
Rivina humilis,133291,200,200,0,0,3,0,178,100,True,,190,0d3edbd77e12bdebbd3a310a6b50da945f638b18321e56bbe1e47df684f8cd53
Xanthosia pilosa,321183,200,200,0,0,0,0,176,100,True,,191,0d616933ace4d9062bbb434c8f81196a078208aac51f0665824d70ddb58610ed
Fragaria vesca,50298,200,200,0,0,0,0,199,100,True,,192,0d65e65460f9b2fe104547abb99bed5c1c11a490047d531a16385ff0be678202
Smilax aspera,82903,165,165,0,0,1,0,114,100,True,,193,0d8017f5a2983f28ed0c3ce5e0d44484d290d6d5e2b8173f6ea16ab4da9c852d
Aristolochia rotunda,333672,128,128,0,0,1,0,104,100,True,,194,0d90342a58a7f1f747ed5fcd815c9cc717eee4e075074b5e1db299f2338af228
Dictyanthus pavonii,277452,109,109,0,0,2,0,100,100,True,,195,0da9ffbaa0c46207c8aba9c7b88c0a8c30f1602debf60babd1e65d7ec4dd4b50
Dianthus barbatus,60015,200,200,0,0,0,0,192,100,True,,196,0db84a6f37e74fbff2c6a01baefbb3927e23dd5e505c5ce2128493a34eeaf319
Collinsonia canadensis,130898,200,200,0,0,1,0,198,100,True,,197,0dca5323cf805f2922255d2376c505ae2c6441c384d346d56d79ac3e2c39075d
Clinopodium coccineum,160754,200,200,0,0,1,0,178,100,True,,198,0ddf591f1a6b0cf5f87e8d58a6029a91351fda2be9e97586c3815be471aba7e4
Thysanotus tuberosus,122043,200,200,0,0,0,0,167,100,True,,199,0dee8c29ffae0f2fb92cdda9ebf067e87e952ec3603d4154f037f14963ac9410
Phalaris arundinacea,63337,200,200,0,0,3,0,172,100,True,,200,0df56b12b387b3725fec45aaa4b4d7b9404d135832561f59a9b9ecae7b92e59e
Arctium tomentosum,124815,200,200,0,0,0,0,161,100,True,,201,0e03dd01e9749a44cc3bfeecfca2994f8d1de1bda95ef3c45f687ea18e458864
Abronia maritima,75244,162,162,0,0,1,0,150,100,True,,202,0e0e7ef6598f592adf775a9fb665f019f7b61353e6350ef5b7287e803349e314
Hyptis mutabilis,130175,200,200,0,0,1,0,148,100,True,,203,0e124e3d67f72499f002caa6c7945c9a781df8992dfa5ea5655be9b9c02f0be8
Libertia micrantha,403453,166,166,0,0,2,0,132,100,True,,204,0e4053cd64d7c0177640344d8dbd879f1679c406d10e52176f3ae276d4cd7983
Ceanothus thyrsiflorus,56617,200,200,0,0,0,0,168,100,True,,205,0e4f00cc80c67a439d88378865cc60cc2dfeec5dfd5e5c84e3256f9ecd8f82bc
Vitex lucens,338187,190,190,0,0,2,0,129,100,True,,206,0e4f74d3c6b1a5d71d8b01716f4385dc1041fcb2e2d1119adf610db507fcf974
Clematis flammula,335853,200,200,0,0,2,0,163,100,True,,207,0e4ff1893d4e9add6c3899d40d8a6a8669922ecfc826e694977f31640fe3aeaf
Rudbeckia hirta,62741,200,200,0,0,6,0,189,100,True,,208,0e5252ce4c8803985a41d800f4f3fb8a8bd3553bd928898d1f6ba78de301eb30
Houttuynia cordata,157642,200,200,0,0,2,0,182,100,True,,209,0e9813816187418ca2abdd8092d68fc5a65b848648f1f1acd0e5871b5f0081b5
Stachys drummondii,169314,200,200,0,0,1,0,153,100,True,,210,0e9846158d02d69526bc4781b442f0a94e9d7f003f71f0eef52e2943267d47fb
Campanula erinus,82660,200,200,0,0,2,0,120,100,True,,211,0ea7f00627b511c8459e321c5c7ed3142de31c3c163932c5c75557ab5c02bc14
Medicago minima,77971,176,176,0,0,1,0,139,100,True,,212,0eaf8f1f5e31e3943aaea0297d815abe4ea44aae20cbf08e2eb8275e375ee33d
Lycium carolinianum,133327,200,200,0,0,0,0,192,100,True,,213,0eb5d112b3666d0e6b27a7815d8984264d609d6d947507d5a2dab70e606827a5
Trichostema coeruleum,1497465,193,193,0,0,1,0,167,100,True,,214,0ebe7df4ea79370f6500a5e09f3b2a76a745495a6f9a21f35dac898444a1e47f
Calyptridium umbellatum,127100,189,189,0,0,1,0,158,100,True,,215,0ec0acae1dfbb914c48c5e7623c5e607218cbfe903c36b9b10222b899a098e09
Oxalis hirta,165991,200,200,0,0,1,0,160,100,True,,216,0ef3866155de1880a37e4aa587be441993cae637ac5adda2a9cba67d75d9905b
Penstemon grinnellii,78402,200,200,0,0,1,0,187,100,True,,217,0ef9c585c10515b39ea93c7fd89af3fe2899cdffbe146683d9c0c824bb33e558
Phyllanthus polygonoides,62355,182,182,0,0,1,0,117,100,True,,218,0f0981f8c3b2c00ef99ecff0baf33431af16bd77930aa86b5f9853d0bb86d0f8
Pavonia lasiopetala,166219,200,200,0,0,1,0,186,100,True,,219,0f09aa9e2128b09322ddfc3b349472a7476dd1face7ef4cf8622ce5b994980ec
Machaeranthera tanacetifolia,77920,200,200,0,0,2,0,151,100,True,,220,0f0c4a68ab9f75e08a7de80753a1ecced055f7385d14b0f1389b03f63a552b85
Euphorbia polycarpa,58144,200,200,0,0,1,0,130,100,True,,221,0f0ee46180b07f527b8b3077e5d5f3c974adf05be91d8838e0d6d1aab7009818
Amaranthus fimbriatus,75394,200,200,0,0,2,0,155,100,True,,222,0f3133ab0315b1916593a2f08b239e6ea85e81f36239b8818a3b6f15668608f7
Eschscholzia parishii,77085,200,200,0,0,0,0,163,100,True,,223,0f34324d44a2ebc8cee54d1caaa029f963344cc535115d76f60711c5bc561449
Pulsatilla vernalis,60905,139,139,0,0,1,0,119,100,True,,224,0f4d555efb57ac4c406046bbda58e424de375b4a81113eb993082e6fa54d7e5d
Onobrychis viciifolia,55441,200,200,0,0,1,0,190,100,True,,225,0f6b88608f319c068b7905fa534201d7f63f434a6e797648baa9f94d8fb7ebc0
Malvella leprosa,58203,200,200,0,0,0,0,186,100,True,,226,0f838577dc594c2fdf990660dde6ac5205bca67c09dcd9e49d865b107d66dc0a
Arthropodium milleflorum,522233,150,150,0,0,2,0,110,100,True,,227,0f951804be0b900a01a1a68bb3de54140e7d5ee08058fedda277ae7994c7f879
Hydrocotyle bonariensis,163871,200,200,0,0,28,0,171,100,True,,228,0f9c7a4ca9dc689f8ad12eb98046d7a8c408e4fe656ada21790e4480591d7a59
Castilleja chromosa,76139,200,200,0,0,0,0,175,100,True,,229,0fb075a26dbe8c5160a70c0fb0e7cc8e519f08d02783a0f08915a7e7aeb30ed6
Parkinsonia florida,63603,200,200,0,0,2,0,173,100,True,,230,0fb389479ea7fde1102a13e27fa83227b5ea70eefcd64917687fdbc23c6a7171
Aphyllon uniflorum,802714,200,200,0,0,0,0,193,100,True,,231,0fb8ec75d7f615078208414ac5830065551638ae35cba6c94f04a987a9ee9bdd
Gentiana alba,163223,132,132,0,0,1,0,115,100,True,,232,0fbac702683d1e3e64b11732539e36fde20500329e88db1f8f21f1395e7a0828
Lathyrus littoralis,61005,135,135,0,0,1,0,127,100,True,,233,0fc779d34894d117f1589007602f614afe138e434f77c46d80ac7cbed2d39eb5
Myosotis scorpioides,49130,200,200,0,0,0,0,174,100,True,,234,0fc8e0f56135f64544132a388ec49b4a66fb23be9fd2ad70b173805a2031247a
Polemonium caeruleum,51704,200,200,0,0,2,0,148,100,True,,235,0fcf5b2d0e98d60893ae8aa2ed1abef232c5d69c7e205344c97ec6baafd90f6f
Geranium thunbergii,163266,200,200,0,0,1,0,144,100,True,,236,0ff05c7fd07428ecbdbd8471f13e322e7949b0229fbbf33936783fca5961bbd3
Synandra hispidula,169498,200,200,0,0,0,0,187,100,True,,237,1008c2062f915609009f5734d12ff25625e31b9241d8f06be2ef681a18a60900
Asclepias humistrata,128756,200,200,0,0,0,0,181,100,True,,238,101f2e65e9f671cd5c93071a67f5173efdaafb68d6cc86cadc1745b9a227ebc9
Asclepias eriocarpa,58796,200,200,0,0,0,0,168,100,True,,239,102324522cee11cf355014dd6035f7c332367049506c809adc7160c14175fb7e
Lilium bulbiferum,223665,200,200,0,0,1,0,177,100,True,,240,106267cca879c56b1f473a406a9d79c3cc27cf7732f4bf7b7b54a7a4245f3dd7
Asperugo procumbens,75605,200,200,0,0,0,0,192,100,True,,241,109452a054b9684b64a37da1a51263779759f41c8b8a2b7900253851fa640001
Asarum canadense,56325,200,200,0,0,1,0,145,100,True,,242,10a386de242b34c9515cec5359e660ef72a8bcd2e693cd6df1ee0b01fd88fe14
Primula veris,55819,200,200,0,0,1,0,186,100,True,,243,10a4f1a8a21d2724ecc959e6bb2ce4c7b2477830b8185f337c336d231d7bdc89
Persoonia linearis,321204,144,144,0,0,2,0,123,100,True,,244,10ab93ca1cc1abdaec61428c811b348a4fbecb642a3843aa4505d1a71bf6f61f
Cassytha glabella,323804,200,200,0,0,2,0,109,100,True,,245,10ac7b9140044662e117070eaa527c49d7e575085b5ffc2bbba8ee87975055e7
Darmera peltata,67696,117,117,0,0,1,0,109,100,True,,246,10b67bc7fcaa4cdbd03d674ed1a6cdfed76bc093d921f81c21f9868b2099c8c2
Prunus serotina,54834,200,200,0,0,1,0,195,100,True,,247,10c0e27eb58770f7095a458fbce29f0042ae86b428d404038e61d68fa4dd29b6
Coreopsis rosea,160904,145,145,0,0,1,0,102,100,True,,248,10c8ff378a59506164b1b55f9f1ef19bf5b2b89fb19d630d8d4017aed2dd9eb5
Malosma laurina,64122,200,200,0,0,0,0,144,100,True,,249,10df23bfc7c704abc75f6fd4cd82c17343c31bf56f234e073d41acfcb4e3167b
Lathyrus sylvestris,82740,200,200,0,0,2,0,188,100,True,,250,10e26fbf408d47d30f03a2eb9cc1524e601e9a13667e22442c6c9df60c363674
Coreopsis verticillata,129322,156,156,0,0,1,0,121,100,True,,251,10e2870b630a0a990667731a6959fb11df2c55817f04bf4a0778be84a4a4a8c7
Waldsteinia fragarioides,894458,200,200,0,0,0,0,183,100,True,,252,110266f896ffee30747a3fce5aaa40507cd08ceae2b6c363cefe5ef4ba9363be
Rosa laevigata,83066,200,200,0,0,2,0,178,100,True,,253,11097da26227b93fec0d1a989f011fa894567213f4a7aa916df8b61ccdff0b69
Diplacus brevipes,771814,200,200,0,0,1,0,179,100,True,,254,110d3bf1f535e09ec3b3bfc6a1df5c75a2d77920a7f1d529d15b8471936d3d5c
Encelia californica,64141,200,200,0,0,0,0,172,100,True,,255,11445d42c85bdf6425df3a4baf0b36b47c2922032b8bad945efca0324c329864
Olneya tesota,78256,122,122,0,0,1,0,111,100,True,,256,114a7d756f42caf5cefc6f4b9710d63221bf401a5170e47956cd407baf7391c8
Lotus creticus,337708,200,200,0,0,0,0,134,100,True,,257,115bf404591acf05857f71c93a72b8b337a2239a77b8a78aee96183b7d8fa2d0
Osmorhiza longistylis,130368,200,200,0,0,0,0,193,100,True,,258,116d7c2e8369e5b443f657d349a86ea5e2d040ca6e8b597f5722705565856c06
Echium wildpretii,147196,115,115,0,0,5,0,100,100,True,,259,1171e0a19f5e9cd99f62d16f8ba4fe6216ead51306bfc8640e8078ade7f8f10e
Narcissus pseudonarcissus,55848,200,200,0,0,1,0,185,100,True,,260,1172c5cf7266c4f994550a59219edb62cbc1930fab4cefee0157070e6faa5eef
Viola silicestris,320848,136,136,0,0,1,0,107,100,True,,261,11813f2469b07217a4d425816affa8eefaa1c7f01d6e58d836206a219a6f2038
Potentilla hebiichigo,460193,200,200,0,0,1,0,158,100,True,,262,1182e0a1cc1039bba998367abf96b57c32ce13707f871de641cea899bd552e27
Gaillardia aristata,77183,200,200,0,0,43,0,147,100,True,,263,11896c67ddf43522364aa48e3ede9597ff3485ef7277e3061149838afbe0245b
Coronidium elatum,353943,127,127,0,0,1,0,120,100,True,,264,119d3299b16ae23dc7697b9902e8d1de5d97e840e7b775b2f9e40489d956a9dc
Keckiella antirrhinoides,62062,162,162,0,0,1,0,149,100,True,,265,11a4f0c14535efd0ce31341b38e72a54dc8b0898e3163bd1db79668a0cac8e58
Calochortus clavatus,58359,200,200,0,0,1,0,169,100,True,,266,11d6e29c59022e155963b854952aab49564c4c94af66213d5d9c861e83edda79
Mesembryanthemum cordifolium,589815,200,200,0,0,2,0,191,100,True,,267,11e0e16b951728ac74ab61de8aa27d9836a529f1244095ad2db6fa90776fb69c
Teucrium laciniatum,169650,123,123,0,0,1,0,112,100,True,,268,12212f8519f1b165e528cb0caa8f2fe36583028f6f318a6615fa79eae9b01d32
Trifolium microcephalum,58911,200,200,0,0,1,0,136,100,True,,269,1230dadb6af58f41a96ce078e96179776786c6931b90345dac0762c389c91d0e
Cyclamen persicum,341141,200,200,0,0,6,0,125,100,True,,270,123b85e6c32e4718749ce2a6080cf2f76d03fd535c06b30161393d33ff87fa0e
Lithophragma affine,50803,200,200,0,0,1,0,145,100,True,,271,125a44de37734924cd079f670595d62410b5408c59a4f328685dff13b6d2c799
Cyclamen purpurascens,131847,200,200,0,0,0,0,181,100,True,,272,126243a989ed240b57d4a33b2b7ebb70bfba97623121c3538943655c8dd66a9d
Salvia roemeriana,168395,200,200,0,0,1,0,138,100,True,,273,1272eedb62d41b34985f5542cd6d2fbc4852a7e58622ac17e925efab150d9bf1
Simsia calva,169002,182,182,0,0,2,0,141,100,True,,274,127f459a6c740d5c6f6d420a91609afd6549aaa15eba28e151c4970852df3f96
Ceratotheca triloba,160359,200,200,0,0,1,0,174,100,True,,275,12858f52a230d6afad3b0e5d23f6378a0aaac15b153f21e266f514f9e86bc21a
Phycella cyrtanthoides,533500,142,142,0,0,1,0,127,100,True,,276,128cebb1d759274275baf0eb35877a4252281b83db7cf54db53a4f7bb7c050ab
Trachymene pilosa,511206,200,200,0,0,2,0,131,100,True,,277,128efe77a2a718aa71eb23c43cd9f5056e21771767804935e2923f28199fcc18
Lantana montevidensis,77624,200,200,0,0,3,0,164,100,True,,278,129592bb3e70dbf21781f1951dfc05aa620cdb109dd9548068143cfc219c7bda
Crassula multicava,76464,200,200,0,0,2,0,179,100,True,,279,12b05a3280d520b9faa2294b30bd882de20b55d652d1cd89771b8cc8930f1147
Impatiens parviflora,51736,200,200,0,0,0,0,158,100,True,,280,12b7b1a7a013ec4b26c281e4d17d78196e49103b5c413f345a1d277e67ac1c07
Phlox pilosa,127020,200,200,0,0,0,0,187,100,True,,281,12ccf0c5abc6fdef8800fab832e320c5befb6e12f7ce34245fae2c548b7fed2b
Symphyotrichum laeve,129607,200,200,0,0,0,0,172,100,True,,282,12d659c0830066cd03cfafb55fa50e41fef3c308bb51466af8cff491b3f21498
Asarum shuttleworthii,1455144,181,181,0,0,1,0,144,100,True,,283,12ecdb007ad9924e3779fa38e0cc0347f466430be7d02f56a6e445475a9d4808
Viola canina,124359,200,200,0,0,2,0,174,100,True,,284,12f6fc908e74531a22ff91fe2124b1cbf5a6db30b058806ffc7fd1e24374e35d
Lycopus americanus,60206,200,200,0,0,1,0,162,100,True,,285,12fd282f2f027114b28d456e50ba042eb17132a26deee51dfe1419703bf39088
Acacia pycnantha,75253,200,200,0,0,2,0,105,100,True,,286,13105223b71bdad5ac63ceb7a8367ef25afd1a585d3d21f78be201f3eee71d3a
Laportea canadensis,119802,200,200,0,0,0,0,183,100,True,,287,1314610650e273f96d5c4d10e9b73cd071c86d6f07d082caad23eddeb5adfe58
Digitalis grandiflora,123625,200,200,0,0,0,0,181,100,True,,288,1337bf2550e44fc31a906130c9d28ed9b94ac3d94364f34ad6d63a4e94b522f7
Hippobroma longiflora,154827,200,200,0,0,25,0,173,100,True,,289,13490c1921ad599f11927ca0d7e8226e1e5462d93e21cc343d4215eea754b987
Fritillaria pudica,77177,200,200,0,0,33,0,153,100,True,,290,1352257ec20c0341d8b1fe711f44b28b83170e08367a9792e19a00d939f3cebc
Thelymitra antennifera,323935,200,200,0,0,3,0,137,100,True,,291,13590a10c6fa98ee63172491ac389d347590d4d1aed53af668d4fab4ca2c1388
Flaveria trinervia,77154,200,200,0,0,3,0,124,100,True,,292,136e19dc0c8e5db4691a07623b65c3d35b2aa976ac07c4e36bf07057b20fd2ad
Sesbania herbacea,79064,166,166,0,0,1,0,149,100,True,,293,136ee2268ccdf7bd0411ed9b9dec2203ed489150e91a8205fe5d69d8e9e5c645
Desmodium intortum,139181,200,200,0,0,23,0,159,100,True,,294,13781bfd9f760e5275d0c21446cd2adebd7ccdd0668e571feb3c052163db638e
Senecio angulatus,363595,200,200,0,0,0,0,142,100,True,,295,13907ccbfe84cfaef26f84796609a8acf9f665cbcb5c80520adc8ab0d782e619
Opuntia littoralis,78266,170,170,0,0,2,0,154,100,True,,296,1391ba709ab051273509829532d415996838cf95c9789c1d6c4d172451700dfa
Erythranthe microphylla,453717,200,200,0,0,1,0,173,100,True,,297,13a1d3f3137d4bd896c64ab7cc4a07d7904a1c19c6d7d82ac824f6242e6fcf73
Anethum graveolens,75445,200,200,0,0,2,0,176,100,True,,298,13ced3610f15aacb8e3e0ecda24d6dcc3a71f7fe755b5eb9f0fe87127d18eb8e
Sesbania punicea,79065,200,200,0,0,1,0,180,100,True,,299,13d6868fd595f32ef29491375889f48f9460eb1044d1ebeedcd9d1d83c935c8e
Caulanthus inflatus,57853,131,131,0,0,1,0,104,100,True,,300,13e83976ab699a989558711b968cfa9fcc94e5405f5b82a9cb3232313dfaef29
Eriophyllum lanatum,77049,200,200,0,0,0,0,194,100,True,,301,13fbee875a1271ebaf4e1b5ee620a376dc7dbe32e50ef10c06320b0718491900
Scutellaria lateriflora,79017,200,200,0,0,0,0,163,100,True,,302,14027b7cf9d54e2a9feca877d86c7e147174449f05c3d273d431274ce1d579d2
Spiraea japonica,125790,200,200,0,0,0,0,199,100,True,,303,140aef865519130ec5a1eac1e63d613875527d9e3a00335d6827649fdc06b085
Melilotus officinalis,57066,200,200,0,0,1,0,189,100,True,,304,141928c6156186507dc08ca73d7ddc3f8f858009074a8d218e927b3bc00588df
Rubus allegheniensis,82110,200,200,0,0,0,0,174,100,True,,305,142b309ed26d396c025f80652846bf58bcbe39e85b25db3f0f7b8b041020ff7f
Oxalis heterophylla,567576,200,200,0,0,0,0,110,100,True,,306,142fe95b07021715108a95b3b78fd4d073718fb57472a603cf6d8c6497da7cb2
Delphinium recurvatum,58305,124,124,0,0,1,0,109,100,True,,307,144cae96829f11f0d50c95af7b278492e55a86ad81f109f3497cf9090af3f07a
Boronia ledifolia,83389,200,200,0,0,1,0,138,100,True,,308,14569706e6869d1ab1e8904b243c731754ebdb014d47200c4b1e10697a6736e5
Symphytum caucasicum,245575,186,186,0,0,2,0,153,100,True,,309,146948822cb9e49a1ed7b37c5e13a3e0428efa514d3a809dbac0379ba7395588
Euphorbia corollata,81824,200,200,0,0,0,0,173,100,True,,310,1475cfe0fcdfd4cb06abc82f54f69947ccb68af710e012ef61561e4d62f334e4
Indigofera hirsuta,131578,138,138,0,0,4,0,118,100,True,,311,1492caa4b72470970d59d84fdd4d50ef5956944857cc8c239178fa16b555f4e6
Salvia africana,938910,200,200,0,0,2,0,133,100,True,,312,14a29bd752d26e21f10fee7fdc36a32b023033a57b7f11ff9ee2a046622b0b64
Oxalis pusilla,591266,200,200,0,0,2,0,119,100,True,,313,14b14e34235e983888d3fe5f7175f973a905d391f6700ccbab6da354e3c39b6f
Ceanothus velutinus,64043,200,200,0,0,0,0,196,100,True,,314,14b3e7aff3606f13c9dc9d380d5b6e15fa1b569fe6d195775aa6889d8973e528
Chamaescilla corymbosa,194766,200,200,0,0,1,0,139,100,True,,315,14b53e095c5e0c02394cdfe20467d6206c955de63ce546c38ec6d5348e0e9b36
Salvia apiana,64134,200,200,0,0,0,0,165,100,True,,316,14bb57002d632a48d57fe62fb50c3e7fb43c933fb01381fee9ac6f40df4cf74d
Clarkia unguiculata,51735,200,200,0,0,2,0,175,100,True,,317,14ca8751452205e70f6123090666a591fd79c4f804e0a3471c131718030b2061
Castilleja indivisa,123956,200,200,0,0,1,0,164,100,True,,318,14ced95ee8d795aa8c592e6b0a6a1d44c2bc8a084f49fed84a753bda90027302
Malva arborea,77950,200,200,0,0,1,0,188,100,True,,319,14db04e5d6de816d34f07eccff3dd42c68906803e41675bfec6f9d14fa07dd16
Malva assurgentiflora,77951,200,200,0,0,0,0,189,100,True,,320,14fd6073c802289f22df1721ffc4ae30ebff65ed107c967bef8d9f294dd3b18e
Gilia stellata,59658,200,200,0,0,1,0,164,100,True,,321,15014e092932ab3befc7c9ff9250bec2936520c15df3324de6ec9c0387a6bd56
Tillandsia aeranthos,370737,200,200,0,0,4,0,180,100,True,,322,150b0addcb6c77dac54832ccf7d24af052ad2710c3ff3819676d2a6c19b97f0e
Lachenalia pallida,568721,200,200,0,0,2,0,146,100,True,,323,150cc0084db078d4052bbb7c389ccb82da72fb9ae74877380b643a1631ae1325
Lycium barbarum,77902,200,200,0,0,1,0,185,100,True,,324,1518c3c35622e106bc2717eedfff630dbcbf51e373beae4359ebdf0137e13426
Parsonsia straminea,356107,169,169,0,0,2,0,127,100,True,,325,1521d5bcc8ef1066cf3fcd37b97a522906db43d208148e33c74caf9f89e6df1f
Narcissus poeticus,61334,200,200,0,0,0,0,195,100,True,,326,1523fe4505db022baaec0e1f3b3674266d5556d15b9b126eab307b12524da4fa
Rubus occidentalis,125489,200,200,0,0,1,0,190,100,True,,327,15441c504780bbe9f54b18c91153b452787527c22865921c21cc909d0aff0a21
Microsteris gracilis,61210,200,200,0,0,0,0,177,100,True,,328,15492b3952400db90062b0e0ad8d389ff8c546c619fba0544578e7451b6e6ff4
Micranthes virginiensis,204176,200,200,0,0,31,0,157,100,True,,329,15503feb98a4c34d09852ebc9dd92468d492df743f25aa6626fd13d2bc3d1f3d
Senecio vulgaris,53211,200,200,0,0,12,0,165,100,True,,330,155c659e5dd9c7a40aa885a195ac795019ea08f89dc561398422b907c43c5a2c
Layia platyglossa,50876,200,200,0,0,0,0,188,100,True,,331,15851c7e2606c116b15c780c19819de46c782dbd0c4b400d1096d4c004d13864
Tillandsia recurvata,84002,191,191,0,0,2,0,168,100,True,,332,158559a59c0259307fc039447a4ff625888123c30aa79df32b5459f85d4affa6
Ranunculus muricatus,57240,200,200,0,0,1,0,177,100,True,,333,1591419e523f8025d1120b8c142fd2e938bc3c2933c7b63ef5d4213cd3d1c5da
Kigelia africana,81491,138,138,0,0,8,0,125,100,True,,334,15d9b8d253ecc5629b29ac7091cd55a3092af283272b6de58390a3ba1683f805
Argemone mexicana,128533,200,200,0,0,6,0,187,100,True,,335,1616e56612b323d72d0566fdd946166fbd2726302329bba5dbb8120ad8b2021a
Scilla lilio-hyacinthus,244095,200,200,0,0,1,0,185,100,True,,336,162cb4cecee32fd53cdc558b06111184f92a143ca9ac5f71a5739aaf3e338e2e
Diervilla lonicera,67983,200,200,0,0,1,0,193,100,True,,337,1636968152d964640ee96bf8df732b031d0e597528170555c1651ff40771284d
Cardamine raphanifolia,133143,127,127,0,0,1,0,114,100,True,,338,163ea00d450b452e5503729192a740c428b97e0eb9b1ddb4f24e26c598454f7f
Phacelia distans,56631,200,200,0,0,0,0,192,100,True,,339,1658431dceed8a7978f73c61b15091aca41801104811823cf9829ac7f8780153
Senna covesii,79059,194,194,0,0,3,0,162,100,True,,340,165ce01505d175fd952d59453783b133fa3a55730080b39c77fcbbe39594d5ca
Paradisea liliastrum,132432,125,125,0,0,1,0,119,100,True,,341,16665cfb0f48d86c049f986043e797d5188d8004094cc952bcb9758bfed7df83
Cnidoscolus texanus,133074,200,200,0,0,0,0,181,100,True,,342,166df63282b5f707e995e9033a1eae2d43b3f0a9c4c666846dd9e9bd447a37e4
Salvia cinnabarina,286991,131,131,0,0,2,0,113,100,True,,343,169317b61f26f304b0a8255c58830fbe3590b1c9e3e9497a42ba207cbdcdb43d
Pauridia capensis,508464,200,200,0,0,2,0,120,100,True,,344,16a46ec9a8380f152e9a3fb9a43343e170ee1bf57668e65d81b104cc0251c535
Pulsatilla patens,127860,200,200,0,0,7,0,143,100,True,,345,16db1d4ce2c119d1b6d3d96b05ec506d3a66840c0dec468200c0247c3060fa4d
Persicaria maculosa,56166,200,200,0,0,0,0,181,100,True,,346,16e0f0300cb1d704b678a49e6c19b7fda257cbaa9e58ee08229615d0dd26dcb3
Encelia actoni,57969,165,165,0,0,1,0,136,100,True,,347,16ec36cb1fbc12331c5f649118ffd345667f210e533b7849d2261a66c4f64566
Phyllachne colensoi,323348,188,188,0,0,4,0,124,100,True,,348,170401ec7951a8c5338802a9bd75ec0ee2e499a4e353d95b911693c0c8858198
Erythranthe decora,771865,135,135,0,0,1,0,129,100,True,,349,1712f47070208644384c6187c824bc4bfd63fc26aabbd2e1502775ab75dd55fb
Rubus deliciosus,168041,149,149,0,0,1,0,137,100,True,,350,17268d048f1993e52619194ef788e1305ae10f677ce47510b3716e1bd6ba9354
Chrysocephalum apiculatum,244345,200,200,0,0,3,0,155,100,True,,351,172b4fe7a10900250133833840ee7bb0c7c434ee332ef790a33ef15b415e1e91
Loasa triloba,636736,141,141,0,0,1,0,116,100,True,,352,1756d4b83cfe2f001d5201e0076ae7dbb3f7ba0766fb2842504a8d7e87caf4d9
Wisteria sinensis,127306,200,200,0,0,2,0,194,100,True,,353,175a28ae13916fa9ad8b1d05510ea9c5b2f84761936c783c0337eee6f0452a58
Scleranthus perennis,168651,135,135,0,0,1,0,118,100,True,,354,177543c6fa28268bbc365f336a6f8fbf8cc1deca6812108db67111dfe6954096
Eryngium campestre,162699,200,200,0,0,0,0,163,100,True,,355,178b441355863c53f40dcf7b1a38655ef1d9e70c98e1f60ea012518a427b27eb
Pittosporum eugenioides,200847,142,142,0,0,1,0,102,100,True,,356,17c33312af75f3e458bde0a9e8a3868b5f3b9bf8f03de3cd08099393fb43b314
Ipomoea purpurea,52344,200,200,0,0,3,0,175,100,True,,357,17e36b2c9e8716d2ee413a159f6f2bb2c0eec86b9d1d6146657866b77177894f
Ruscus aculeatus,82904,147,147,0,0,1,0,121,100,True,,358,17ede75404e3b17626b025f60e9db0f7411f1fa20fe414af4ce79d479d74b5e0
Protea cynaroides,132848,200,200,0,0,5,0,129,100,True,,359,17f5ce256315befd62912e6bcd84c42c9d7bb7b3050726ab73e7c1b03aa912c5
Romulea minutiflora,405726,114,114,0,0,1,0,98,98,False,,360,17f772293ae4f6eae55a823e53ee0b60f8d47b4a6fa8c8903e296bdeb4304aea
Papaver rhoeas,54404,200,200,0,0,15,0,183,100,True,,361,185da26c059dd9360b02f97e948228efa08d7111ebb1231073ace59019291715
