species,n_classifiable,D,second_fraction,n_raw,n_mixed,n_ambiguous_palette,n_bridge,n_technical_mixed,mixed_rate,ambiguous_palette_rate,bridge_rate,technical_mixed_rate
Desmanthus illinoensis,66,0.23553719008264462,0.13636363636363635,100,34,5,5,29,0.34,0.05,0.05,0.29
Diplacus mephiticus,68,0.5627162629757786,0.4117647058823529,100,32,8,8,24,0.32,0.08,0.08,0.24
Diplotaxis tenuifolia,78,0.09730440499671267,0.05128205128205128,100,22,1,1,21,0.22,0.01,0.01,0.21
Disphyma crassifolium,47,0.4717066545948393,0.14893617021276595,100,53,6,6,47,0.53,0.06,0.06,0.47
Distimake aegyptius,50,0.07679999999999998,0.04,100,50,0,0,50,0.5,0.0,0.0,0.5
Distimake dissectus,57,0.22283779624499866,0.07017543859649122,100,43,1,1,42,0.43,0.01,0.01,0.42
Drosera spatulata,43,0.6803677663601947,0.32558139534883723,100,57,7,7,50,0.57,0.07,0.07,0.5
Dyssodia pinnata,78,0.0,0.0,100,22,0,0,22,0.22,0.0,0.0,0.22
Echium gaditanum,62,0.28147762747138383,0.11290322580645161,100,38,8,8,30,0.38,0.08,0.08,0.3
Echium rosulatum,53,0.4841580633677466,0.32075471698113206,100,47,19,19,28,0.47,0.19,0.19,0.28
Ehretia anacua,50,0.0,0.0,100,50,0,0,50,0.5,0.0,0.0,0.5
Elephantopus carolinianus,62,0.12278876170655573,0.03225806451612903,100,38,1,1,37,0.38,0.01,0.01,0.37
Epacris obtusifolia,41,0.21415823914336696,0.12195121951219512,100,59,1,1,58,0.59,0.01,0.01,0.58
Erechtites hieraciifolius,47,0.4762335898596649,0.3404255319148936,100,53,2,2,51,0.53,0.02,0.02,0.51
Erigeron foliosus,50,0.6024,0.24,100,50,24,24,26,0.5,0.24,0.24,0.26
Erigeron linearis,86,0.08869659275283936,0.046511627906976744,100,14,0,0,14,0.14,0.0,0.0,0.14
Eriodictyon crassifolium,54,0.16803840877914955,0.09259259259259259,100,46,6,6,40,0.46,0.06,0.06,0.4
Eriogonum jamesii,66,0.14003673094582192,0.07575757575757576,100,34,4,4,30,0.34,0.04,0.04,0.3
Eriogonum latifolium,70,0.22408163265306125,0.12857142857142856,100,30,10,10,20,0.3,0.1,0.1,0.2
Eriogonum niveum,44,0.0878099173553718,0.022727272727272728,100,56,3,3,53,0.56,0.03,0.03,0.53
Eriophorum vaginatum,45,0.345679012345679,0.2222222222222222,100,55,7,7,48,0.55,0.07,0.07,0.48
Eriophyllum confertiflorum,82,0.0,0.0,100,18,1,1,17,0.18,0.01,0.01,0.17
Eryngium planum,51,0.2137639369473281,0.0784313725490196,100,49,4,4,45,0.49,0.04,0.04,0.45
Erythranthe dentata,67,0.05791935843172191,0.029850746268656716,100,33,0,0,33,0.33,0.0,0.0,0.33
Erythranthe erubescens,45,0.5698765432098767,0.28888888888888886,100,55,23,23,32,0.55,0.23,0.23,0.32
Erythrina humeana,52,0.2921597633136095,0.15384615384615385,100,48,3,3,45,0.48,0.03,0.03,0.45
Eschscholzia minutiflora,72,0.0,0.0,100,28,1,1,27,0.28,0.01,0.01,0.27
Euonymus obovatus,41,0.4997025580011898,0.4878048780487805,100,59,3,3,56,0.59,0.03,0.03,0.56
Eupatorium altissimum,55,0.19438016528925628,0.10909090909090909,100,45,2,2,43,0.45,0.02,0.02,0.43
Euphorbia cyparissias,85,0.0,0.0,100,15,1,1,14,0.15,0.01,0.01,0.14
Eurybia divaricata,44,0.08677685950413205,0.045454545454545456,100,56,3,3,53,0.56,0.03,0.03,0.53
Eutrochium fistulosum,47,0.2933454051607062,0.1276595744680851,100,53,3,3,50,0.53,0.03,0.03,0.5
Eutrochium maculatum,47,0.2978723404255319,0.10638297872340426,100,53,19,17,34,0.53,0.19,0.17,0.34
Eysenhardtia texana,46,0.08317580340264641,0.043478260869565216,100,54,2,2,52,0.54,0.02,0.02,0.52
Falcaria vulgaris,69,0.02856542743121193,0.014492753623188406,100,31,0,0,31,0.31,0.0,0.0,0.31
Fritillaria pyrenaica,47,0.6889995473064736,0.3617021276595745,100,53,4,4,49,0.53,0.04,0.04,0.49
Galinsoga parviflora,64,0.35888671875,0.234375,100,36,12,12,24,0.36,0.12,0.12,0.24
Gazania rigens,71,0.027772267407260465,0.014084507042253521,100,29,1,1,28,0.29,0.01,0.01,0.28
Gentiana acaulis,71,0.20511803213648072,0.08450704225352113,100,29,0,0,29,0.29,0.0,0.0,0.29
Gentiana parryi,45,0.16493827160493824,0.06666666666666667,100,55,2,2,53,0.55,0.02,0.02,0.53
