discovery_source,capacity_bin,opened_group,breadth_rank_block,genus_size_class,denominator,classifiable,n_blue_purple,n_red_pink,n_white,n_yellow_orange
v1_only,1,not_previously_opened,35001_40000,non_singleton_genus_label,395,159,14,10,76,59
v1_only,1,not_previously_opened,35001_40000,singleton_genus_label,47,21,1,2,9,9
v1_only,1,not_previously_opened,40001_42111,non_singleton_genus_label,163,71,7,6,35,23
v1_only,1,not_previously_opened,40001_42111,singleton_genus_label,9,3,0,0,2,1
v1_only,1,not_previously_opened,5001_10000,non_singleton_genus_label,384,151,17,12,63,59
v1_only,1,not_previously_opened,5001_10000,singleton_genus_label,55,20,0,3,9,8
v1_only,10_19,not_previously_opened,10001_15000,non_singleton_genus_label,107,42,4,4,23,11
v1_only,10_19,not_previously_opened,10001_15000,singleton_genus_label,11,4,1,0,1,2
v1_only,10_19,not_previously_opened,15001_20000,non_singleton_genus_label,114,51,2,1,25,23
v1_only,10_19,not_previously_opened,15001_20000,singleton_genus_label,3,3,1,0,2,0
v1_only,10_19,not_previously_opened,1_5000,non_singleton_genus_label,113,48,6,2,18,22
v1_only,10_19,not_previously_opened,1_5000,singleton_genus_label,7,2,0,0,2,0
v1_only,10_19,not_previously_opened,20001_25000,non_singleton_genus_label,129,62,7,6,25,24
v1_only,10_19,not_previously_opened,20001_25000,singleton_genus_label,5,1,0,0,1,0
v1_only,10_19,not_previously_opened,25001_30000,non_singleton_genus_label,114,56,4,7,22,23
v1_only,10_19,not_previously_opened,25001_30000,singleton_genus_label,8,3,0,0,1,2
v1_only,10_19,not_previously_opened,30001_35000,non_singleton_genus_label,95,38,2,3,16,17
v1_only,10_19,not_previously_opened,30001_35000,singleton_genus_label,9,3,0,1,2,0
v1_only,10_19,not_previously_opened,35001_40000,non_singleton_genus_label,111,47,2,5,24,16
v1_only,10_19,not_previously_opened,35001_40000,singleton_genus_label,4,2,1,0,0,1
v1_only,10_19,not_previously_opened,40001_42111,non_singleton_genus_label,43,15,0,2,7,6
v1_only,10_19,not_previously_opened,40001_42111,singleton_genus_label,4,1,0,0,1,0
v1_only,10_19,not_previously_opened,5001_10000,non_singleton_genus_label,119,56,7,4,20,25
v1_only,10_19,not_previously_opened,5001_10000,singleton_genus_label,10,6,0,0,5,1
v1_only,20_plus,not_previously_opened,10001_15000,non_singleton_genus_label,173,82,10,7,38,27
v1_only,20_plus,not_previously_opened,10001_15000,singleton_genus_label,16,6,1,0,2,3
v1_only,20_plus,not_previously_opened,15001_20000,non_singleton_genus_label,174,79,8,6,44,21
v1_only,20_plus,not_previously_opened,15001_20000,singleton_genus_label,13,6,0,1,3,2
v1_only,20_plus,not_previously_opened,1_5000,non_singleton_genus_label,185,92,8,9,42,33
v1_only,20_plus,not_previously_opened,1_5000,singleton_genus_label,9,5,0,0,4,1
v1_only,20_plus,not_previously_opened,20001_25000,non_singleton_genus_label,179,89,9,8,44,28
