species,D,second_fraction,primary_second_ge_0_10,spatial_observed_rho,log1p_span_primary,n_classifiable,genus,family
Oxytropis campestris,0.4612345679012345,0.1555555555555555,True,0.0809348233126851,9.118616901997656,45,Oxytropis,Fabaceae
Papaver dubium,0.5619834710743802,0.3636363636363636,True,-0.0844049854192041,9.902679435273958,44,Papaver,Papaveraceae
Parthenium confertum,0.0240928019036288,0.0121951219512195,False,-0.0420626241610061,7.149133487506482,82,Parthenium,Asteraceae
Passiflora mixta,0.3367043426531826,0.0975609756097561,False,0.2756552539090194,8.988593593949485,41,Passiflora,Passifloraceae
Pectis multiseta,0.0,0.0,False,0.0222132281357455,5.281591483803245,82,Pectis,Asteraceae
Pectis papposa,0.0,0.0,False,0.0286546876292991,7.560963555231274,79,Pectis,Asteraceae
Penstemon speciosus,0.0327777777777777,0.0166666666666666,False,-4.045097322298678e-05,7.327338812556045,60,Penstemon,
Pentanema squarrosum,0.0464852607709751,0.0238095238095238,False,-0.044258109322273,8.296738157364556,42,Pentanema,Asteraceae
Persicaria nepalensis,0.2918570276807309,0.0655737704918032,False,0.0462394347280438,9.895839752802686,61,Persicaria,Polygonaceae
Persicaria pensylvanica,0.1315586419753086,0.0416666666666666,False,0.0914112673677708,9.104070941254506,72,Persicaria,Polygonaceae
Phlomoides tuberosa,0.3764172335600906,0.1111111111111111,True,0.0268611972782782,9.16222944823391,63,Phlomoides,Lamiaceae
Phlox diffusa,0.2287968441814595,0.1025641025641025,True,0.0690531614119173,7.496589692061947,78,Phlox,
Phlox longifolia,0.4784764927593732,0.2394366197183098,True,0.0515831089388633,7.585384718093896,71,Phlox,Polemoniaceae
Phlox roemeriana,0.3335852859662385,0.1904761904761904,True,0.1075257943477861,5.896477714891707,63,Phlox,Polemoniaceae
Pimelea serpyllifolia,0.3061587753648984,0.1886792452830188,True,0.1749094560933512,7.166538306941997,53,Pimelea,Thymelaeaceae
Pinguicula vulgaris,0.2576530612244898,0.0714285714285714,False,0.0567773500045777,9.180429106412028,56,Pinguicula,Lentibulariaceae
Piqueria trinervia,0.0285654274312119,0.0144927536231884,False,-0.0152849628448943,7.246004008086904,69,Piqueria,Asteraceae
Pittosporum revolutum,0.1356335514574658,0.073170731707317,False,-0.0437249078115508,7.653650797997268,41,Pittosporum,Pittosporaceae
Plantago media,0.1420118343195264,0.0769230769230769,False,-0.0289204136131399,9.136984197778744,52,Plantago,Plantaginaceae
Polycalymma stuartii,0.3168282548476453,0.1973684210526315,True,0.0138955547392107,7.410343878657321,76,Polycalymma,Asteraceae
Polygala comosa,0.3796646836127636,0.1627906976744186,True,-0.0065245041627816,8.682193445120229,43,Polygala,Polygalaceae
Portulaca suffrutescens,0.2473246135552913,0.0689655172413793,False,0.0758892945074444,7.1954482007359335,58,Portulaca,Portulacaceae
Potentilla concinna,0.0478881618084474,0.0121951219512195,False,-0.028449482477481,7.63783588376027,82,Potentilla,Rosaceae
Potentilla indica,0.339753086419753,0.1333333333333333,True,0.0510194964362691,9.89731423308054,45,Potentilla,Rosaceae
Potentilla simplex,0.051911111111111,0.0266666666666666,False,0.1350999641531965,8.07195263701696,75,Potentilla,Rosaceae
Primula elatior,0.4851367419738407,0.4137931034482758,True,0.0118165717198231,8.924757124812457,58,Primula,Primulaceae
Prunus mahaleb,0.0739644970414201,0.0384615384615384,False,0.0564998770197883,9.883282047842464,52,Prunus,
Pseudo-fumaria lutea,0.028979238754325,0.0147058823529411,False,-0.0924147626143919,9.154076848234803,68,Pseudo-fumaria,Papaveraceae
Pseudognaphalium affine,0.070493753718025,0.0365853658536585,False,-0.0481833633839168,8.554823942892359,82,Pseudognaphalium,Asteraceae
Pulmonaria obscura,0.4092349479402445,0.1702127659574468,True,0.0048705501341436,9.033011517369246,47,Pulmonaria,Boraginaceae
Pultenaea villosa,0.0302958579881655,0.0153846153846153,False,0.0252033991649782,7.085529466847053,65,Pultenaea,Fabaceae
Purshia stansburyana,0.3298611111111111,0.2083333333333333,True,0.1308186828062827,7.399345227247271,48,Purshia,Rosaceae
Pycnanthemum virginianum,0.0459515570934256,0.0235294117647058,False,-0.0423683183221087,7.683244929267367,85,Pycnanthemum,Lamiaceae
Pyrola elliptica,0.0,0.0,False,0.0685497355915716,8.252081149214098,44,Pyrola,Ericaceae
Ranunculus kuepferi,0.0730652139080274,0.0379746835443038,False,0.0601795587338429,6.347105572524681,79,Ranunculus,
Ranunculus lyallii,0.0820408163265304,0.0428571428571428,False,0.0669423589179936,6.307754338251606,70,Ranunculus,Ranunculaceae
Ranunculus trichophyllus,0.0777940102264427,0.0405405405405405,False,-0.0013295006168879,9.893787186218022,74,Ranunculus,
Ranunculus uncinatus,0.2675619834710743,0.1590909090909091,True,-0.1466813222707451,7.783608370841067,44,Ranunculus,Ranunculaceae
Rhododendron canadense,0.345679012345679,0.2222222222222222,True,-0.0159739150655374,7.5771633537184355,45,Rhododendron,Ericaceae
Rhododendron catawbiense,0.4765625,0.1875,True,0.0589711287419964,6.678787984646631,48,Rhododendron,Ericaceae
Rhododendron pseudochrysanthum,0.2112,0.12,True,-0.0079436015841899,5.705375262352855,50,Rhododendron,Ericaceae
Rhododendron tomentosum,0.0322493953238376,0.0163934426229508,False,0.0102309181242581,9.08685624311096,61,Rhododendron,
Rhynchospora colorata,0.1107266435986158,0.0588235294117647,False,0.0055901039923096,8.295591727824155,51,Rhynchospora,Cyperaceae
Rorippa palustris,0.1461325270849081,0.0793650793650793,False,0.1487842339382076,9.866842340394976,63,Rorippa,Brassicaceae
Rosa blanda,0.6135999999999999,0.38,True,0.0349773906299877,7.85295335134773,50,Rosa,Rosaceae
Rosa multiflora,0.0547510414600276,0.028169014084507,False,0.002661443806738,9.371371248232828,71,Rosa,Rosaceae
Rubus chamaemorus,0.1575505350772887,0.0862068965517241,False,0.0260203967389201,9.05612099786496,58,Rubus,Rosaceae
Rubus odoratus,0.4919999999999999,0.16,True,0.1197375393876963,9.199169762293849,50,Rubus,Rosaceae
Rubus trivialis,0.0,0.0,False,-0.0201410564888419,7.739525843961978,61,Rubus,Rosaceae
Rudbeckia triloba,0.0263111111111109,0.0133333333333333,False,0.0625779548263717,9.118075132379516,75,Rudbeckia,Asteraceae
Sagittaria lancifolia,0.0965239873599539,0.0508474576271186,False,-0.1239314533459174,8.69170602782976,59,Sagittaria,Alismataceae
Sagittaria latifolia,0.0570934256055364,0.0294117647058823,False,-0.0227790790743755,9.221699789691268,68,Sagittaria,Alismataceae
Sairocarpus pusillus,0.2520281233098973,0.0697674418604651,False,-0.0335913039119058,6.643125437943057,43,Sairocarpus,
Salvia amarissima,0.4789670970428987,0.3469387755102041,True,-0.1025253494528125,6.974907176987349,49,Salvia,Lamiaceae
Salvia hispanica,0.5020155872077399,0.3278688524590163,True,-0.0179171907827264,9.863319857899455,61,Salvia,Lamiaceae
Salvia lavanduloides,0.501584427342689,0.3404255319148936,True,0.0269029421918083,7.699876958714701,47,Salvia,Lamiaceae
Salvia polystachia,0.505137912385073,0.3953488372093023,True,-0.0509437730962786,7.928195708383527,43,Salvia,Lamiaceae
Salvia prunelloides,0.1866319444444444,0.1041666666666666,True,-0.0454785618293943,7.39047679123558,48,Salvia,Lamiaceae
Salvia verticillata,0.6064049586776861,0.3181818181818182,True,-0.0421699800567001,8.622746915749094,44,Salvia,Lamiaceae
Sambucus mexicana,0.3402646502835538,0.217391304347826,True,-0.0679880861194459,6.673164014934674,46,Sambucus,Viburnaceae
Sanguinaria canadensis,0.2076124567474049,0.1176470588235294,True,-0.0035931220080824,7.862730519101032,68,Sanguinaria,Papaveraceae
Satureja montana,0.0961111111111111,0.0333333333333333,False,0.0651646234480904,7.806872682061607,60,Satureja,Lamiaceae
Saxifraga granulata,0.0285654274312119,0.0144927536231884,False,0.0131155978521174,8.07448127990875,69,Saxifraga,Saxifragaceae
Saxifraga tridactylites,0.3173076923076923,0.173076923076923,True,-0.0788731628483825,9.315447375578032,52,Saxifraga,Saxifragaceae
Scilla bifolia,0.3152633602460591,0.196078431372549,True,0.0193927486596278,9.221722624113164,51,Scilla,Asparagaceae
Scilla luciliae,0.4481470841712152,0.3389830508474576,True,0.0182099464619862,9.23487801757855,59,Scilla,Asparagaceae
Scilla verna,0.4303350970017637,0.2857142857142857,True,0.2044366746648321,7.8459045372285905,63,Scilla,
Senecio mohavensis,0.1152433425160697,0.0454545454545454,False,0.1407964404064005,5.879581258748098,66,Senecio,Asteraceae
Senecio ovatus,0.0,0.0,False,-0.0098516102118407,7.496668011041357,43,Senecio,Asteraceae
Senecio triangularis,0.1617122473246134,0.0517241379310344,False,0.114870059018694,8.263472699147622,58,Senecio,Asteraceae
Senecio vernalis,0.0240928019036288,0.0121951219512195,False,-0.0043697505655796,8.289664522737448,82,Senecio,Asteraceae
Senegalia berlandieri,0.177742511406467,0.0985915492957746,False,-0.0678791463437779,6.698308972294973,71,Senegalia,Fabaceae
Senna artemisioides,0.0,0.0,False,-0.0721167118166737,9.72065368818365,75,Senna,Fabaceae
Senna hebecarpa,0.25350837483024,0.1489361702127659,True,0.0746517200213768,7.620851824157648,47,Senna,Fabaceae
Sericocarpus linifolius,0.0,0.0,False,-0.0157816005261738,7.641129918074437,52,Sericocarpus,Asteraceae
Sesbania drummondii,0.1652892561983472,0.0909090909090909,False,0.0208724094040625,7.398865669636063,44,Sesbania,
Sidalcea candida,0.1395514417942327,0.0754716981132075,False,-0.049165835815751,8.927810190941248,53,Sidalcea,Malvaceae
Sideranthus spinulosus,0.0673336938885882,0.0348837209302325,False,0.0810871495024703,8.238372438907412,86,Sideranthus,Asteraceae
Sisymbrium irio,0.0880473372781063,0.0461538461538461,False,-0.0239144978573138,9.822067441180929,65,Sisymbrium,Brassicaceae
Sixalix atropurpurea,0.2573927530195752,0.0612244897959183,False,0.0333964379511634,9.892068786940737,49,Sixalix,Caprifoliaceae
Solanum crispum,0.5428681276432141,0.392156862745098,True,0.2042913157546597,9.860393467759824,51,Solanum,
Solanum elaeagnifolium,0.5475258098967605,0.3584905660377358,True,0.001642179239547,9.783658165261388,53,Solanum,Solanaceae
Solanum furcatum,0.2543402777777778,0.125,True,-0.0590587607223899,9.459061181011698,48,Solanum,Solanaceae
Solanum laxum,0.1918402777777776,0.0625,False,0.0400373308578754,9.898265926023711,48,Solanum,Solanaceae
Solanum lycopersicum,0.5094517958412098,0.2391304347826087,True,0.0117993589778973,9.902208355564406,46,Solanum,Solanaceae
Solanum pseudocapsicum,0.5102880658436215,0.3703703703703703,True,-0.0015988222381482,9.9007610898458,54,Solanum,Solanaceae
Solidago ptarmicoides,0.1199868507560815,0.0641025641025641,False,-0.0371859887965883,7.900692146905068,78,Solidago,Asteraceae
Solidago uliginosa,0.1472,0.08,False,-0.1338028420016451,7.918008419114835,50,Solidago,Asteraceae
Solidago virgaurea,0.0,0.0,False,0.0212959644820728,9.243039053497796,63,Solidago,Asteraceae
Sparaxis tricolor,0.5776627218934911,0.4038461538461538,True,0.0039721652610095,9.897278988690674,52,Sparaxis,Iridaceae
Sphaeralcea ambigua,0.3224852071005917,0.1538461538461538,True,-0.0006451690522726,7.645575601619375,52,Sphaeralcea,Malvaceae
Sphaeralcea coccinea,0.193290243151739,0.0701754385964912,False,0.0179266493308134,7.999414232905934,57,Sphaeralcea,Malvaceae
Stachys palustris,0.6479177934018389,0.3023255813953488,True,-0.0523727460929735,9.88232345160122,43,Stachys,Lamiaceae
Stevia serrata,0.0575259515570933,0.0147058823529411,False,-0.0138859779924663,8.481617201945644,68,Stevia,Asteraceae
Streptosolen jamesonii,0.0649999999999999,0.0166666666666666,False,0.0998456430463405,9.807771779797704,60,Streptosolen,Solanaceae
Stypandra glauca,0.2505386272699291,0.087719298245614,False,0.1022454112090192,8.213083056652644,57,Stypandra,Asphodelaceae
Symphyotrichum puniceum,0.2325702393340271,0.0806451612903225,False,0.0815629107759517,8.141409680306387,62,Symphyotrichum,Asteraceae
Symphyotrichum subulatum,0.1379757785467126,0.0588235294117647,False,0.0399482152700162,9.90096413251358,68,Symphyotrichum,Asteraceae
Symphytum officinale,0.5189035916824196,0.217391304347826,True,-0.1293093518810447,9.304570302028791,46,Symphytum,Boraginaceae
Symplocos tinctoria,0.5175308641975309,0.4444444444444444,True,0.0118079784580821,7.572989554821586,45,Symplocos,Symplocaceae
Talinum fruticosum,0.3541666666666666,0.125,True,-0.0460709416730052,9.887768187231318,48,Talinum,
Talinum paniculatum,0.422716049382716,0.2666666666666666,True,0.0189261091033258,9.89332105093722,45,Talinum,Talinaceae
Tanacetum vulgare,0.0232525951557092,0.0117647058823529,False,0.000273428332664,9.241995724216778,85,Tanacetum,Asteraceae
Taraxacum erythrospermum,0.231111111111111,0.1333333333333333,True,-0.0122319610888144,9.38582508501908,75,Taraxacum,Asteraceae
Telekia speciosa,0.0317377731529655,0.0161290322580645,False,0.0395969334148915,9.216991934587467,62,Telekia,Asteraceae
Tetratheca thymifolia,0.5590277777777778,0.375,True,-0.046666716442036,7.177734731383712,48,Tetratheca,Elaeocarpaceae
Thysanocarpus curvipes,0.2585463947141626,0.1525423728813559,True,0.059064592608862,7.674230103728088,59,Thysanocarpus,Brassicaceae
Tiarella stolonifera,0.1049382716049383,0.0555555555555555,False,0.0366795247184194,7.529677054216056,54,Tiarella,Saxifragaceae
Tinantia erecta,0.5659259259259259,0.2444444444444444,True,0.060721367448749,9.0967535160324,45,Tinantia,Commelinaceae
Tithonia tubaeformis,0.0807291666666665,0.0208333333333333,False,-0.1678802714252981,9.772310800163234,48,Tithonia,Asteraceae
Trachymene composita,0.1244444444444443,0.0666666666666666,False,0.1073698335209008,6.908922619033411,60,Trachymene,Araliaceae
Tragopogon porrifolius,0.7076446280991735,0.2727272727272727,True,-0.0295858635454725,9.90396454899794,44,Tragopogon,
Trifolium incarnatum,0.2714497041420118,0.0961538461538461,False,-0.0099739698855142,9.897463377344044,52,Trifolium,Fabaceae
Trifolium repens,0.0798611111111109,0.0416666666666666,False,0.0150045759691234,9.897827146223747,72,Trifolium,
Tripolium pannonicum,0.1604081632653061,0.0428571428571428,False,0.0401695772780345,9.242031304651084,70,Tripolium,Asteraceae
Triteleia laxa,0.2956194571351787,0.180327868852459,True,0.2121504166093951,6.684792452159977,61,Triteleia,Asparagaceae
Trixis inula,0.0,0.0,False,0.083535316072448,7.720619414085458,83,Trixis,Asteraceae
Trollius albiflorus,0.2003121748178979,0.1129032258064516,True,0.0225632822228692,7.733541050192196,62,Trollius,Ranunculaceae
Turnera subulata,0.3394444444444444,0.2166666666666666,True,0.0528958936701699,9.903363029182785,60,Turnera,Passifloraceae
Verbascum thapsus,0.2921597633136095,0.1538461538461538,True,-0.0189245719867226,9.893415556991132,52,Verbascum,Scrophulariaceae
Verbena rigida,0.52978515625,0.484375,True,-0.0254310943533199,9.89219544190242,64,Verbena,
Veronica cymbalaria,0.2921597633136095,0.1538461538461538,True,0.0120799547171354,9.903633100646486,52,Veronica,Plantaginaceae
Veronica longifolia,0.4694429421308814,0.3255813953488372,True,0.0068938034192352,9.18870138098331,43,Veronica,Plantaginaceae
Veronica officinalis,0.086776859504132,0.0454545454545454,False,-0.0121922414438455,9.874114089023593,66,Veronica,Plantaginaceae
Veronica polita,0.5423553719008264,0.3636363636363636,True,0.0726572151684501,9.88249433596476,44,Veronica,Plantaginaceae
Veronica prostrata,0.3918183524113342,0.2465753424657534,True,0.0291570141489858,8.661331801179449,73,Veronica,Plantaginaceae
Veronica spicata,0.3867743175701653,0.1568627450980392,True,0.2306796593727918,8.702998635940363,51,Veronica,Plantaginaceae
Vicia lathyroides,0.5975056689342404,0.238095238095238,True,0.0321374754628291,9.28546698588126,42,Vicia,Fabaceae
Viminaria juncea,0.0363511659807955,0.0185185185185185,False,0.058078839444247,8.226977832416075,54,Viminaria,Fabaceae
Vincetoxicum hirundinaria,0.297086368366285,0.1612903225806451,True,0.0293800989101863,8.52896399845108,62,Vincetoxicum,Apocynaceae
Viola blanda,0.0767999999999999,0.04,False,-0.0625741112163584,7.696050525890067,50,Viola,Violaceae
Viola cucullata,0.3394444444444444,0.2166666666666666,True,0.0315043032028801,8.148570558522161,60,Viola,Violaceae
Viola hirta,0.1675739644970415,0.0923076923076923,False,0.076476010774425,8.770312043558562,65,Viola,Violaceae
Viola lutea,0.5776631620710176,0.3943661971830985,True,0.2739351542932551,7.624958841917998,71,Viola,Violaceae
Viola mirabilis,0.4886621315192743,0.3095238095238095,True,-0.0341104698634378,8.57262251744426,42,Viola,Violaceae
Viola pedunculata,0.0,0.0,False,0.0072818804502398,6.69443750128597,73,Viola,Violaceae
Viola rostrata,0.3349932095971026,0.2127659574468085,True,0.0907887484660548,9.282254603118508,47,Viola,Violaceae
Viola tricolor,0.5328925619834712,0.4545454545454545,True,0.0295767292262886,9.88102788773644,55,Viola,Violaceae
Viscaria vulgaris,0.3166666666666667,0.1166666666666666,True,0.0295369457478872,8.276234332244107,60,Viscaria,Caryophyllaceae
Vitex agnus-castus,0.4260355029585799,0.3076923076923077,True,0.04715497134397,9.54084462337272,52,Vitex,Lamiaceae
Whipplea modesta,0.0317377731529655,0.0161290322580645,False,-0.0583838617672301,7.228654654798145,62,Whipplea,Hydrangeaceae
Wyethia angustifolia,0.11865234375,0.046875,False,0.1363766322603012,7.047761630386081,64,Wyethia,Asteraceae
Zanthoxylum americanum,0.1913265306122449,0.1071428571428571,True,-0.0407358303597929,7.732224007922534,56,Zanthoxylum,Rutaceae
Zephyranthes atamasco,0.3271999999999999,0.18,True,0.0088990767595782,8.055957350335728,50,Zephyranthes,Amaryllidaceae
