species,D,D_min4,D_max4,D_interval_width,ambiguous_palette_rate,technical_failure_rate
Cynoglossum creticum,0.3790087463556851,0.3347205707491081,0.5422116527942924,0.2074910820451843,0.09,0.42
Cynoglossum officinale,0.4878048780487805,0.4281549354435652,0.6114119117034569,0.1832569762598916,0.08,0.51
Dactylorhiza sambucina,0.67875,0.6379962192816635,0.7230623818525519,0.0850661625708883,0.06,0.54
Delairea odorata,0.0,0.0,0.0,0.0,0.0,0.29
Delphinium bicolor,0.1484044598231451,0.1457100591715975,0.1797337278106509,0.0340236686390533,0.01,0.48
Delphinium nudicaule,0.3594952293013235,0.3376690946930281,0.4542143600416232,0.1165452653485951,0.05,0.38
Delphinium nuttallianum,0.1659259259259259,0.1625708884688091,0.2013232514177694,0.0387523629489602,0.01,0.54
Descurainia sophia,0.2923456790123457,0.2923456790123457,0.2923456790123457,0.0,0.0,0.55
Dichelostemma multiflorum,0.3168854685378,0.2558452029024457,0.5643644181671593,0.3085192152647136,0.14,0.39
Dillwynia floribunda,0.0,0.0,0.0,0.0,0.0,0.38
Diplacus puniceus,0.3513313609467455,0.29638671875,0.54638671875,0.25,0.12,0.36
Disphyma australe,0.0649999999999999,0.0601183431952663,0.1997633136094674,0.1396449704142011,0.05,0.35
Dittrichia graveolens,0.0739644970414201,0.0713305898491085,0.1406035665294924,0.0692729766803839,0.02,0.46
Drosera brevifolia,0.0,0.0,0.1783824640967498,0.1783824640967498,0.06,0.37
Drosera macrantha,0.3702385190459237,0.3521083410280087,0.4530624807633119,0.1009541397353032,0.04,0.43
Dyssodia tagetiflora,0.0,0.0,0.0229853975121687,0.0229853975121687,0.01,0.14
Echium vulgare,0.0596449704142012,0.0540123456790124,0.2291666666666666,0.1751543209876541,0.07,0.28
Elephantopus tomentosus,0.1087278106508875,0.0935232464391293,0.3418435904326795,0.2483203439935501,0.09,0.39
Erica arborea,0.1420118343195264,0.1371742112482852,0.2037037037037037,0.0665294924554185,0.02,0.46
Erica tetralix,0.6364014993752602,0.5432098765432098,0.7449845679012346,0.2017746913580247,0.23,0.28
Ericameria ericoides,0.1619753086419753,0.1619753086419753,0.1619753086419753,0.0,0.0,0.55
Erigenia bulbosa,0.0,0.0,0.0,0.0,0.0,0.37
Erigeron annuus,0.0,0.0,0.0478881618084474,0.0478881618084474,0.02,0.18
Erigeron divergens,0.0918367346938776,0.0859259259259258,0.2056790123456792,0.1197530864197533,0.06,0.1
Erigeron glaucus,0.3616863905325445,0.2463039170858101,0.6623990245389422,0.416095107453132,0.29,0.19
Erigeron pulchellus,0.1673132062742452,0.1615625,0.2275,0.0659374999999999,0.03,0.2
Erigeron quercifolius,0.0746219592373438,0.0642434488588334,0.3103489916676729,0.2461055428088394,0.13,0.09
