species,D,second_fraction,spatial_rho,primary_second_ge_0_10,sensitivity_second_ge_0_20,tranche
Penstemon speciosus,0.0327777777777777,0.0166666666666666,-4.045097322298678e-05,False,False,discovery
Pentanema squarrosum,0.0464852607709751,0.0238095238095238,-0.044258109322273,False,False,discovery
Persicaria nepalensis,0.2918570276807309,0.0655737704918032,0.0462394347280438,False,False,discovery
Persicaria pensylvanica,0.1315586419753086,0.0416666666666666,0.0914112673677708,False,False,discovery
Phlomoides tuberosa,0.3764172335600906,0.1111111111111111,0.0268611972782782,True,False,discovery
Phlox diffusa,0.2287968441814595,0.1025641025641025,0.0690531614119173,True,False,discovery
Phlox longifolia,0.4784764927593732,0.2394366197183098,0.0515831089388633,True,True,discovery
Phlox roemeriana,0.3335852859662385,0.1904761904761904,0.1075257943477861,True,False,discovery
Pimelea serpyllifolia,0.3061587753648984,0.1886792452830188,0.1749094560933512,True,False,discovery
Pinguicula vulgaris,0.2576530612244898,0.0714285714285714,0.0567773500045777,False,False,discovery
Piqueria trinervia,0.0285654274312119,0.0144927536231884,-0.0152849628448943,False,False,discovery
Pittosporum revolutum,0.1356335514574658,0.073170731707317,-0.0437249078115508,False,False,discovery
Plantago media,0.1420118343195264,0.0769230769230769,-0.0289204136131399,False,False,discovery
Polycalymma stuartii,0.3168282548476453,0.1973684210526315,0.0138955547392107,True,False,discovery
Polygala comosa,0.3796646836127636,0.1627906976744186,-0.0065245041627816,True,False,discovery
Portulaca suffrutescens,0.2473246135552913,0.0689655172413793,0.0758892945074444,False,False,discovery
Potentilla concinna,0.0478881618084474,0.0121951219512195,-0.028449482477481,False,False,discovery
Potentilla indica,0.339753086419753,0.1333333333333333,0.0510194964362691,True,False,discovery
Potentilla simplex,0.051911111111111,0.0266666666666666,0.1350999641531965,False,False,discovery
Primula elatior,0.4851367419738407,0.4137931034482758,0.0118165717198231,True,True,discovery
Prunus mahaleb,0.0739644970414201,0.0384615384615384,0.0564998770197883,False,False,discovery
Pseudo-fumaria lutea,0.028979238754325,0.0147058823529411,-0.0924147626143919,False,False,discovery
Pseudognaphalium affine,0.070493753718025,0.0365853658536585,-0.0481833633839168,False,False,discovery
Pulmonaria obscura,0.4092349479402445,0.1702127659574468,0.0048705501341436,True,False,discovery
