species,D,second_fraction,n_classifiable,second_ge_0_10,second_ge_0_20
Scilla verna,0.4303350970017637,0.2857142857142857,63,True,True
Senecio mohavensis,0.1152433425160697,0.0454545454545454,66,False,False
Senecio ovatus,0.0,0.0,43,False,False
Senecio triangularis,0.1617122473246134,0.0517241379310344,58,False,False
Senecio vernalis,0.0240928019036288,0.0121951219512195,82,False,False
Senegalia berlandieri,0.177742511406467,0.0985915492957746,71,False,False
Senna artemisioides,0.0,0.0,75,False,False
Senna hebecarpa,0.25350837483024,0.1489361702127659,47,True,False
Sericocarpus linifolius,0.0,0.0,52,False,False
Sesbania drummondii,0.1652892561983472,0.0909090909090909,44,False,False
Sidalcea candida,0.1395514417942327,0.0754716981132075,53,False,False
Sideranthus spinulosus,0.0673336938885882,0.0348837209302325,86,False,False
Sisymbrium irio,0.0880473372781063,0.0461538461538461,65,False,False
Sixalix atropurpurea,0.2573927530195752,0.0612244897959183,49,False,False
Solanum crispum,0.5428681276432141,0.392156862745098,51,True,True
Solanum elaeagnifolium,0.5475258098967605,0.3584905660377358,53,True,True
Solanum furcatum,0.2543402777777778,0.125,48,True,False
Solanum laxum,0.1918402777777776,0.0625,48,False,False
Solanum lycopersicum,0.5094517958412098,0.2391304347826087,46,True,True
Solanum pseudocapsicum,0.5102880658436215,0.3703703703703703,54,True,True
Solidago ptarmicoides,0.1199868507560815,0.0641025641025641,78,False,False
Solidago uliginosa,0.1472,0.08,50,False,False
Solidago virgaurea,0.0,0.0,63,False,False
Sparaxis tricolor,0.5776627218934911,0.4038461538461538,52,True,True
Sphaeralcea ambigua,0.3224852071005917,0.1538461538461538,52,True,False
Sphaeralcea coccinea,0.193290243151739,0.0701754385964912,57,False,False
Stachys palustris,0.6479177934018389,0.3023255813953488,43,True,True
Stevia serrata,0.0575259515570933,0.0147058823529411,68,False,False
Streptosolen jamesonii,0.0649999999999999,0.0166666666666666,60,False,False
Stypandra glauca,0.2505386272699291,0.087719298245614,57,False,False
Symphyotrichum puniceum,0.2325702393340271,0.0806451612903225,62,False,False
Symphyotrichum subulatum,0.1379757785467126,0.0588235294117647,68,False,False
Symphytum officinale,0.5189035916824196,0.217391304347826,46,True,True
Symplocos tinctoria,0.5175308641975309,0.4444444444444444,45,True,True
Talinum fruticosum,0.3541666666666666,0.125,48,True,False
Talinum paniculatum,0.422716049382716,0.2666666666666666,45,True,True
Tanacetum vulgare,0.0232525951557092,0.0117647058823529,85,False,False
Taraxacum erythrospermum,0.231111111111111,0.1333333333333333,75,True,False
Telekia speciosa,0.0317377731529655,0.0161290322580645,62,False,False
Tetratheca thymifolia,0.5590277777777778,0.375,48,True,True
Thysanocarpus curvipes,0.2585463947141626,0.1525423728813559,59,True,False
Tiarella stolonifera,0.1049382716049383,0.0555555555555555,54,False,False
Tinantia erecta,0.5659259259259259,0.2444444444444444,45,True,True
Tithonia tubaeformis,0.0807291666666665,0.0208333333333333,48,False,False
Trachymene composita,0.1244444444444443,0.0666666666666666,60,False,False
Tragopogon porrifolius,0.7076446280991735,0.2727272727272727,44,True,True
Trifolium incarnatum,0.2714497041420118,0.0961538461538461,52,False,False
Trifolium repens,0.0798611111111109,0.0416666666666666,72,False,False
Tripolium pannonicum,0.1604081632653061,0.0428571428571428,70,False,False
Triteleia laxa,0.2956194571351787,0.180327868852459,61,True,False
Trixis inula,0.0,0.0,83,False,False
Trollius albiflorus,0.2003121748178979,0.1129032258064516,62,True,False
Turnera subulata,0.3394444444444444,0.2166666666666666,60,True,True
Verbascum thapsus,0.2921597633136095,0.1538461538461538,52,True,False
Verbena rigida,0.52978515625,0.484375,64,True,True
Veronica cymbalaria,0.2921597633136095,0.1538461538461538,52,True,False
Veronica longifolia,0.4694429421308814,0.3255813953488372,43,True,True
Veronica officinalis,0.086776859504132,0.0454545454545454,66,False,False
Veronica polita,0.5423553719008264,0.3636363636363636,44,True,True
Veronica prostrata,0.3918183524113342,0.2465753424657534,73,True,True
Veronica spicata,0.3867743175701653,0.1568627450980392,51,True,False
Vicia lathyroides,0.5975056689342404,0.238095238095238,42,True,True
Viminaria juncea,0.0363511659807955,0.0185185185185185,54,False,False
Vincetoxicum hirundinaria,0.297086368366285,0.1612903225806451,62,True,False
Viola blanda,0.0767999999999999,0.04,50,False,False
Viola cucullata,0.3394444444444444,0.2166666666666666,60,True,True
Viola hirta,0.1675739644970415,0.0923076923076923,65,False,False
Viola lutea,0.5776631620710176,0.3943661971830985,71,True,True
Viola mirabilis,0.4886621315192743,0.3095238095238095,42,True,True
Viola pedunculata,0.0,0.0,73,False,False
Viola rostrata,0.3349932095971026,0.2127659574468085,47,True,True
Viola tricolor,0.5328925619834712,0.4545454545454545,55,True,True
Viscaria vulgaris,0.3166666666666667,0.1166666666666666,60,True,False
Vitex agnus-castus,0.4260355029585799,0.3076923076923077,52,True,True
Whipplea modesta,0.0317377731529655,0.0161290322580645,62,False,False
Wyethia angustifolia,0.11865234375,0.046875,64,False,False
Zanthoxylum americanum,0.1913265306122449,0.1071428571428571,56,True,False
Zephyranthes atamasco,0.3271999999999999,0.18,50,True,False
