condition_id,panel,species,n_classifiable,D
baseline,P,Pseudorchis albida,48,0.5182291666666666
baseline,P,Rafinesquia neomexicana,69,0.05671077504725908
baseline,P,Ranunculus glacialis,65,0.35928994082840227
baseline,P,Ranunculus lyallii,71,0.10632810950208293
baseline,P,Ranunculus reflexus,40,0.17999999999999994
baseline,P,Ranunculus uncinatus,43,0.2725797728501893
baseline,P,Raphanus raphanistrum,52,0.4297337278106509
baseline,P,Rorippa palustris,64,0.169921875
baseline,P,Rubus pubescens,50,0.1472
baseline,P,Ruellia metziae,69,0.02856542743121193
baseline,P,Salvia longispicata,51,0.5182622068435218
baseline,P,Salvia lyrata,41,0.25580011897679955
baseline,P,Sanguinaria canadensis,67,0.138115393183337
baseline,P,Saxifraga tridactylites,56,0.2991071428571429
baseline,P,Schelhammera undulata,48,0.5590277777777779
baseline,P,Senecio mohavensis,65,0.11692307692307691
baseline,P,Senna hebecarpa,47,0.25350837483024
baseline,P,Silene dioica,48,0.2925347222222221
baseline,P,Silene rotundifolia,54,0.200960219478738
baseline,P,Silphium integrifolium,60,0.06499999999999995
baseline,P,Sisymbrium irio,60,0.06444444444444453
baseline,P,Symphyotrichum puniceum,72,0.13078703703703698
baseline,P,Symphyotrichum subulatum,65,0.1699408284023669
baseline,P,Taraxacum erythrospermum,75,0.23111111111111104
baseline,P,Tecoma stans,63,0.1204333585285966
baseline,P,Thunbergia grandiflora,43,0.3829096809085992
baseline,P,Thymus praecox,45,0.5165432098765432
baseline,P,Trifolium glomeratum,41,0.41403926234384303
baseline,P,Tulipa sylvestris,52,0.07396449704142016
baseline,P,Vernonia gigantea,44,0.515495867768595
baseline,P,Vernonia noveboracensis,49,0.5022907122032486
baseline,P,Veronica alpina,50,0.37360000000000004
baseline,P,Veronica spicata,56,0.3565051020408163
baseline,P,Vicia hirsuta,47,0.0
baseline,P,Vicia tetrasperma,50,0.1512
baseline,P,Vincetoxicum hirundinaria,61,0.3606557377049181
baseline,P,Viola cornuta,53,0.39800640797436815
baseline,P,Viola pedunculata,69,0.0
baseline,P,Viola rostrata,51,0.40830449826989623
baseline,P,Viola tricolor,50,0.5608
baseline,P,Viscaria vulgaris,52,0.24186390532544366
fixed_ev_m0_5,N,Abronia latifolia,71,0.08172981551279512
fixed_ev_m0_5,N,Abronia umbellata,46,0.5302457466918714
fixed_ev_m0_5,N,Acacia decurrens,47,0.041647804436396596
fixed_ev_m0_5,N,Acacia suaveolens,67,0.23256850077968383
