tranche,species,organization_state,C_star,S_star,D,n_climate_cells,mean_bio4,mean_bio15,spatial_niche_turnover,hv3d_rarefied20,regional_centroid_sep,regional_gaussian_overlap,metric_status
discovery,Verbena rigida,unresolved_photo_state,False,False,0.52978515625,100,500.6672067260742,34.28379205703735,0.775655358727533,12.858681867830633,1.0770435204046922,0.611562556225944,complete
discovery,Veronica cymbalaria,unresolved_photo_state,False,False,0.2921597633136095,100,625.1205828857422,51.630314130783084,0.8248303992764467,5.832002907887823,,,complete
discovery,Veronica longifolia,unresolved_photo_state,False,False,0.4694429421308814,100,1000.5076538085938,34.034088640213014,0.7892774857142816,13.602915988977115,0.6743791298412916,0.5445590494673703,complete
discovery,Veronica polita,unresolved_photo_state,False,False,0.5423553719008264,100,801.7291723632812,35.89995532989502,0.46924290038100025,19.444395516188685,0.8398547778730354,0.4142023301065945,complete
discovery,Veronica prostrata,unresolved_photo_state,False,False,0.3918183524113342,100,997.13310546875,30.373078689575195,1.5257875875139117,3.622010375517446,1.5301942301997906,0.12768646273125975,complete
discovery,Veronica spicata,spatial_segregation_only,False,True,0.3867743175701653,100,894.3445416259766,29.797326774597167,1.3929469547530118,3.8715741461800524,1.486080230199091,0.19289296794707422,complete
discovery,Vicia lathyroides,unresolved_photo_state,False,False,0.5975056689342404,95,710.2821668122945,27.863459587097168,1.2780270659366861,6.879252878252021,1.5150590819544991,0.27027130180908737,complete
discovery,Vincetoxicum hirundinaria,unresolved_photo_state,False,False,0.297086368366285,100,782.7835079956054,28.707850589752198,1.048816101454559,8.344669700687055,1.296284719542226,0.27295654301608013,complete
discovery,Viola cucullata,unresolved_photo_state,False,False,0.3394444444444444,100,970.9992419433594,17.45898284435272,1.0087901504114853,2.980670827906967,0.8005574385673091,0.3908584807527383,complete
discovery,Viola lutea,cooccurrence_and_segregation,True,True,0.5776631620710176,66,535.0038623231831,21.03314509536281,0.7759363959460389,2.6341103175232687,1.1702630301595842,0.02621346286484336,complete
discovery,Viola mirabilis,unresolved_photo_state,False,False,0.4886621315192743,100,1016.5787921142578,32.41294735908508,1.5245514330987153,1.6898524565961346,1.5819373179845342,0.18005406561551496,complete
discovery,Viola rostrata,spatial_segregation_only,False,True,0.3349932095971026,100,905.0488311767579,16.570014510154724,1.186038498867785,1.655348014312904,,,complete
discovery,Viola tricolor,unresolved_photo_state,False,False,0.5328925619834712,100,857.3583102416992,32.44590298652649,0.5197655470519998,17.058792997049533,0.4411843599279355,0.6862379033083247,complete
discovery,Viscaria vulgaris,unresolved_photo_state,False,False,0.3166666666666667,100,853.0605340576171,31.332689485549928,1.2172742291268912,4.204674217698786,1.2421968110916928,0.19995689088092353,complete
discovery,Vitex agnus-castus,unresolved_photo_state,False,False,0.4260355029585799,100,658.192419128418,51.82649535179138,0.4385479621648133,14.22193389054818,0.783950885393913,0.4545111317519867,complete
discovery,Zanthoxylum americanum,local_cooccurrence_only,True,False,0.1913265306122449,96,1053.8270943959553,29.08100564281146,1.1336312938132547,1.729777456073095,1.2015758414239803,0.28282293124900737,complete
discovery,Zephyranthes atamasco,local_cooccurrence_only,True,False,0.3271999999999999,92,701.1461746381676,22.205854716508284,0.8810826256588967,0.5157155623158782,0.8638560593260213,0.2640845277260598,complete
reserve,Adenostyles alliariae,local_cooccurrence_only,True,False,0.628099173553719,83,623.7194949230516,27.03291891856366,0.08377392941153318,2.674576140386217,0.7149677462126554,0.32104137917423314,complete
reserve,Aechmea distichantha,local_cooccurrence_only,True,False,0.2586805555555556,79,311.13794307467305,43.019944052152994,0.6581626785490277,8.279468540146643,,,complete
reserve,Aegiceras corniculatum,local_cooccurrence_only,True,False,0.2903033908387865,73,334.23069919951973,60.60259607393448,1.4423619212889893,5.9369919820494355,1.1410800432214252,0.32869897176437896,complete
reserve,Aliciella latifolia,cooccurrence_and_segregation,True,True,0.2790697674418604,43,803.8918982217479,51.83901099271552,0.7125956955570256,0.4613986067984376,1.1213362422580178,0.16255768107497715,complete
