species,n_classifiable,D,second_fraction,primary_second_ge_0_10,sensitivity_second_ge_0_20,spatial_observed_rho
Lupinus arizonicus,46,0.20037807183364842,0.06521739130434782,False,False,0.106324153965227
Lupinus havardii,60,0.12611111111111106,0.05,False,False,0.0057733877402259
Lupinus microcarpus,47,0.5667722951561793,0.1702127659574468,True,False,-0.0768379650449548
Lysimachia loeflingii,64,0.14697265625,0.046875,False,False,0.0242062959936838
Lysimachia quadrifolia,66,0.059228650137741035,0.015151515151515152,False,False,-0.0233269576595585
Malacothrix saxatilis,63,0.06198034769463345,0.015873015873015872,False,False,-0.0011854584892738
Malva moschata,53,0.481310074759701,0.22641509433962265,True,True,0.031157536612903
Malva thuringiaca,58,0.41141498216409034,0.1896551724137931,True,False,-0.034995071404838
Mazus miquelii,61,0.4934157484547166,0.4426229508196721,True,True,0.0245509090462562
Mecardonia procumbens,50,0.26880000000000015,0.16,True,False,0.1106805118655859
Medicago lupulina,69,0.13610586011342152,0.057971014492753624,False,False,-0.0039280704313845
Medicago marina,75,0.07679999999999998,0.04,False,False,0.0509718023109122
Melaleuca citrina,40,0.40875000000000006,0.15,True,False,0.0563901451336916
Melastoma candidum,52,0.7071005917159763,0.3076923076923077,True,True,0.0555135115931408
Melastoma malabathricum,41,0.6329565734681737,0.3902439024390244,True,True,0.0039842689866729
Melothria pendula,52,0.17677514792899407,0.07692307692307693,False,False,-0.0391063933658366
Micranthes petiolaris,49,0.0,0.0,False,False,-0.0864100130191088
Mitchella repens,49,0.03998334027488548,0.02040816326530612,False,False,0.145742484176656
Moraea flaccida,51,0.3752402921953095,0.19607843137254902,True,False,-0.0009845384145023
Muscari armeniacum,80,0.07218749999999985,0.0375,False,False,0.0350051360863513
Muscari botryoides,65,0.08804733727810632,0.046153846153846156,False,False,-0.0020151787451162
Myosotis latifolia,76,0.375,0.25,True,True,-0.0779532290817343
Myosotis laxa,65,0.08899408284023658,0.03076923076923077,False,False,-0.0703830847992308
Myosotis sparsiflora,74,0.07779401022644272,0.04054054054054054,False,False,0.1236184907163429
Myrica gale,40,0.3037500000000001,0.1,True,False,-0.0331889737845368
Myrtus communis,67,0.21029182445979067,0.11940298507462686,True,False,0.0150829644011537
Nama hispida,61,0.6057511421660844,0.26229508196721313,True,True,0.0652887999074655
Navarretia heterodoxa,65,0.43739644970414193,0.3230769230769231,True,True,0.004520258160335
Nelumbo nucifera,43,0.6414277988101676,0.3953488372093023,True,True,-0.002593295706634
Nicandra physalodes,45,0.5175308641975308,0.2222222222222222,True,True,0.0186125497724653
Nicotiana longiflora,51,0.07535563244905807,0.0392156862745098,False,False,0.0842893601671656
Ochna serrulata,59,0.4699798908359667,0.3389830508474576,True,True,0.0118502881268169
Odontites luteus,66,0.029843893480257178,0.015151515151515152,False,False,-0.0944396881263646
Olearia lirata,68,0.028979238754325065,0.014705882352941176,False,False,0.1052469570365909
Olsynium biflorum,47,0.2978723404255319,0.10638297872340426,True,False,0.0356598234942695
Omphalodes verna,62,0.36680541103017683,0.24193548387096775,True,True,-0.042055945467454
Oreomecon alpina,73,0.2927378495027211,0.1780821917808219,True,False,0.3602882958612977
Ornithopus compressus,52,0.14201183431952646,0.07692307692307693,False,False,0.0895887389772616
