species,inat_taxon_id,total_metadata_records,occupied_cells,cells_ge_2,cells_ge_3,max_records_in_cell,median_records_per_occupied_cell,metadata_rank
Mutisia acuminata,560529,2,1,1,0,2,2.0,1773
Eugenia dysenterica,560898,2,1,1,0,2,2.0,1774
Viola pusilla,563984,2,1,1,0,2,2.0,1775
Vahlia capensis,564587,2,1,1,0,2,2.0,1776
Kalaharia uncinata,565894,2,1,1,0,2,2.0,1777
Corydalis speciosa,566013,2,1,1,0,2,2.0,1778
Rhododendron setosum,566141,2,1,1,0,2,2.0,1779
Isopogon linearis,566253,2,1,1,0,2,2.0,1780
Habenaria amplifolia,566595,2,1,1,0,2,2.0,1781
Oxalis ciliaris,566867,2,1,1,0,2,2.0,1782
Clerodendrum ternatum,567017,2,1,1,0,2,2.0,1783
Satyrium princeps,567804,2,1,1,0,2,2.0,1784
Pelargonium sidoides,568517,2,1,1,0,2,2.0,1785
Lachenalia membranacea,568617,2,1,1,0,2,2.0,1786
Mesembryanthemum aitonis,568634,2,1,1,0,2,2.0,1787
Ixora triantha,569348,2,1,1,0,2,2.0,1788
Heeria argentea,569483,2,1,1,0,2,2.0,1789
Senecio speciosus,569624,2,1,1,0,2,2.0,1790
Augusta longifolia,569672,2,1,1,0,2,2.0,1791
Hydrangea integrifolia,569802,2,1,1,0,2,2.0,1792
Delosperma inconspicuum,569865,2,1,1,0,2,2.0,1793
Ardisia cornudentata,570387,2,1,1,0,2,2.0,1794
Tritoniopsis antholyza,570469,2,1,1,0,2,2.0,1795
Manulea tomentosa,570500,2,1,1,0,2,2.0,1796
Callianthe picta,570676,2,1,1,0,2,2.0,1797
Cipura xanthomelas,571481,2,1,1,0,2,2.0,1798
Cristaria glaucophylla,574787,2,1,1,0,2,2.0,1799
Pentanisia angustifolia,574847,2,1,1,0,2,2.0,1800
Searsia undulata,575088,2,1,1,0,2,2.0,1801
Rapanea melanophloeos,578244,2,1,1,0,2,2.0,1802
Impatiens sylvicola,578540,2,1,1,0,2,2.0,1803
Asclepias crispa,580338,2,1,1,0,2,2.0,1804
Aspalathus crassisepala,580451,2,1,1,0,2,2.0,1805
Athrixia elata,580828,2,1,1,0,2,2.0,1806
Cyanotis pachyrrhiza,583150,2,1,1,0,2,2.0,1807
Dalechampia capensis,583424,2,1,1,0,2,2.0,1808
Disa polygonoides,584013,2,1,1,0,2,2.0,1809
Felicia heterophylla,585829,2,1,1,0,2,2.0,1810
Hebenstretia angolensis,586829,2,1,1,0,2,2.0,1811
Helichrysum candolleanum,586883,2,1,1,0,2,2.0,1812
Justicia kirkiana,588211,2,1,1,0,2,2.0,1813
Melaleuca huegelii,589713,2,1,1,0,2,2.0,1814
Nervilia kotschyi,590580,2,1,1,0,2,2.0,1815
Othonna perfoliata,591110,2,1,1,0,2,2.0,1816
Oxalis stellata,591281,2,1,1,0,2,2.0,1817
Pavonia columella,591486,2,1,1,0,2,2.0,1818
Pelargonium candicans,591553,2,1,1,0,2,2.0,1819
Pelargonium elongatum,591581,2,1,1,0,2,2.0,1820
Polygala senensis,592397,2,1,1,0,2,2.0,1821
Satyrium acuminatum,593731,2,1,1,0,2,2.0,1822
Searsia angustifolia,593865,2,1,1,0,2,2.0,1823
Sphenostylis angustifolia,594659,2,1,1,0,2,2.0,1824
Teucrium trifidum,595293,2,1,1,0,2,2.0,1825
Viscum combreticola,596016,2,1,1,0,2,2.0,1826
Xylopia tomentosa,596345,2,1,1,0,2,2.0,1827
Tessaria integrifolia,603333,2,1,1,0,2,2.0,1828
Tristellateia dulcamara,604579,2,1,1,0,2,2.0,1829
Hibbertia glaberrima,604602,2,1,1,0,2,2.0,1830
Limonium axillare,605450,2,1,1,0,2,2.0,1831
Guzmania berteroniana,606059,2,1,1,0,2,2.0,1832
Crepidium taurinum,623329,2,1,1,0,2,2.0,1833
Mutisia sinuata,626652,2,1,1,0,2,2.0,1834
Combretum cacoucia,627071,2,1,1,0,2,2.0,1835
Rosa abyssinica,628076,2,1,1,0,2,2.0,1836
Oxypetalum solanoides,631076,2,1,1,0,2,2.0,1837
Dendrobium infundibulum,632449,2,1,1,0,2,2.0,1838
Cynanchum daltonii,632689,2,1,1,0,2,2.0,1839
Leucas milanjiana,633685,2,1,1,0,2,2.0,1840
Rhanterium epapposum,633977,2,1,1,0,2,2.0,1841
Anemocarpa saxatilis,634511,2,1,1,0,2,2.0,1842
Drakaea thynniphila,636321,2,1,1,0,2,2.0,1843
Syzygium cormiflorum,639315,2,1,1,0,2,2.0,1844
Brocchia cinerea,699348,2,1,1,0,2,2.0,1845
Swainsona flavicarinata,700151,2,1,1,0,2,2.0,1846
Echium virescens,701054,2,1,1,0,2,2.0,1847
Styrax formosanus,702373,2,1,1,0,2,2.0,1848
Melicope semecarpifolia,702875,2,1,1,0,2,2.0,1849
Astrotricha floccosa,703650,2,1,1,0,2,2.0,1850
Daphne genkwa,703850,2,1,1,0,2,2.0,1851
Morina nepalensis,707016,2,1,1,0,2,2.0,1852
Thysanotus chinensis,709021,2,1,1,0,2,2.0,1853
Blumenbachia sylvestris,709847,2,1,1,0,2,2.0,1854
Viguiera pazensis,709958,2,1,1,0,2,2.0,1855
Passiflora santiagana,711176,2,1,1,0,2,2.0,1856
Sophora macrocarpa,715319,2,1,1,0,2,2.0,1857
Discopodium penninervium,716451,2,1,1,0,2,2.0,1858
Olearia pimeleoides,733631,2,1,1,0,2,2.0,1859
Grevillea wilsonii,734573,2,1,1,0,2,2.0,1860
Passiflora cuspidifolia,734761,2,1,1,0,2,2.0,1861
Hydrocotyle bonplandii,735163,2,1,1,0,2,2.0,1862
Adenocaulon chilense,735369,2,1,1,0,2,2.0,1863
Callerya nitida,736618,2,1,1,0,2,2.0,1864
Drosera collina,736763,2,1,1,0,2,2.0,1865
Disperis neilgherrensis,737333,2,1,1,0,2,2.0,1866
Hesperoxiphion herrerae,737537,2,1,1,0,2,2.0,1867
Trifolium acaule,739227,2,1,1,0,2,2.0,1868
Corydalis ophiocarpa,739319,2,1,1,0,2,2.0,1869
Hylotelephium ewersii,739570,2,1,1,0,2,2.0,1870
Rubia agostinhoi,739615,2,1,1,0,2,2.0,1871
Valeriana chaerophylloides,742016,2,1,1,0,2,2.0,1872
Ischnosiphon obliquus,742948,2,1,1,0,2,2.0,1873
Maclura tricuspidata,743229,2,1,1,0,2,2.0,1874
Hamadryas magellanica,746737,2,1,1,0,2,2.0,1875
Hamadryas kingii,746739,2,1,1,0,2,2.0,1876
Sabulina verna,748403,2,1,1,0,2,2.0,1877
Persoonia falcata,764693,2,1,1,0,2,2.0,1878
Aegonychon zollingeri,765381,2,1,1,0,2,2.0,1879
Impatiens longiloba,768706,2,1,1,0,2,2.0,1880
Cordia taguahyensis,769505,2,1,1,0,2,2.0,1881
Heliotropium crispum,769998,2,1,1,0,2,2.0,1882
Erythranthe alsinoides,771843,2,1,1,0,2,2.0,1883
Micranthes porsildiana,772262,2,1,1,0,2,2.0,1884
Columnea scandens,775267,2,1,1,0,2,2.0,1885
Lysimachia pentapetala,777343,2,1,1,0,2,2.0,1886
Diplacus aurantiacus,777371,2,1,1,0,2,2.0,1887
Oxytropis coerulea,779135,2,1,1,0,2,2.0,1888
Kalanchoe densiflora,779322,2,1,1,0,2,2.0,1889
Bidens macroptera,781533,2,1,1,0,2,2.0,1890
Phytolacca thyrsiflora,781546,2,1,1,0,2,2.0,1891
Sanguisorba canadensis,783544,2,1,1,0,2,2.0,1892
Caladenia leptochila,784963,2,1,1,0,2,2.0,1893
Thelymitra grandiflora,785816,2,1,1,0,2,2.0,1894
Sanguisorba tenuifolia,786969,2,1,1,0,2,2.0,1895
Gomphrena canescens,787920,2,1,1,0,2,2.0,1896
Potentilla humifusa,791123,2,1,1,0,2,2.0,1897
Catharanthus pusillus,791999,2,1,1,0,2,2.0,1898
Schlechtendalia luzulifolia,792817,2,1,1,0,2,2.0,1899
Oxypetalum coccineum,796520,2,1,1,0,2,2.0,1900
Galatella angustissima,796584,2,1,1,0,2,2.0,1901
Caladenia alpina,802784,2,1,1,0,2,2.0,1902
Calceolaria biflora,806631,2,1,1,0,2,2.0,1903
Brachycorythis lastii,812598,2,1,1,0,2,2.0,1904
Nanodea muscosa,816205,2,1,1,0,2,2.0,1905
Bulbophyllum muricatum,829335,2,1,1,0,2,2.0,1906
Lathyrus humilis,834370,2,1,1,0,2,2.0,1907
Spathoglottis paulinae,840867,2,1,1,0,2,2.0,1908
Nanorrhinum heterophyllum,840886,2,1,1,0,2,2.0,1909
Nanorrhinum roseiflorum,840912,2,1,1,0,2,2.0,1910
Lantana megapotamica,841141,2,1,1,0,2,2.0,1911
Daphne kamtschatica,841382,2,1,1,0,2,2.0,1912
Miersia leporina,841772,2,1,1,0,2,2.0,1913
Linaria acutiloba,841977,2,1,1,0,2,2.0,1914
Androsace lehmanniana,842358,2,1,1,0,2,2.0,1915
Lavandula subnuda,847866,2,1,1,0,2,2.0,1916
Lysiana murrayi,849056,2,1,1,0,2,2.0,1917
Asteromyrtus lysicephala,850135,2,1,1,0,2,2.0,1918
Goodenia armstrongiana,851326,2,1,1,0,2,2.0,1919
Scaevola beckii,851566,2,1,1,0,2,2.0,1920
Alpinia arctiflora,851638,2,1,1,0,2,2.0,1921
Zygogynum stipitatum,852200,2,1,1,0,2,2.0,1922
Banisteriopsis anisandra,854072,2,1,1,0,2,2.0,1923
Cassinia laevis,856226,2,1,1,0,2,2.0,1924
Rhododendron konori,857071,2,1,1,0,2,2.0,1925
Convolvulus ammannii,857755,2,1,1,0,2,2.0,1926
Potentilla stolonifera,857857,2,1,1,0,2,2.0,1927
Astragalus macropus,859193,2,1,1,0,2,2.0,1928
Loasa acerifolia,861231,2,1,1,0,2,2.0,1929
Capparicordis crotonoides,861328,2,1,1,0,2,2.0,1930
Trihesperus glaucus,862797,2,1,1,0,2,2.0,1931
Clinopodium darwinii,864490,2,1,1,0,2,2.0,1932
Cartonema spicatum,864791,2,1,1,0,2,2.0,1933
Byrsonima gardneriana,867953,2,1,1,0,2,2.0,1934
Oxalis divaricata,868800,2,1,1,0,2,2.0,1935
Acacia spondylophylla,869455,2,1,1,0,2,2.0,1936
Acacia lycopodiifolia,869640,2,1,1,0,2,2.0,1937
Grevillea heliosperma,869827,2,1,1,0,2,2.0,1938
Borzicactus sepium,870590,2,1,1,0,2,2.0,1939
Impatiens rothii,871758,2,1,1,0,2,2.0,1940
Salvia schimperi,871766,2,1,1,0,2,2.0,1941
Costus giganteus,876503,2,1,1,0,2,2.0,1942
Oxalis procumbens,879903,2,1,1,0,2,2.0,1943
Drosera brevicornis,881614,2,1,1,0,2,2.0,1944
Acacia strongylophylla,884074,2,1,1,0,2,2.0,1945
Drosera fragrans,886405,2,1,1,0,2,2.0,1946
Sanchezia oblonga,888366,2,1,1,0,2,2.0,1947
Amorphophallus commutatus,897942,2,1,1,0,2,2.0,1948
Vachellia seyal,898707,2,1,1,0,2,2.0,1949
Draba tschuktschorum,903021,2,1,1,0,2,2.0,1950
Justicia lanstyakii,904316,2,1,1,0,2,2.0,1951
Mitracarpus baturitensis,905262,2,1,1,0,2,2.0,1952
Ipomoea bahiensis,906939,2,1,1,0,2,2.0,1953
Lagotis kunawurensis,907863,2,1,1,0,2,2.0,1954
Centaurothamnus maximus,910407,2,1,1,0,2,2.0,1955
Jacaranda bracteata,910594,2,1,1,0,2,2.0,1956
Comesperma scoparium,913373,2,1,1,0,2,2.0,1957
Dimorphanthera microphylla,920582,2,1,1,0,2,2.0,1958
Palicourea violacea,926025,2,1,1,0,2,2.0,1959
Barbacenia purpurea,928766,2,1,1,0,2,2.0,1960
Codonoboea curtisii,930192,2,1,1,0,2,2.0,1961
Orthochilus rutenbergianus,934695,2,1,1,0,2,2.0,1962
Oxera amicorum,935959,2,1,1,0,2,2.0,1963
Cyrtosperma cuspidispathum,937779,2,1,1,0,2,2.0,1964
Chresta martii,939781,2,1,1,0,2,2.0,1965
Amphicarpaea edgeworthii,947140,2,1,1,0,2,2.0,1966
Petroana montana,950207,2,1,1,0,2,2.0,1967
Achyranthemum striatum,950259,2,1,1,0,2,2.0,1968
Anemonoides pseudoaltaica,950599,2,1,1,0,2,2.0,1969
Corydalis juncea,950690,2,1,1,0,2,2.0,1970
Paracarphalea pervilleana,952160,2,1,1,0,2,2.0,1971
Atractylis aristata,956041,2,1,1,0,2,2.0,1972
Mischocarpus lachnocarpus,956489,2,1,1,0,2,2.0,1973
Androsace ochotensis,958975,2,1,1,0,2,2.0,1974
Vaccinium varingiifolium,959463,2,1,1,0,2,2.0,1975
Pontederia azurea,962649,2,1,1,0,2,2.0,1976
Palisota pedicellata,962830,2,1,1,0,2,2.0,1977
Phlomis bruguieri,966713,2,1,1,0,2,2.0,1978
Campanula alaskana,967218,2,1,1,0,2,2.0,1979
Neosepicaea jucunda,972480,2,1,1,0,2,2.0,1980
Strobilanthes calycina,972644,2,1,1,0,2,2.0,1981
Pigea calycina,977347,2,1,1,0,2,2.0,1982
Doniophyton anomalum,978799,2,1,1,0,2,2.0,1983
Colchicum schimperianum,980478,2,1,1,0,2,2.0,1984
Burchardia rosea,984593,2,1,1,0,2,2.0,1985
Odontarrhena tortuosa,987366,2,1,1,0,2,2.0,1986
Hildebrandtia africana,993911,2,1,1,0,2,2.0,1987
Aeschynanthus fulgens,994460,2,1,1,0,2,2.0,1988
Billardiera fraseri,1005237,2,1,1,0,2,2.0,1989
Caltha arctica,1006994,2,1,1,0,2,2.0,1990
Genlisea africana,1008260,2,1,1,0,2,2.0,1991
Scaevola montana,1022823,2,1,1,0,2,2.0,1992
Barleria acanthoides,1030575,2,1,1,0,2,2.0,1993
Rhododendron saxifragoides,1034604,2,1,1,0,2,2.0,1994
Vaccinium latissimum,1034927,2,1,1,0,2,2.0,1995
Erica flaccida,1035335,2,1,1,0,2,2.0,1996
Hesperoxiphion pardalis,1039659,2,1,1,0,2,2.0,1997
Xyris involucrata,1043025,2,1,1,0,2,2.0,1998
Virectaria major,1047762,2,1,1,0,2,2.0,1999
Begonia aketajawensis,1066135,2,1,1,0,2,2.0,2000
Ptilotus xerophilus,1068159,2,1,1,0,2,2.0,2001
Centaurea pungens,1071085,2,1,1,0,2,2.0,2002
Begonia rieckei,1071646,2,1,1,0,2,2.0,2003
Aeginetia acaulis,1072913,2,1,1,0,2,2.0,2004
Bulbophyllum aphanopetalum,1073458,2,1,1,0,2,2.0,2005
Erysimum macilentum,1075067,2,1,1,0,2,2.0,2006
Bonamia erecta,1077942,2,1,1,0,2,2.0,2007
Platanthera oligantha,1089622,2,1,1,0,2,2.0,2008
Dendrobium austrocaledonicum,1096719,2,1,1,0,2,2.0,2009
Polystachya thomensis,1105526,2,1,1,0,2,2.0,2010
Bulbophyllum phormion,1109824,2,1,1,0,2,2.0,2011
Croton guianensis,1119409,2,1,1,0,2,2.0,2012
Senecio roseiflorus,1120716,2,1,1,0,2,2.0,2013
Caladenia stellata,1124317,2,1,1,0,2,2.0,2014
Veronica stelleri,1125303,2,1,1,0,2,2.0,2015
Boronia dichotoma,1141215,2,1,1,0,2,2.0,2016
Melaleuca torulosa,1146777,2,1,1,0,2,2.0,2017
Campanula edulis,1149179,2,1,1,0,2,2.0,2018
Phanera kockiana,1155314,2,1,1,0,2,2.0,2019
Mussaenda uniflora,1156125,2,1,1,0,2,2.0,2020
Euphorbia pancheri,1177578,2,1,1,0,2,2.0,2021
Cleistes grandiflora,1178659,2,1,1,0,2,2.0,2022
Stylidium imbricatum,1182557,2,1,1,0,2,2.0,2023
Miconia karlkrugii,1230057,2,1,1,0,2,2.0,2024
Wedelia goyazensis,1231458,2,1,1,0,2,2.0,2025
Taraxacum zealandicum,1234357,2,1,1,0,2,2.0,2026
Aquilegia hebeica,1234651,2,1,1,0,2,2.0,2027
Trimezia sabini,1240246,2,1,1,0,2,2.0,2028
Hemipilia cucullata,1243172,2,1,1,0,2,2.0,2029
Grona triflora,1243255,2,1,1,0,2,2.0,2030
Neoguillauminia cleopatra,1244730,2,1,1,0,2,2.0,2031
Petalostigma quadriloculare,1249877,2,1,1,0,2,2.0,2032
Polystachya microbambusa,1266352,2,1,1,0,2,2.0,2033
Psychotria gabriellae,1276012,2,1,1,0,2,2.0,2034
Teucrium nummulariifolium,1279937,2,1,1,0,2,2.0,2035
Saussurea pseudotilesii,1280291,2,1,1,0,2,2.0,2036
Crepidorhopalon rupestris,1280844,2,1,1,0,2,2.0,2037
Adonis apennina,1291358,2,1,1,0,2,2.0,2038
Ravenala madagascariensis,1311723,2,1,1,0,2,2.0,2039
Puya asplundii,1340281,2,1,1,0,2,2.0,2040
Apium australe,1355764,2,1,1,0,2,2.0,2041
Reseda lancerotae,1369689,2,1,1,0,2,2.0,2042
Nauclea latifolia,1371236,2,1,1,0,2,2.0,2043
Styphelia humifusa,1391449,2,1,1,0,2,2.0,2044
Coelogyne macdonaldii,1394053,2,1,1,0,2,2.0,2045
Garcinia puat,1403654,2,1,1,0,2,2.0,2046
Delosperma napiforme,1404344,2,1,1,0,2,2.0,2047
Prunus humilis,1404412,2,1,1,0,2,2.0,2048
Syzygium richii,1405928,2,1,1,0,2,2.0,2049
Zygophyllum indicum,1424584,2,1,1,0,2,2.0,2050
Cirsium esculentum,1456788,2,1,1,0,2,2.0,2051
Convolvulus kilimandschari,1469191,2,1,1,0,2,2.0,2052
Pimelea sanguinea,1470205,2,1,1,0,2,2.0,2053
Pogonospermum ciliatum,1483773,2,1,1,0,2,2.0,2054
Paratrophis pendulina,1483774,2,1,1,0,2,2.0,2055
Paepalanthus koernickei,1485616,2,1,1,0,2,2.0,2056
Passiflora lanuginosa,1488804,2,1,1,0,2,2.0,2057
Kedrostis elongata,1494223,2,1,1,0,2,2.0,2058
Roemeria pavonina,1501102,2,1,1,0,2,2.0,2059
Meistera echinocarpa,1504430,2,1,1,0,2,2.0,2060
Allobriquetia spicata,1543147,2,1,1,0,2,2.0,2061
Helianthemum citrinum,1568933,2,1,1,0,2,2.0,2062
Senega lutea,1568936,2,1,1,0,2,2.0,2063
Erythrina afra,1588191,2,1,1,0,2,2.0,2064
Cerastium arcticum,1596544,2,1,1,0,2,2.0,2065
Senecio heterolobus,1597845,2,1,1,0,2,2.0,2066
Phaleria disperma,1607518,2,1,1,0,2,2.0,2067
Calanthe africana,1644756,2,1,1,0,2,2.0,2068
Trilisa paniculata,1648271,2,1,1,0,2,2.0,2069
Orobanche dhofarensis,1649003,2,1,1,0,2,2.0,2070
Dolianthus subalpinus,1672080,2,1,1,0,2,2.0,2071
Psychotria milnei,1680155,2,1,1,0,2,2.0,2072
Sabdariffa petherickii,1687416,2,1,1,0,2,2.0,2073
Portulaca oleracea,58991,15,15,0,0,1,1.0,2074
Stellaria media,53298,14,14,0,0,1,1.0,2075
Dactylis glomerata,52720,13,13,0,0,1,1.0,2076
Plumbago zeylanica,126980,13,13,0,0,1,1.0,2077
Cirsium arvense,60132,10,10,0,0,1,1.0,2078
Macroptilium atropurpureum,165059,10,10,0,0,1,1.0,2079
Hesperis matronalis,47697,9,9,0,0,1,1.0,2080
Thunbergia erecta,169741,9,9,0,0,1,1.0,2081
Chelidonium majus,55757,8,8,0,0,1,1.0,2082
Galinsoga quadriradiata,56170,8,8,0,0,1,1.0,2083
Carica papaya,62811,8,8,0,0,1,1.0,2084
Prunus padus,143793,8,8,0,0,1,1.0,2085
Cassytha filiformis,160172,8,8,0,0,1,1.0,2086
Ludwigia octovalvis,164861,8,8,0,0,1,1.0,2087
Moringa oleifera,165529,8,8,0,0,1,1.0,2088
Ulex europaeus,51751,7,7,0,0,1,1.0,2089
Veronica serpyllifolia,55749,7,7,0,0,1,1.0,2090
Thlaspi arvense,79358,7,7,0,0,1,1.0,2091
Verbesina encelioides,79495,7,7,0,0,1,1.0,2092
Bauhinia purpurea,82135,7,7,0,0,1,1.0,2093
Cosmos sulphureus,48651,6,6,0,0,1,1.0,2094
Cerastium arvense,50851,6,6,0,0,1,1.0,2095
Arctotheca calendula,56024,6,6,0,0,1,1.0,2096
Calystegia sepium,57481,6,6,0,0,1,1.0,2097
Trifolium hybridum,61824,6,6,0,0,1,1.0,2098
Amaryllis belladonna,61827,6,6,0,0,1,1.0,2099
Hibiscus schizopetalus,62877,6,6,0,0,1,1.0,2100
Pilea microphylla,69172,6,6,0,0,1,1.0,2101
Euphorbia cyathophora,77109,6,6,0,0,1,1.0,2102
Plumbago auriculata,78631,6,6,0,0,1,1.0,2103
Trifolium arvense,79408,6,6,0,0,1,1.0,2104
Anacardium occidentale,122988,6,6,0,0,1,1.0,2105
Stachytarpheta cayennensis,126569,6,6,0,0,1,1.0,2106
Portulaca pilosa,133294,6,6,0,0,1,1.0,2107
Euphorbia heterophylla,162829,6,6,0,0,1,1.0,2108
Muntingia calabura,165586,6,6,0,0,1,1.0,2109
Potentilla indica,243824,6,6,0,0,1,1.0,2110
Euphorbia hypericifolia,275384,6,6,0,0,1,1.0,2111
Trimezia steyermarkii,284175,6,6,0,0,1,1.0,2112
Scoparia dulcis,317963,6,6,0,0,1,1.0,2113
Silene flos-cuculi,740984,6,6,0,0,1,1.0,2114
Volkameria inermis,775466,6,6,0,0,1,1.0,2115
Passiflora edulis,51446,5,5,0,0,1,1.0,2116
Cotula australis,53025,5,5,0,0,1,1.0,2117
Lunaria annua,55886,5,5,0,0,1,1.0,2118
Vicia villosa,57317,5,5,0,0,1,1.0,2119
Comarum palustre,62213,5,5,0,0,1,1.0,2120
Chimaphila umbellata,62236,5,5,0,0,1,1.0,2121
Theobroma cacao,64340,5,5,0,0,1,1.0,2122
Geum macrophyllum,77266,5,5,0,0,1,1.0,2123
Sida rhombifolia,79077,5,5,0,0,1,1.0,2124
Verbena bonariensis,79487,5,5,0,0,1,1.0,2125
Impatiens noli-tangere,85492,5,5,0,0,1,1.0,2126
Russelia equisetiformis,122519,5,5,0,0,1,1.0,2127
Parthenium hysterophorus,126424,5,5,0,0,1,1.0,2128
Scaevola plumieri,126620,5,5,0,0,1,1.0,2129
Gomphrena globosa,128268,5,5,0,0,1,1.0,2130
Thunbergia grandiflora,129036,5,5,0,0,1,1.0,2131
Elephantopus mollis,162267,5,5,0,0,1,1.0,2132
Macroptilium lathyroides,165060,5,5,0,0,1,1.0,2133
Melochia pyramidata,165294,5,5,0,0,1,1.0,2134
Opuntia monacantha,165894,5,5,0,0,1,1.0,2135
Solanum seaforthianum,169083,5,5,0,0,1,1.0,2136
Euphorbia thymifolia,200055,5,5,0,0,1,1.0,2137
Arctous alpina,204243,5,5,0,0,1,1.0,2138
Bonnaya antipoda,1005916,5,5,0,0,1,1.0,2139
Spartium junceum,47406,4,4,0,0,1,1.0,2140
Acer negundo,47726,4,4,0,0,1,1.0,2141
Convallaria majalis,48206,4,4,0,0,1,1.0,2142
Mangifera indica,48872,4,4,0,0,1,1.0,2143
Epipactis helleborine,50717,4,4,0,0,1,1.0,2144
Physalis peruviana,51988,4,4,0,0,1,1.0,2145
Galium aparine,53059,4,4,0,0,1,1.0,2146
Rumex acetosella,53195,4,4,0,0,1,1.0,2147
Silene gallica,53212,4,4,0,0,1,1.0,2148
Sonchus asper,53269,4,4,0,0,1,1.0,2149
Trifolium dubium,53313,4,4,0,0,1,1.0,2150
Arabidopsis thaliana,55021,4,4,0,0,1,1.0,2151
Senecio inaequidens,55607,4,4,0,0,1,1.0,2152
Primula veris,55819,4,4,0,0,1,1.0,2153
Lobularia maritima,56992,4,4,0,0,1,1.0,2154
Centranthus ruber,57283,4,4,0,0,1,1.0,2155
Sambucus racemosa,57824,4,4,0,0,1,1.0,2156
Hydrocotyle umbellata,58792,4,4,0,0,1,1.0,2157
Plantago major,58961,4,4,0,0,1,1.0,2158
Helminthotheca echioides,61906,4,4,0,0,1,1.0,2159
Tamarindus indica,62844,4,4,0,0,1,1.0,2160
Ipomoea batatas,62941,4,4,0,0,1,1.0,2161
Clerodendrum trichotomum,67539,4,4,0,0,1,1.0,2162
Asphodelus fistulosus,75606,4,4,0,0,1,1.0,2163
Bacopa monnieri,75732,4,4,0,0,1,1.0,2164
Erigeron annuus,76897,4,4,0,0,1,1.0,2165
Galium mollugo,77206,4,4,0,0,1,1.0,2166
Jacaranda mimosifolia,77541,4,4,0,0,1,1.0,2167
Lonicera japonica,77835,4,4,0,0,1,1.0,2168
Mentha canadensis,77991,4,4,0,0,1,1.0,2169
Nicandra physalodes,78217,4,4,0,0,1,1.0,2170
Scutellaria galericulata,79016,4,4,0,0,1,1.0,2171
Senecio elegans,79044,4,4,0,0,1,1.0,2172
Scabiosa columbaria,85047,4,4,0,0,1,1.0,2173
Campanula rapunculoides,85321,4,4,0,0,1,1.0,2174
Gentiana algida,118783,4,4,0,0,1,1.0,2175
Ananas comosus,122965,4,4,0,0,1,1.0,2176
Aster alpinus,123449,4,4,0,0,1,1.0,2177
Lonicera xylosteum,124548,4,4,0,0,1,1.0,2178
Lathyrus pratensis,125787,4,4,0,0,1,1.0,2179
Mimosa diplotricha,126584,4,4,0,0,1,1.0,2180
Eriophorum vaginatum,128735,4,4,0,0,1,1.0,2181
Chamaedaphne calyculata,132767,4,4,0,0,1,1.0,2182
Vicia amoena,138480,4,4,0,0,1,1.0,2183
Saxifraga aizoides,144152,4,4,0,0,1,1.0,2184
Acalypha indica,157894,4,4,0,0,1,1.0,2185
Bauhinia monandra,159199,4,4,0,0,1,1.0,2186
Campanula persicifolia,159764,4,4,0,0,1,1.0,2187
Heliconia bihai,163639,4,4,0,0,1,1.0,2188
Hippeastrum puniceum,163810,4,4,0,0,1,1.0,2189
Ipomoea alba,164075,4,4,0,0,1,1.0,2190
Justicia betonica,164316,4,4,0,0,1,1.0,2191
Laportea aestuans,164427,4,4,0,0,1,1.0,2192
Mentzelia aspera,165303,4,4,0,0,1,1.0,2193
Opuntia cochenillifera,165876,4,4,0,0,1,1.0,2194
Richardia brasiliensis,167940,4,4,0,0,1,1.0,2195
Sida linifolia,168932,4,4,0,0,1,1.0,2196
Spermacoce verticillata,169171,4,4,0,0,1,1.0,2197
Syzygium cumini,169518,4,4,0,0,1,1.0,2198
Triumfetta rhomboidea,170044,4,4,0,0,1,1.0,2199
Ocimum tenuiflorum,181060,4,4,0,0,1,1.0,2200
Lamium galeobdolon,204339,4,4,0,0,1,1.0,2201
Justicia flava,205898,4,4,0,0,1,1.0,2202
Anemone coronaria,244745,4,4,0,0,1,1.0,2203
Varronia curassavica,283226,4,4,0,0,1,1.0,2204
Sesamum indicum,285850,4,4,0,0,1,1.0,2205
Leucopogon parviflorus,323832,4,4,0,0,1,1.0,2206
Eleutheranthera ruderalis,332605,4,4,0,0,1,1.0,2207
Blumea axillaris,370030,4,4,0,0,1,1.0,2208
Salvia aegyptiaca,467538,4,4,0,0,1,1.0,2209
Dicliptera ciliaris,475081,4,4,0,0,1,1.0,2210
Nicotiana tabacum,873768,4,4,0,0,1,1.0,2211
Decalobanthus peltatus,945393,4,4,0,0,1,1.0,2212
Palicourea colorata,1121974,4,4,0,0,1,1.0,2213
Eulophia maculata,1453469,4,4,0,0,1,1.0,2214
Sherardia arvensis,47691,3,3,0,0,1,1.0,2215
Sagittaria latifolia,48070,3,3,0,0,1,1.0,2216
Galinsoga parviflora,48178,3,3,0,0,1,1.0,2217
Myosotis scorpioides,49130,3,3,0,0,1,1.0,2218
Spiranthes romanzoffiana,50743,3,3,0,0,1,1.0,2219
Passiflora caerulea,51454,3,3,0,0,1,1.0,2220
Colubrina asiatica,51593,3,3,0,0,1,1.0,2221
Pittosporum undulatum,51594,3,3,0,0,1,1.0,2222
Bidens frondosa,51712,3,3,0,0,1,1.0,2223
Impatiens parviflora,51736,3,3,0,0,1,1.0,2224
Gaillardia pulchella,51768,3,3,0,0,1,1.0,2225
Matricaria discoidea,52992,3,3,0,0,1,1.0,2226
