edge_id,cell_i,cell_j,opportunities,transition_count,persistence,species_turnover_jsd_bits,candidate_n_i,candidate_n_j,species_n_i,species_n_j,shared_species,union_species,species_jaccard_similarity
81:99,81,99,200,3,0.015,0.7911173643655527,200,200,146,117,28,235,0.11914893617021277
82:83,82,83,200,0,0.0,0.8940407968377447,200,133,156,69,10,215,0.046511627906976744
82:100,82,100,200,92,0.46,0.8323336203756336,200,199,156,126,20,262,0.07633587786259542
83:84,83,84,200,0,0.0,0.7239027076292357,133,94,69,60,16,113,0.1415929203539823
83:101,83,101,200,0,0.0,0.9047614939855533,133,200,69,151,9,211,0.04265402843601896
84:85,84,85,200,0,0.0,0.7216023228488925,94,200,60,119,20,159,0.12578616352201258
84:102,84,102,200,4,0.02,0.8655694201529042,94,200,60,171,12,219,0.0547945205479452
85:86,85,86,200,8,0.04,0.7915949407680549,200,200,119,151,26,244,0.10655737704918032
85:103,85,103,200,5,0.025,0.7406624346025823,200,200,119,140,30,229,0.13100436681222707
86:87,86,87,200,0,0.0,0.8090693122390132,200,200,151,134,25,260,0.09615384615384616
86:104,86,104,200,25,0.125,0.7585469866593318,200,200,151,137,32,256,0.125
87:88,87,88,200,0,0.0,0.7705972515583817,200,101,134,65,19,180,0.10555555555555556
87:105,87,105,200,0,0.0,0.74234532647372,200,200,134,136,29,241,0.12033195020746888
88:89,88,89,0,0,,0.9657070731171505,101,5,65,5,1,69,0.014492753623188406
88:106,88,106,200,2,0.01,0.8423228648444738,101,200,65,128,13,180,0.07222222222222222
89:107,89,107,0,0,,0.8960685912255177,5,17,5,14,1,18,0.05555555555555555
90:91,90,91,200,6,0.03,0.9132328289520832,43,200,34,97,5,126,0.03968253968253968
90:107,90,107,200,200,1.0,0.8275772207616068,43,17,34,14,4,44,0.09090909090909091
90:108,90,108,200,53,0.265,0.9216873437438261,43,14,34,10,2,42,0.047619047619047616
91:92,91,92,0,0,,,200,0,97,0,0,97,0.0
91:109,91,109,200,1,0.005,0.6665330859053028,200,200,97,118,34,181,0.1878453038674033
92:93,92,93,0,0,,,0,200,0,143,0,143,0.0
92:110,92,110,0,0,,,0,0,0,0,0,0,
93:94,93,94,200,2,0.01,0.8868449533021551,200,200,143,181,18,306,0.058823529411764705
93:111,93,111,200,1,0.005,0.9488341371471332,200,200,143,167,8,302,0.026490066225165563
94:95,94,95,200,0,0.0,0.9102062820290902,200,200,181,174,15,340,0.04411764705882353
94:112,94,112,200,0,0.0,0.9583996038850823,200,200,181,166,7,340,0.020588235294117647
95:96,95,96,200,2,0.01,0.8488480810858513,200,89,174,59,15,218,0.06880733944954129
95:113,95,113,200,0,0.0,0.893484162022954,200,200,174,154,17,311,0.05466237942122187
96:97,96,97,200,93,0.465,0.8773980811712146,89,108,59,54,6,107,0.056074766355140186
96:114,96,114,0,0,,,89,0,59,0,0,59,0.0
97:98,97,98,200,2,0.01,0.9396933646223169,108,200,54,130,5,179,0.027932960893854747
97:115,97,115,0,0,,,108,0,54,0,0,54,0.0
98:99,98,99,200,14,0.07,0.6880147556171181,200,200,130,117,35,212,0.1650943396226415
98:116,98,116,200,71,0.355,0.9865501854563988,200,200,130,160,2,288,0.006944444444444444
99:100,99,100,200,22,0.11,0.9381429366886344,200,199,117,126,7,236,0.029661016949152543
99:117,99,117,200,100,0.5,0.9562581532035682,200,118,117,92,4,205,0.01951219512195122
100:101,100,101,200,14,0.07,0.9061605490345205,199,200,126,151,12,265,0.045283018867924525
100:118,100,118,200,9,0.045,0.9531642995159249,199,200,126,138,5,259,0.019305019305019305
101:102,101,102,200,1,0.005,0.9288335578609354,200,200,151,171,10,312,0.03205128205128205
101:119,101,119,200,7,0.035,0.8543686972051532,200,200,151,115,20,246,0.08130081300813008
102:103,102,103,200,3,0.015,0.856254722010216,200,200,171,140,20,291,0.06872852233676977
102:120,102,120,200,0,0.0,0.8197369447801834,200,200,171,154,25,300,0.08333333333333333
103:104,103,104,200,4,0.02,0.7374961376810092,200,200,140,137,34,243,0.13991769547325103
103:121,103,121,200,1,0.005,0.8480787371155483,200,200,140,176,21,295,0.0711864406779661
104:105,104,105,200,5,0.025,0.706813417178908,200,200,137,136,35,238,0.14705882352941177
