species,classifiable_photos,occupied_h1_cells,cell_pairs,observed_geographic_colour_spearman_rho,min_photos_per_cell,max_photos_per_cell,mean_photos_per_cell
Tabebuia heterophylla,5,4,6,-0.2571428571428571,1,2,1.25
Talinum fruticosum,6,5,10,0.07926976633148354,1,2,1.2
Taraxacum officinale,24,16,120,-0.12533537795562313,1,4,1.5
Tecoma stans,6,6,15,-0.24664889205499185,1,1,1.0
Thysanotus patersonii,8,5,10,-0.018521694664415903,1,3,1.6
Tiarella trifoliata,5,3,3,0.8660254037844387,1,3,1.6666666666666667
Tribulus terrestris,8,7,21,-0.2036436336945836,1,2,1.1428571428571428
Tridax procumbens,56,29,406,-0.060688294205183124,1,8,1.9310344827586208
Trifolium lupinaster,5,4,6,0.7714285714285715,1,2,1.25
Trifolium pratense,21,16,120,-0.0069440348281556265,1,3,1.3125
Trifolium repens,23,15,105,0.10960111415212714,1,3,1.5333333333333334
Tripleurospermum inodorum,10,5,10,-0.28484848484848485,1,4,2.0
Tripleurospermum maritimum,7,4,6,-0.4058397249567139,1,4,1.75
Tropaeolum majus,5,5,10,-0.4909090909090909,1,1,1.0
Turnera subulata,23,11,55,0.17048167699886238,1,7,2.090909090909091
Urena lobata,6,5,10,0.18787878787878787,1,2,1.2
Vaccinium vitis-idaea,5,5,10,-0.018293022999573125,1,1,1.0
Veronica chamaedrys,11,5,10,0.37310438707059995,1,5,2.2
Veronica longifolia,6,4,6,0.8285714285714286,1,3,1.5
Veronica persica,11,7,21,-0.1085826665799,1,3,1.5714285714285714
Vicia cracca,9,8,28,0.07953941253365711,1,2,1.125
Vinca minor,8,5,10,0.15151515151515152,1,3,1.6
Viola altaica,20,3,3,0.4999999999999999,2,16,6.666666666666667
Viola tricolor,11,6,15,0.06970512166771509,1,3,1.8333333333333333
