stage,species,training_inclusions,evaluation_inclusions
evaluation,Geranium yeoi,126,0
evaluation,Geum canadense,135,0
evaluation,Geum macrophyllum,129,0
evaluation,Geum urbanum,0,140
evaluation,Gompholobium huegelii,0,130
evaluation,Goodenia ovata,134,0
evaluation,Grevillea alpina,144,0
evaluation,Grevillea lavandulacea,132,0
evaluation,Guzmania monostachia,134,0
evaluation,Hedypnois rhagadioloides,143,0
evaluation,Helenium autumnale,121,0
evaluation,Helianthus divaricatus,0,136
evaluation,Hepatica acutiloba,134,0
evaluation,Hibbertia cuneiformis,135,0
evaluation,Hibiscus denudatus,0,135
evaluation,Hofmeisteria fasciculata,127,0
evaluation,Homogyne alpina,149,0
evaluation,Hyacinthoides non-scripta,136,0
evaluation,Hypocalymma robustum,0,134
evaluation,Iliamna rivularis,0,128
evaluation,Ipomoea cairica,131,0
evaluation,Ipomoea pes-caprae,140,0
evaluation,Jacobaea adonidifolia,0,131
evaluation,Jaumea carnosa,0,134
evaluation,Johnstonella angustifolia,150,0
evaluation,Lachenalia reflexa,143,0
evaluation,Lamprocapnos spectabilis,0,130
evaluation,Lantana involucrata,0,142
evaluation,Lathyrus japonicus,120,0
evaluation,Lathyrus palustris,0,128
evaluation,Lathyrus pratensis,0,129
evaluation,Lepidium campestre,142,0
evaluation,Lepidium fremontii,139,0
evaluation,Leucaena leucocephala,0,133
evaluation,Leucopogon affinis,0,139
evaluation,Leucopogon microphyllus,0,134
evaluation,Ligustrum obtusifolium,129,0
evaluation,Linum catharticum,0,139
evaluation,Linum lewisii,136,0
evaluation,Lithospermum canescens,132,0
evaluation,Lobelia erinus,136,0
evaluation,Loeselia glandulosa,0,151
evaluation,Ludwigia peruviana,0,117
evaluation,Lupinus arizonicus,127,0
evaluation,Lupinus havardii,0,141
evaluation,Lupinus microcarpus,144,0
evaluation,Lysimachia loeflingii,0,153
evaluation,Lysimachia quadrifolia,149,0
evaluation,Malacothrix saxatilis,135,0
evaluation,Malva moschata,135,0
evaluation,Malva thuringiaca,116,0
evaluation,Mazus miquelii,0,140
evaluation,Mecardonia procumbens,141,0
evaluation,Medicago lupulina,135,0
evaluation,Medicago marina,0,119
evaluation,Melaleuca citrina,0,135
evaluation,Melastoma candidum,127,0
evaluation,Melastoma malabathricum,0,144
evaluation,Melothria pendula,139,0
evaluation,Micranthes petiolaris,0,132
evaluation,Mitchella repens,143,0
evaluation,Moraea flaccida,137,0
evaluation,Muscari armeniacum,0,141
evaluation,Muscari botryoides,0,126
evaluation,Myosotis latifolia,130,0
evaluation,Myosotis laxa,0,136
evaluation,Myosotis sparsiflora,124,0
evaluation,Myrica gale,0,141
evaluation,Myrtus communis,0,146
evaluation,Nama hispida,144,0
evaluation,Navarretia heterodoxa,121,0
evaluation,Nelumbo nucifera,0,142
evaluation,Nicandra physalodes,0,120
evaluation,Nicotiana longiflora,128,0
evaluation,Ochna serrulata,131,0
evaluation,Odontites luteus,147,0
evaluation,Olearia lirata,141,0
evaluation,Olsynium biflorum,0,129
evaluation,Omphalodes verna,0,137
evaluation,Oreomecon alpina,0,124
evaluation,Ornithopus compressus,126,0
evaluation,Oxalis violacea,0,132
evaluation,Oxytropis campestris,0,139
evaluation,Papaver dubium,0,139
evaluation,Parthenium confertum,135,0
evaluation,Passiflora mixta,128,0
evaluation,Pectis multiseta,142,0
evaluation,Pectis papposa,0,126
evaluation,Penstemon speciosus,143,0
evaluation,Pentanema squarrosum,132,0
evaluation,Persicaria nepalensis,0,118
evaluation,Persicaria pensylvanica,130,0
evaluation,Phlomoides tuberosa,0,128
evaluation,Phlox diffusa,142,0
evaluation,Phlox longifolia,132,0
evaluation,Phlox roemeriana,140,0
evaluation,Pimelea serpyllifolia,130,0
evaluation,Pinguicula vulgaris,0,147
evaluation,Piqueria trinervia,0,153
evaluation,Pittosporum revolutum,134,0
evaluation,Plantago media,0,127
evaluation,Polycalymma stuartii,128,0
evaluation,Polygala comosa,142,0
evaluation,Portulaca suffrutescens,0,136
evaluation,Potentilla concinna,0,143
evaluation,Potentilla indica,136,0
evaluation,Potentilla simplex,141,0
evaluation,Primula elatior,0,141
evaluation,Prunus mahaleb,128,0
evaluation,Pseudo-fumaria lutea,144,0
evaluation,Pseudognaphalium affine,145,0
evaluation,Pulmonaria obscura,130,0
evaluation,Pultenaea villosa,0,135
evaluation,Purshia stansburyana,0,127
evaluation,Pycnanthemum virginianum,0,130
evaluation,Pyrola elliptica,144,0
evaluation,Ranunculus kuepferi,135,0
evaluation,Ranunculus lyallii,135,0
evaluation,Ranunculus trichophyllus,140,0
evaluation,Ranunculus uncinatus,0,122
evaluation,Rhododendron canadense,0,141
evaluation,Rhododendron catawbiense,0,136
evaluation,Rhododendron pseudochrysanthum,0,132
evaluation,Rhododendron tomentosum,130,0
evaluation,Rhynchospora colorata,0,142
evaluation,Rorippa palustris,0,135
evaluation,Rosa blanda,0,130
evaluation,Rosa multiflora,143,0
evaluation,Rubus chamaemorus,140,0
evaluation,Rubus odoratus,0,123
evaluation,Rubus trivialis,0,148
evaluation,Rudbeckia triloba,0,140
evaluation,Sagittaria lancifolia,147,0
evaluation,Sagittaria latifolia,0,135
evaluation,Sairocarpus pusillus,127,0
evaluation,Salvia amarissima,137,0
evaluation,Salvia hispanica,0,126
evaluation,Salvia lavanduloides,0,136
evaluation,Salvia polystachia,142,0
evaluation,Salvia prunelloides,136,0
evaluation,Salvia verticillata,0,141
evaluation,Sambucus mexicana,128,0
evaluation,Sanguinaria canadensis,158,0
evaluation,Satureja montana,138,0
evaluation,Saxifraga granulata,134,0
evaluation,Saxifraga tridactylites,0,140
evaluation,Scilla bifolia,0,128
evaluation,Scilla luciliae,0,138
evaluation,Scilla verna,130,0
evaluation,Senecio mohavensis,132,0
evaluation,Senecio ovatus,0,130
evaluation,Senecio triangularis,131,0
evaluation,Senecio vernalis,0,109
evaluation,Senegalia berlandieri,146,0
evaluation,Senna artemisioides,154,0
evaluation,Senna hebecarpa,126,0
evaluation,Sericocarpus linifolius,142,0
evaluation,Sesbania drummondii,0,136
evaluation,Sidalcea candida,150,0
evaluation,Sideranthus spinulosus,0,140
evaluation,Sisymbrium irio,0,129
evaluation,Sixalix atropurpurea,0,136
evaluation,Solanum crispum,154,0
evaluation,Solanum elaeagnifolium,140,0
evaluation,Solanum furcatum,0,132
evaluation,Solanum laxum,143,0
evaluation,Solanum lycopersicum,150,0
evaluation,Solanum pseudocapsicum,148,0
evaluation,Solidago ptarmicoides,0,132
evaluation,Solidago uliginosa,151,0
evaluation,Solidago virgaurea,0,132
evaluation,Sparaxis tricolor,127,0
evaluation,Sphaeralcea ambigua,0,126
evaluation,Sphaeralcea coccinea,0,134
evaluation,Stachys palustris,136,0
evaluation,Stevia serrata,0,152
evaluation,Streptosolen jamesonii,0,145
evaluation,Stypandra glauca,0,122
evaluation,Symphyotrichum puniceum,0,125
evaluation,Symphyotrichum subulatum,132,0
evaluation,Symphytum officinale,137,0
evaluation,Symplocos tinctoria,144,0
evaluation,Talinum fruticosum,0,145
evaluation,Talinum paniculatum,148,0
evaluation,Tanacetum vulgare,0,126
evaluation,Taraxacum erythrospermum,0,131
evaluation,Telekia speciosa,0,127
evaluation,Tetratheca thymifolia,0,124
evaluation,Thysanocarpus curvipes,145,0
evaluation,Tiarella stolonifera,0,157
evaluation,Tinantia erecta,0,131
evaluation,Tithonia tubaeformis,134,0
evaluation,Trachymene composita,0,143
evaluation,Tragopogon porrifolius,0,137
evaluation,Trifolium incarnatum,124,0
evaluation,Trifolium repens,0,148
evaluation,Tripolium pannonicum,0,144
evaluation,Triteleia laxa,148,0
evaluation,Trixis inula,138,0
evaluation,Trollius albiflorus,0,134
evaluation,Turnera subulata,139,0
evaluation,Verbascum thapsus,0,127
evaluation,Verbena rigida,0,144
evaluation,Veronica cymbalaria,143,0
evaluation,Veronica longifolia,0,137
evaluation,Veronica officinalis,0,139
evaluation,Veronica polita,0,143
evaluation,Veronica prostrata,137,0
evaluation,Veronica spicata,149,0
evaluation,Vicia lathyroides,0,147
evaluation,Viminaria juncea,0,134
evaluation,Vincetoxicum hirundinaria,150,0
evaluation,Viola blanda,0,146
evaluation,Viola cucullata,0,136
evaluation,Viola hirta,134,0
evaluation,Viola lutea,135,0
evaluation,Viola mirabilis,127,0
evaluation,Viola pedunculata,0,142
evaluation,Viola rostrata,0,137
evaluation,Viola tricolor,130,0
evaluation,Viscaria vulgaris,132,0
evaluation,Vitex agnus-castus,0,137
evaluation,Whipplea modesta,135,0
evaluation,Wyethia angustifolia,0,133
evaluation,Zanthoxylum americanum,118,0
evaluation,Zephyranthes atamasco,0,156
