batch_index,requested,api_results_returned,resolved_exact_photo,elapsed_seconds
93,200,200,200,4.877075433731079
94,200,200,200,3.4153213500976562
95,200,200,200,3.0541372299194336
96,200,200,200,2.60819935798645
97,200,200,200,4.686003923416138
98,200,200,200,3.0375568866729736
99,200,200,200,2.4030656814575195
100,200,200,200,3.672048807144165
101,200,200,200,5.6416916847229
102,200,200,200,6.486879587173462
103,200,200,200,4.238582611083984
104,200,200,200,3.115654706954956
105,200,200,200,2.6008448600769043
106,200,200,200,3.1519577503204346
107,200,200,200,4.387779474258423
108,200,200,200,3.716423273086548
109,200,200,200,2.8656656742095947
110,200,200,200,2.6277143955230713
111,200,200,200,3.5312042236328125
112,200,200,200,4.163339376449585
113,200,200,200,3.2197446823120117
114,200,200,200,2.8908398151397705
115,200,200,200,4.273570537567139
116,200,200,200,5.1590046882629395
117,200,200,200,2.791719436645508
118,200,200,200,2.787907838821411
119,200,200,200,3.6720359325408936
120,200,200,200,3.962141990661621
121,200,200,200,3.5727806091308594
122,200,200,200,2.6906228065490723
123,200,200,200,3.167833089828491
124,200,200,200,3.985499382019043
125,200,200,200,4.632512092590332
126,200,200,200,3.3132576942443848
127,200,200,200,3.3703501224517822
128,200,200,200,6.382357597351074
129,200,200,200,4.019409418106079
130,200,200,200,3.1611244678497314
131,200,200,200,2.5325629711151123
132,200,200,200,2.6310863494873047
133,200,200,200,3.733157157897949
134,200,200,200,3.237705707550049
135,200,200,200,3.917092800140381
136,200,200,200,4.538539886474609
137,200,200,200,2.643413782119751
138,200,200,200,3.6225194931030273
139,200,200,200,4.049973011016846
140,200,200,200,4.9909446239471436
141,200,200,200,4.436251640319824
142,200,200,200,4.203933000564575
143,200,200,200,3.9360923767089844
144,200,200,200,2.791555881500244
145,200,200,200,2.4550328254699707
146,200,200,200,2.940282106399536
147,200,200,200,4.56362509727478
148,200,200,200,3.2925164699554443
149,200,200,200,2.2516019344329834
150,200,200,200,3.608375310897827
151,200,200,200,3.7687151432037354
152,200,200,200,2.758634567260742
153,200,200,200,6.403367042541504
154,200,200,200,3.4324445724487305
155,200,200,200,3.0669422149658203
156,200,200,200,6.909991979598999
157,200,200,200,4.187627553939819
158,200,200,200,7.156334400177002
159,200,200,200,3.9870197772979736
160,200,200,200,3.510017156600952
161,200,200,200,3.3759937286376953
162,200,200,200,3.635648488998413
163,200,200,200,4.601567029953003
164,200,200,200,5.832226037979126
165,200,200,200,2.580211639404297
166,200,200,200,2.596634864807129
167,200,200,200,3.4985177516937256
168,200,200,200,7.327880620956421
169,200,200,200,4.6533520221710205
170,200,200,200,3.4329874515533447
