priority_tier,rank,canonical_name,family,n_works,max_score,total_score,n_title_matches,n_context_matches,best_title,best_doi,best_openalex_id,best_match_evidence,review_status
B,153,Cymbidium tortisepalum,Orchidaceae,1,17,17,1,1,Transcriptomics and metabolomics reveal the mechanism of metabolites changes in Cymbidium tortisepalum var. longibracteatum colour mutation cultivars,10.1371/journal.pone.0305867,https://openalex.org/W4399998072,"BACKGROUND: Foliage color is considered an important ornamental character of Cymbidium tortisepalum (C. tortisepalum), which significantly improves its horticultural and economic value. However, little is understood on the formation mechanism underlying foliage-color variations. METHODS: In this study, we applied a mu",unreviewed
B,154,Datura stramonium,Solanaceae,1,17,17,1,1,"ANTHER-STIGMA SEPARATION IS ASSOCIATED WITH INBREEDING DEPRESSION IN DATURA STRAMONIUM, A PREDOMINANTLY SELF-FERTILIZING ANNUAL",10.1111/j.0014-3820.2002.tb00143.x,https://openalex.org/W2071810889,"are mainly attributable to random accumulation of genetic load, unrelated to variation at mating-system loci. We measured female reproductive success of selfed and outcrossed progeny from naturally occurring lineages of Datura stramonium, a predominantly self-fertilizing annual weed that has heritable variation in stigma-anther separation, a trait that influences selfing rates. Progeny from inbred lineages (as identified by high degree of anther-stigma",unreviewed
B,155,Erysimum capitatum,Brassicaceae,1,17,17,1,1,"The good, the bad and the flexible: interactions of Erysimum capitatum with pollinators and herbivores over space and time",,https://openalex.org/W2595382830,"mplex effects of these biotic selective forces may lead to local adaptation. Conversely, conflicting selection by multiple herbivores and pollinators may limit local adaptation and maintain variation within populations. Erysimum capitatum (Brassicaceae) is a widespread and variable plant species with generalized pollination that is attacked by a number of herbivores. I studied interactions of E. capitatum with pollinators and herbivores in four populatio",unreviewed
B,156,Fuchsia excorticata,Onagraceae,1,17,17,1,1,"Conspicuous, green flowers are an honest signal of nectar rewards in a bird-pollinated tree (Fuchsia excorticata, Onagraceae)",10.1007/s11258-023-01390-6,https://openalex.org/W4391485354,"Abstract Bird-pollinated flowers typically appear ‘red’. Fuchsia excorticata (Onagraceae), a gynodioecious tree species endemic to New Zealand, is a notable exception. It produces ‘green’, cauliflorous flowers at early stages in flower ontogeny, when pistils are receptive. Flowers later turn ‘re",unreviewed
B,157,Iris bulleyana,Iridaceae,1,17,17,1,1,Transcriptome Analysis of Key Genes Involved in Color Variation between Blue and White Flowers of Iris bulleyana,10.1155/2023/7407772,https://openalex.org/W4317356326,"Iris bulleyana Dykes (Southwest iris) is an extensively distributed Iridaceae species with blue or white flowers. Hereby, we performed a systematic study, employing metabolomics and transcriptomics to uncover the subtle color differen",unreviewed
B,158,Iris lactea,Iridaceae,1,17,17,1,1,Identification of characteristic aroma compounds for spicy in Iris lactea var. chinensis,10.1111/ppl.14016,https://openalex.org/W4386545865,"Iris lactea var. chinensis (Fisch.) Koidz has a unique floral fragrance that differs from that of other Iris spp.; however, its characteristic aroma composition remains unknown. This study aimed to identify the floral fragrance com",unreviewed
B,159,Iris typhifolia,Iridaceae,1,17,17,1,1,Analysis of Floral Fragrance Components in Different Parts of Iris typhifolia,10.3390/horticulturae9121268,https://openalex.org/W4389049362,"Floral fragrance, as one of the evaluation indicators for ornamental plants, influences people’s perception of these plants. To explore the volatile compounds and their application value in different parts of Iris typhifolia and to investigate the contributions of each part to the floral aroma, an AIRSENSE electronic nose, principal component analysis (PCA), linear discriminant analysis (LDA), and loading analysis (Loading) are employed to",unreviewed
B,160,Rhododendron liliiflorum,Ericaceae,1,17,17,1,1,UPLC–MS/MS and Gene Expression Research to Distinguish the Colour Differences of Rhododendron liliiflorum H. Lév,10.3390/horticulturae9121351,https://openalex.org/W4389893321,"Among ornamental plants, the colour of the petals is an important feature. However, the reason for the colour differences of Rhododendron liliiflorum remains unclear. To reveal the differences in the colour of R. liliiflorum, high-efficiency liquid chromatographic collar (UPLC–MS/MS) technology was used to study the yellow and white parts of R. liliiflorum. A total o",unreviewed
B,161,Rivea ornata,Convolvulaceae,1,17,17,1,1,Trades-offs between pollinator attraction and florivore defense maximize reproductive success in the self-incompatible Rivea ornata (Convolvulaceae),10.1186/s12862-024-02301-7,https://openalex.org/W4402074833,"assessed traits related to pollinator attraction and reward, determined its mating system, identified floral visitors and effective pollinators, and investigated the effect of florivory on reproductive success. RESULTS: Rivea ornata is highly fertile but self-incompatible and an obligate outcrosser, rendering it highly dependent on pollinators. Lepidopterans, particularly nocturnal hawk moths, were found to account for a significant proportion of a",unreviewed
B,162,Rodriguezia granadensis,Orchidaceae,1,17,17,1,1,Pollination ecology of Rodriguezia granadensis (Orchidaceae),10.15517/lank.v15i2.20745,https://openalex.org/W1922006848,"En éste artículo describimos la variación fenotípica y ecología de la polinización de la epífita de ramita Rodriguezia granadensis. La especie presenta polimorfismo para el color de las flores (blanco a rosa), lo que lo llevó a hipotetizar que las diferentes formas de color pueden ser polinizadas por diferentes polinizadores. Para evaluar esta hip",unreviewed
B,163,Torenia fournieri,Linderniaceae,1,17,17,1,1,A Torenia (Torenia fournieri Lind. ex Fourn.) Novel Mutant ^|^lsquo;Flecked^|^rsquo; Produces Variegated Flowers by Insertion of a DNA Transposon into an R2R3-MYB Gene,10.2503/jjshs1.82.39,https://openalex.org/W2019915970,"B transcription factor (TfMYB1, Torenia fournieri MYB1) was much lower than in the normal type and the revertants; this was caused by insertion of a Enhancer/Suppressor-Mutator (En/Spm)-like transposon (Ttf1, Transposon Torenia fournieri 1) in the 2nd intron of TfMYB1. Furthermore, it was found that the reversion of anthocyanin accumulation in the lower lips correlated to excision of Ttf1 from the TfMYB1. Overexpression of TfMYB1 in torenia caused antho",unreviewed
B,164,Trillium ovatum,Melanthiaceae,1,17,17,1,1,Taxonomic study of Trillium ovatum forma hibbersonii,10.14288/1.0087047,https://openalex.org/W2974357600,"erson (Holotype UBC 73131). Leonard Wiley invalidly published the taxon as Trillium hibbersonii in 1968. A review of the taxonomic status by T.M.C. Taylor and A.F. Szczawinski resulted in the publication of the taxon as Trillium ovatum forma hibbersonii (1975). The diagnosis stated this dwarf variant was part of the continuous series of intergradations of Trillium ovatum Pursh (Taylor and Szczawinski, 1975). Taylor and Szczawinski did not cite any sma",unreviewed
