species,n_classifiable,H1_coarse_primary_morph,H1_coarse_secondary_morph,H1_coarse_second_fraction,continuous_major_n,continuous_minor_n,continuous_minor_fraction,continuous_hellinger_separation_ratio,continuous_vs_coarse_nmi,delta_norm,coarse_n_white,coarse_n_yellow_orange,coarse_n_red_pink,coarse_n_blue_purple,mu1_white,mu2_white,delta_white,mu1_yellow,mu2_yellow,delta_yellow,mu1_orange,mu2_orange,delta_orange,mu1_red,mu2_red,delta_red,mu1_pink,mu2_pink,delta_pink,mu1_magenta,mu2_magenta,delta_magenta,mu1_purple,mu2_purple,delta_purple,mu1_blue,mu2_blue,delta_blue,mu1_bronze,mu2_bronze,delta_bronze
Pluchea odorata,61,white,red_pink,0.2786885245901639,35,26,0.4262295081967213,1.3654905421855528,0.8132203869042748,0.562566799389889,34,9,17,1,0.681146843761322,0.22560950417071302,-0.45553733959060894,0.003923213663473407,0.01221341962605282,0.008290205962579414,0.00019419104945178088,0.0026131234006999777,0.0024189323512481967,1.561817052552151e-05,0.003878671841733155,0.0038630536712076337,0.14041915663551383,0.4365010226732474,0.29608186603773357,0.0007767534249833893,0.014307527755254608,0.013530774330271219,0.023265501200847673,0.022013233298720035,-0.0012522679021276378,0.013900594062472238,0.001983740195130779,-0.011916853867341459,0.1363581280314102,0.2808797570384482,0.144521629007038
Podranea ricasoliana,40,white,red_pink,0.275,36,4,0.1,1.8157922348089062,0.2786925864248357,0.5030543536554974,26,1,11,2,0.6167590900487827,0.3737772406393078,-0.24298184940947493,0.0007570394927715323,0.025490530641101232,0.0247334911483297,1.1795234725169448e-05,0.0,-1.1795234725169448e-05,0.00034287300367871835,0.0,-0.00034287300367871835,0.2902449435237823,0.09910732115328286,-0.19113762237049942,0.009583265977936175,0.0006930133366891456,-0.008890252641247029,0.022528979888304795,0.10955035910253781,0.08702137921423302,0.0036022603273072884,0.3864828779719372,0.3828806176446299,0.056169752502711404,0.004898657155144027,-0.05127109534756738
Polemonium californicum,61,white,blue_purple,0.21311475409836064,34,27,0.4426229508196721,1.9297141985715858,0.35473199991589893,0.5398800551348868,48,0,0,13,0.8292991852064844,0.42707355506281003,-0.40222563014367435,0.04115986194042904,0.012848954603665468,-0.02831090733676357,9.176154219413336e-05,0.00027805265971404895,0.0001862911175199156,0.0,1.2242434481551266e-06,1.2242434481551266e-06,0.003952597051972106,0.009165946400953784,0.005213349348981678,5.3781239430470615e-06,0.0001292626885811519,0.00012388456463810482,0.009040725415737015,0.07529753758155187,0.06625681216581486,0.09888600348530545,0.4516326760133022,0.35274667252799674,0.01756448723393464,0.023572790745973245,0.0060083035120386055
Polygaloides paucifolia,48,blue_purple,red_pink,0.375,31,17,0.3541666666666667,1.8075310593889926,0.7596609521687793,0.6921668141670119,3,0,18,27,0.1373870720085808,0.07980988674454088,-0.05757718526403992,0.0005500653298778807,0.010713800918521333,0.010163735588643452,0.00041483468310201944,0.0,-0.00041483468310201944,8.91845853362581e-06,0.0008349808726901879,0.0008260624141565621,0.08282495027537419,0.2519682093696774,0.16914325909430322,0.10194202818737844,0.5358412718192764,0.433899243631898,0.6145491334040688,0.1088977612926763,-0.5056513721113925,0.055687011462513696,0.00012165423381361801,-0.055565357228700075,0.0066359861905706235,0.01181243474880391,0.005176448558233286
Polymeria calycina,58,white,red_pink,0.29310344827586204,34,24,0.41379310344827586,1.7607420222597108,0.7612369381193516,0.7864644432137811,33,1,17,7,0.8204774627893693,0.18110944516746988,-0.6393680176218994,0.008105116629000606,0.04259194429263474,0.03448682766363414,0.00019808242748106772,4.6532191806312926e-05,-0.0001515502356747548,8.51596446268206e-05,0.0,-8.51596446268206e-05,0.11279020222312304,0.5433247924922034,0.4305345902690804,1.313192709153824e-05,0.030052385073745334,0.030039253146653795,0.007309958970202286,0.15631968005726887,0.1490097210870666,0.035520164412481355,0.03917073131885601,0.003650566906374657,0.015500720976623871,0.007384489406015258,-0.008116231570608614
Potentilla recta,66,yellow_orange,white,0.4090909090909091,34,32,0.48484848484848486,2.6517486985417174,0.6936318804483765,0.854071739845227,27,38,0,1,0.06273672591311973,0.6535251408126111,0.5907884148994914,0.8958826149851261,0.2795943457413975,-0.6162882692437286,0.0016559712588211065,0.00013750690701059976,-0.0015184643518105067,7.793687650498533e-05,0.0,-7.793687650498533e-05,0.0014612903541747295,7.113718764905354e-06,-0.001454176635409824,3.913022448177649e-05,0.0,-3.913022448177649e-05,0.0003043300936499649,5.207851124895626e-05,-0.00025225158240100865,2.6874785001720002e-06,0.0238027761578157,0.023800088679315528,0.03783931281562136,0.04288103815115108,0.005041725335529719
Primula clevelandii,46,white,blue_purple,0.2608695652173913,25,21,0.45652173913043476,1.3081548294170955,0.5479221704246778,0.588617437030636,21,3,10,12,0.23186200133280008,0.688232784901132,0.45637078356833194,0.027825330518921526,0.08575516082242489,0.05792983030350336,9.437939611372269e-05,0.0022965732769273197,0.002202193880813597,3.128279734004612e-05,0.0012151917647156528,0.0011839089673756067,0.19473874217870296,0.05073848775244751,-0.14400025442625544,0.11179146083562254,0.0003645996378143268,-0.11142686119780822,0.2995586484453422,0.018320687949448605,-0.28123796049589356,0.10777638580170469,0.011418552349317958,-0.09635783345238673,0.026321768693452274,0.14165796154577173,0.11533619285231946
Pulmonaria officinalis,49,blue_purple,white,0.20408163265306123,38,11,0.22448979591836735,1.329852334726797,0.4055680418040246,0.5324357860356521,10,0,7,32,0.25438291602158963,0.19853870503520107,-0.05584421098638856,0.0032803144039501597,0.00037090620440311835,-0.0029094081995470413,2.4716623906907314e-06,0.0,-2.4716623906907314e-06,0.0007939532239030476,0.011785893468542476,0.010991940244639429,0.08263428778438864,0.46351243865159936,0.3808781508672107,0.007068230302008666,0.03505134215910942,0.027983111857100753,0.2103557275454772,0.2023824620345674,-0.007973265510909822,0.4342266475591565,0.06795839318463348,-0.36626825437452304,0.007255451497135547,0.020399859261943706,0.013144407764808158
Pulsatilla nuttalliana,62,white,yellow_orange,0.20967741935483872,50,12,0.1935483870967742,2.03254326008165,0.6568483344501307,0.8708417337418061,40,13,0,9,0.6726350098751097,0.1004282661209452,-0.5722067437541645,0.03477928254069389,0.6460173611713712,0.6112380786306774,0.0006621066931303842,0.03387625642591777,0.033214149732787385,0.0,0.0,0.0,0.02714701706939279,0.0,-0.02714701706939279,5.421376487490176e-07,0.0,-5.421376487490176e-07,0.09515306558205387,0.0,-0.09515306558205387,0.12528173461737047,0.0,-0.12528173461737047,0.0443412414846003,0.2196781162817658,0.1753368747971655
Pulsatilla vulgaris,56,blue_purple,yellow_orange,0.125,49,7,0.125,2.384596949961586,0.7478462628544663,0.8114787357172298,2,7,2,45,0.12554181631583944,0.02619607057905225,-0.09934574573678719,0.03836220305288918,0.2520082500596192,0.21364604700673,0.007330459145480625,0.15528558981999754,0.14795513067451693,0.002271540078753217,4.368987181391612e-06,-0.0022671710915718253,0.08676171044941854,0.004054154206459459,-0.08270755624295907,0.010995743417312052,0.0011676245931144431,-0.009828118824197608,0.6002572233261316,0.02034816152628652,-0.5799090617998451,0.07028607600923792,0.00011257458065968575,-0.07017350142857823,0.05819322820493719,0.5408232056476295,0.4826299774426923
