species,inat_taxon_id,raw_results,locally_eligible_before_exclusion,local_rejected,wrong_taxon,prior_excluded,fresh_duplicate,after_observer_cap,retained,full_fixed_n,request_error,prospective_rank
Lotus maritimus,989787,200,200,0,0,0,0,172,100,True,,406
Nymphaea candida,196966,200,200,0,0,1,0,136,100,True,,407
Mimosa pudica,51921,200,200,0,0,30,0,167,100,True,,408
Bauhinia galpinii,159197,178,178,0,0,1,0,122,100,True,,409
Eulophia graminea,427629,200,200,0,0,0,0,186,100,True,,410
Toxicoscordion venenosum,59087,200,200,0,0,0,0,179,100,True,,411
Ceanothus cordulatus,62228,162,162,0,0,1,0,153,100,True,,412
Erythronium americanum,48240,200,200,0,0,0,0,197,100,True,,413
Petasites frigidus,55780,200,200,0,0,4,0,193,100,True,,414
Pulsatilla vulgaris,60786,138,138,0,0,1,0,126,100,True,,415
Chenopodium album,58127,200,200,0,0,1,0,174,100,True,,416
Veronica persica,55666,200,200,0,0,14,0,184,100,True,,417
Wyethia glabra,56988,200,200,0,0,1,0,158,100,True,,418
Dianthus hyssopifolius,363514,200,200,0,0,1,0,183,100,True,,419
Ptelea trifoliata,50625,200,200,0,0,1,0,195,100,True,,420
Oxalis debilis,61963,200,200,0,0,46,0,146,100,True,,421
Colchicum montanum,334041,200,200,0,0,1,0,182,100,True,,422
Solanum villosum,83970,173,173,0,0,4,0,112,100,True,,423
Hypericum gentianoides,145367,200,200,0,0,0,0,146,100,True,,424
Impatiens walleriana,68185,200,200,0,0,9,0,174,100,True,,425
Iris latifolia,243782,200,200,0,0,1,0,173,100,True,,426
Pentachondra pumila,178209,200,200,0,0,1,0,161,100,True,,427
Stachys rigida,53306,200,200,0,0,1,0,139,100,True,,428
Tulipa agenensis,344758,200,200,0,0,2,0,115,100,True,,429
Carduus tenuiflorus,53007,200,200,0,0,1,0,167,100,True,,430
Pimelea flava,552999,120,120,0,0,2,0,100,100,True,,431
Prosartes hookeri,51071,200,200,0,0,0,0,183,100,True,,432
Prunus avium,61964,200,200,0,0,1,0,183,100,True,,433
Perityle emoryi,78445,200,200,0,0,2,0,180,100,True,,434
Dalea purpurea,63547,200,200,0,0,1,0,183,100,True,,435
Maianthemum stellatum,53268,200,200,0,0,25,0,167,100,True,,436
Senega nana,1568926,200,200,0,0,0,0,159,100,True,,437
Erythranthe verbenacea,544009,200,200,0,0,0,0,189,100,True,,438
Podranea ricasoliana,167116,121,121,0,0,1,0,116,100,True,,439
Prunus pensylvanica,54833,200,200,0,0,0,0,184,100,True,,440
Trifolium hirtum,57078,200,200,0,0,0,0,191,100,True,,441
Medicago polymorpha,53151,200,200,0,0,0,0,185,100,True,,442
Linum trigynum,82892,149,149,0,0,3,0,115,100,True,,443
Chamaecrista fasciculata,127907,200,200,0,0,0,0,196,100,True,,444
Isatis tinctoria,77509,200,200,0,0,1,0,188,100,True,,445
Sanicula odorata,127367,119,119,0,0,1,0,112,100,True,,446
Nuphar advena,82504,200,200,0,0,0,0,162,100,True,,447
Caladenia tentaculata,474399,200,200,0,0,2,0,150,100,True,,448
Heteromeles arbutifolia,53405,200,200,0,0,0,0,177,100,True,,449
Asclepias syriaca,47911,200,200,0,0,0,0,186,100,True,,450
Geranium sylvaticum,85429,200,200,0,0,1,0,197,100,True,,451
Astragalus miser,139642,178,178,0,0,1,0,123,100,True,,452
Ageratina occidentalis,75300,109,109,0,0,1,0,100,100,True,,453
Dahlia coccinea,146597,200,200,0,0,1,0,163,100,True,,454
Couroupita guianensis,48163,190,190,0,0,6,0,181,100,True,,455
Chilopsis linearis,76290,200,200,0,0,0,0,186,100,True,,456
Ajuga chamaepitys,59259,200,200,0,0,1,0,169,100,True,,457
Lonicera hispidula,53416,200,200,0,0,0,0,182,100,True,,458
Porophyllum ruderale,78701,132,132,0,0,4,0,120,100,True,,459
Rubus parvifolius,51645,139,139,0,0,3,0,113,100,True,,460
Erysimum franciscanum,57402,200,200,0,0,1,0,148,100,True,,461
Comesperma volubile,321125,200,200,0,0,0,0,144,100,True,,462
Ipomoea pandurata,119737,200,200,0,0,0,0,192,100,True,,463
Pterostylis alobula,466838,200,200,0,0,0,0,105,100,True,,464
Searsia lancea,79020,188,188,0,0,2,0,110,100,True,,465
Platanthera bifolia,57629,200,200,0,0,0,0,178,100,True,,466
Croton californicus,76484,200,200,0,0,1,0,170,100,True,,467
Pholistoma auritum,55437,200,200,0,0,0,0,182,100,True,,468
Anthoxanthum odoratum,75475,200,200,0,0,1,0,172,100,True,,469
Cichorium intybus,52913,200,200,0,0,2,0,194,100,True,,470
Dithyrea californica,76672,200,200,0,0,1,0,167,100,True,,471
Mentzelia involucrata,77999,200,200,0,0,0,0,178,100,True,,472
Rhodiola rosea,84436,200,200,0,0,9,0,158,100,True,,473
Androsace lehmanniana,842358,138,138,0,0,3,0,106,100,True,,474
Scilla monophyllos,211472,200,200,0,0,1,0,138,100,True,,475
Lobularia maritima,56992,200,200,0,0,29,0,158,100,True,,476
Antigonon leptopus,48380,200,200,0,0,4,0,174,100,True,,477
Potentilla norvegica,55732,200,200,0,0,1,0,176,100,True,,478
Claytonia perfoliata,52994,200,200,0,0,1,0,181,100,True,,479
Polymeria calycina,370497,200,200,0,0,0,0,149,100,True,,480
Zantedeschia aethiopica,56006,200,200,0,0,0,0,160,100,True,,481
Calliandra eriophylla,75933,200,200,0,0,1,0,185,100,True,,482
Orchis anthropophora,59322,200,200,0,0,0,0,169,100,True,,483
Ranunculus repens,48229,200,200,0,0,1,0,190,100,True,,484
Oxalis obtusa,119468,200,200,0,0,3,0,143,100,True,,485
Berlandiera lyrata,159213,146,146,0,0,1,0,116,100,True,,486
Silene otites,208996,137,137,0,0,1,0,121,100,True,,487
Cleomella serrulata,1415100,200,200,0,0,19,0,177,100,True,,488
Bloomeria crocea,58357,200,200,0,0,1,0,183,100,True,,489
Comesperma ericinum,210344,200,200,0,0,1,0,166,100,True,,490
Lupinus argenteus,62691,200,200,0,0,2,0,151,100,True,,491
Itea virginica,83152,200,200,0,0,1,0,178,100,True,,492
Pedicularis palustris,118803,137,137,0,0,3,0,104,100,True,,493
Trifolium longipes,79422,200,200,0,0,1,0,178,100,True,,494
Ceanothus prostratus,76192,198,198,0,0,1,0,190,100,True,,495
Leucogenes grandiceps,147187,200,200,0,0,1,0,167,100,True,,496
Acacia dealbata,53343,200,200,0,0,2,0,167,100,True,,497
Aralia racemosa,119827,200,200,0,0,1,0,183,100,True,,498
Oclemena acuminata,120181,200,200,0,0,1,0,158,100,True,,499
Oxalis ciliaris,566867,200,200,0,0,1,0,130,100,True,,500
