species,genus,D,n_classifiable,reserve_log1p_span,opportunity_adjusted_D_rank_residual
Tecoma stans,Tecoma,0.0357024793388429,55,9.890729044348246,-132.76457787338978
Thalictrum pubescens,Thalictrum,0.0547510414600276,71,7.807589647286722,-30.12699690237264
Thalictrum tuberosum,Thalictrum,0.1395514417942327,53,6.624605878758565,-40.58889708959268
Thelesperma filifolium,Thelesperma,0.0,71,7.429223177364888,-95.28872602407455
Thunbergia grandiflora,Thunbergia,0.3796646836127637,43,9.901525081179267,8.059416019380308
Thymbra capitata,Thymbra,0.6451247165532881,42,8.307173339828028,89.59426677812172
Thymus praecox,Thymus,0.5560493827160493,45,8.550662616587031,84.24600359079051
Tradescantia occidentalis,Tradescantia,0.2354528588294823,77,7.842181108112529,120.95666132182188
Trichostema lanceolatum,Trichostema,0.5175619834710743,44,7.222205109389141,60.940756699525366
Trifolium campestre,Trifolium,0.0540123456790124,72,9.899039149833383,-26.08996805146883
Trifolium depauperatum,Trifolium,0.5377999094612946,47,7.507550715261791,86.0332657736167
Trifolium hybridum,Trifolium,0.1913265306122449,56,9.85525396575447,11.613433830901954
Trifolium lupinaster,Trifolium,0.5490196078431373,51,8.841441379713906,116.1284076568522
Trigonotis peduncularis,Trigonotis,0.0795646462750986,73,7.822811591584774,11.111835888344885
Tropaeolum tricolor,Tropaeolum,0.4218496484586262,43,7.363490101375063,14.274730280752635
Tulipa sylvestris,Tulipa,0.1524453694068678,62,9.230681297786084,20.055186360404804
Verbesina occidentalis,Verbesina,0.0377218934911243,52,7.517816455430042,-148.66221311388256
Vernonia gigantea,Vernonia,0.5169760072430964,47,7.702588856731194,77.11413033446766
Vernonia noveboracensis,Vernonia,0.4767397154940407,51,7.568288369901405,73.84687918574153
Veronica alpina,Veronica,0.3565181174510621,49,9.004998830336676,30.47355513558452
Veronica anagallis-aquatica,Veronica,0.1323484148968914,57,9.893791332465508,-20.573785547299508
Veronica elliptica,Veronica,0.3594104308390022,42,9.054640206260412,-6.321873677292103
Veronica lyallii,Veronica,0.1225477022305832,61,6.521084199373286,-6.562586326486297
Veronica regina-nivalis,Veronica,0.439508506616257,46,6.699859967235069,32.55979014083414
Viburnum edule,Viburnum,0.0917107583774251,63,8.695499737284553,-24.48476916242572
Vicia ludoviciana,Vicia,0.5105462412114657,43,8.071448580871621,52.55026878439293
Vicia onobrychioides,Vicia,0.1067995728017088,53,7.567274298519215,-65.81036360221722
Vicia sativa,Vicia,0.6014814814814814,45,9.899701000824876,92.64733141131
Vicia sepium,Vicia,0.4661979448350459,43,9.13594253849174,23.703012954889118
Vicia tetrasperma,Vicia,0.0783007080383174,49,9.889969699434229,-121.24791137703997
Viola adunca,Viola,0.3335798816568047,52,8.522694707418637,39.610330406022456
Viola cornuta,Viola,0.4208579881656804,52,7.429562909863114,65.3018470812948
Viola filicaulis,Viola,0.0,46,7.198796135702862,-233.84437037963886
Viola hastata,Viola,0.0317377731529655,62,7.177708177775434,-105.49589064687567
Voyria aphylla,Voyria,0.068877551020408,56,8.91553918301994,-77.61418493297481
Wahlenbergia capensis,Wahlenbergia,0.4789670970428987,49,9.115814837780544,65.49452002173106
Xyris ambigua,Xyris,0.1608996539792389,68,7.503642943329714,52.900427474253746
Xyris caroliniana,Xyris,0.4985520160392069,67,7.456802486473505,177.71551776721543
Zinnia elegans,Zinnia,0.4262152777777779,48,9.902842765949629,43.5989555249823
Zizia aptera,Zizia,0.0,77,8.292086869369877,-74.43851424744545
