species,inat_taxon_id,first_discovery_round,n_rounds_seen,unique_discovery_observations,occupied_discovery_cells
Byttneria aculeata,184490,5,8,2,1
Brucea javanica,184507,15,4,2,2
Brackenridgea arenaria,184534,3,8,1,1
Brasiliopuntia brasiliensis,184567,5,10,3,3
Brachycereus nesioticus,184574,3,8,4,1
Ballochia atrovirgata,184700,13,6,1,1
Ptilochaeta bahiensis,184790,11,2,1,1
Pterospermum acerifolium,184804,1,6,4,3
Pseudospondias microcarpa,184888,9,6,1,1
Podonephelium homei,184943,0,9,1,1
Plagianthus divaricatus,184985,14,2,1,1
Picrella trifoliata,185020,1,8,3,1
Picrella ignambiensis,185022,11,4,1,1
Oxystelma bornouense,185150,0,21,5,2
Oxystelma esculentum,185151,0,21,33,5
Pennantia cunninghamii,185248,3,2,1,1
Pennantia corymbosa,185249,1,2,1,1
Orthosiphon aristatus,185264,0,21,14,8
Pellacalyx axillaris,185282,11,2,1,1
Ochradenus baccatus,185344,0,9,7,2
Oldenburgia grandis,185358,1,4,2,1
Nuxia congesta,185371,0,15,4,3
Geijera salicifolia,185435,0,7,3,1
Glyphaea tomentosa,185477,3,4,1,1
Glyphaea brevis,185478,0,21,3,2
Graderia scabra,185490,3,2,3,2
Graderia subintegra,185492,15,2,1,1
Greyia sutherlandii,185514,3,4,2,1
Greyia radlkoferi,185515,9,6,3,1
Guettardella chinensis,185516,0,1,1,1
Haberlea rhodopensis,185614,9,2,1,1
Nasa argemonoides,185721,15,2,1,1
Napeanthus apodemus,185731,1,4,2,2
Melodinus balansae,185780,1,8,2,1
Melhania acuminata,185889,13,2,1,1
Myodocarpus crassifolius,185899,15,4,1,1
Markea coccinea,185989,0,7,4,2
Maerua angolensis,186043,1,2,1,1
Lophira lanceolata,186083,1,10,1,1
Lindenbergia indica,186112,0,21,9,3
Lithodora fruticosa,186128,5,6,3,1
Leptolaena cuspidata,186136,3,4,1,1
Lasiodiscus fasciculiflorus,186172,3,8,1,1
Laurelia sempervirens,186190,3,2,1,1
Kirkia acuminata,186271,3,6,3,1
Kielmeyera abdita,186276,0,3,2,1
Khadia acutipetala,186296,1,2,1,1
Kermadecia lutea,186316,0,19,1,1
Kandelia obovata,186325,1,6,3,2
Hydrocera triflora,186414,11,4,1,1
Hugonia brewerioides,186443,1,4,2,1
Holarrhena pubescens,186561,0,19,9,5
Helicia australasica,186567,0,1,2,1
Triplaris americana,186651,5,10,5,2
Tridentea gemmiflora,186657,15,2,1,1
Trichocalyx orbiculatus,186671,0,11,1,1
Trichocalyx obovatus,186672,5,12,1,1
Trichocladus crinitus,186718,1,10,6,1
Thomandersia hensii,186731,9,2,1,1
Tephrocactus alexanderi,186782,9,2,2,1
Abrus fruticulosus,188881,5,8,2,2
Acacia aulacocarpa,188885,0,1,1,1
Acanthus ilicifolius,188925,1,14,13,4
Acanthus montanus,188926,0,17,6,3
Acmella paniculata,188941,0,3,2,1
Acridocarpus socotranus,188943,5,4,1,1
Aedesia glabra,188967,0,9,1,1
Aglaia sapindina,189076,1,4,2,1
Alberta magna,189108,19,2,1,1
Hesperalbizia occidentalis,189119,9,2,1,1
Alnus acuminata,189148,7,4,2,2
Alstonia scholaris,189179,0,21,17,6
Alternanthera filifolia,189183,0,9,2,1
Anisophyllea disticha,189268,11,2,1,1
Anthyllis lemanniana,189318,3,2,1,1
Asteropeia multiflora,189519,19,2,1,1
Astragalus arenarius,189525,0,3,2,1
Astragalus geminiflorus,189528,15,2,1,1
Avicennia alba,189583,0,17,8,3
Avicennia officinalis,189587,3,16,7,3
Avicennia schaueriana,189589,5,10,3,2
Azorina vidalii,189600,0,21,79,1
Barringtonia asiatica,189657,0,21,47,19
Begonia socotrana,189715,7,6,1,1
Bellis caerulescens,189742,7,4,2,1
Bellis annua,189743,1,6,3,1
Bellium nivale,189744,0,1,1,1
Besleria comosa,189789,13,2,1,1
Blakea subvaginata,189834,15,2,1,1
Brachyglottis huntii,189875,0,21,22,1
Brillantaisia lamium,189925,0,15,7,3
Brillantaisia owariensis,189927,0,17,8,3
Brugmansia aurea,189941,5,6,3,2
Bruguiera cylindrica,189944,5,10,3,2
Bruguiera parviflora,189948,13,2,1,1
Byrsonima spicata,190035,19,2,1,1
Caesulia axillaris,190055,0,7,2,1
Calceolaria fothergillii,190064,0,16,7,1
Calceolaria hyssopifolia,190070,1,6,3,1
Calophaca wolgarica,190118,9,2,1,1
Eugenia brevistyla,190172,1,2,1,1
Dirichletia obovata,190303,3,10,1,1
Ceriops australis,190473,3,6,4,3
Ceriops tagal,190475,0,21,4,3
Ceriops zippeliana,190476,19,2,1,1
Cirsium brachycephalum,190602,9,2,1,1
Citronella mucronata,190621,1,3,3,1
Cladopus hookeriana,190625,5,4,1,1
Clibadium surinamense,190682,0,3,2,2
Colvillea racemosa,190798,0,5,3,1
Commiphora wightii,190829,0,7,3,1
Convolvulus sarmentosus,190858,7,6,1,1
Corokia macrocarpa,190909,0,21,17,1
Crambe strigosa,191001,1,10,5,1
Cratoxylum formosum,191028,0,3,2,2
Crotalaria montana,191062,17,2,1,1
Croton socotranus,191094,1,14,1,1
Cyathocline lutea,191177,0,1,1,1
Cyathocline purpurea,191178,0,5,3,2
Quercus glauca,191183,5,4,2,2
Delonix boiviniana,191369,0,7,3,1
Delonix floribunda,191372,9,2,1,1
Dentella repens,191439,0,21,10,7
Dicliptera effusa,191475,0,9,1,1
Dimocarpus longan,191503,19,2,1,1
Diplostephium ericoides,191610,5,4,2,2
Dipterocarpus obtusifolius,191656,15,2,1,1
Dombeya rotundifolia,191689,1,4,2,2
Dopatrium longidens,191690,3,10,1,1
Dopatrium nudicaule,191691,1,4,1,1
Drosera burmanni,191715,0,19,15,4
Drosera indica,191717,0,21,19,5
Dyera costulata,191771,11,2,1,1
Echium callithyrsum,191798,1,14,7,1
Elatine gussonei,191853,17,2,1,1
Enydra fluctuans,191886,1,7,3,3
Epiphyllum phyllanthus,191896,5,2,2,2
Erucastrum rostratum,191913,5,12,1,1
Erythrina madagascariensis,191929,1,4,1,1
Erythroxylum sechellarum,191950,0,21,1,1
Ethulia conyzoides,191986,3,6,1,1
Euphorbia enterophora,192226,15,2,1,1
Euphorbia fiherenensis,192231,1,6,1,1
Euphorbia kischenensis,192255,1,12,1,1
Euphorbia physoclada,192301,7,4,2,1
Euphorbia spiralis,192324,0,5,1,1
Euphorbia stygiana,192326,7,6,1,1
Excoecaria agallocha,192360,0,13,7,4
Fagus hayatae,192372,3,2,1,1
Flindersia pimenteliana,192450,0,5,3,1
Frangula azorica,192460,0,15,8,1
Geissaspis cristata,192608,1,6,3,1
Gentianella cernua,192630,0,3,2,1
Telipogon nervosus,192646,19,2,1,1
Croton elegans,192803,3,2,1,1
Gentianella rupicola,192912,3,2,1,1
Guaiacum coulteri,193074,3,2,1,1
Guaiacum sanctum,193076,1,6,2,1
Gynoxys acostae,193184,15,2,1,1
Gynoxys hallii,193195,3,6,2,1
Helichrysum formosissimum,193257,0,7,4,1
Hemisteptia lyrata,193298,3,12,7,3
Heritiera littoralis,193310,11,2,1,1
Homonoia riparia,193396,7,10,5,3
Hydrolea zeylanica,193604,1,4,3,1
Hygrophila abyssinica,193607,0,9,2,1
Hygrophila auriculata,193609,0,15,10,6
Hygrophila pinnatifida,193619,1,2,1,1
Hygrophila senegalensis,193623,1,10,1,1
Hypericum balfourii,193640,0,19,2,1
Hypericum elodes,193642,9,2,1,1
Hypericum scopulorum,193651,0,7,1,1
Hypochaeris sessiliflora,193656,5,8,7,1
Hypoestes pubescens,193659,0,11,1,1
Ilex canariensis,193676,15,4,2,1
Indigofera procumbens,193787,3,6,3,1
Petrophytum hendersonii,193848,11,2,1,1
Ramonda myconi,193952,15,2,1,1
Loeselia glandulosa,194147,1,18,18,3
Verbesina crocata,194172,3,2,1,1
Ipomoea murucoides,194204,0,7,4,1
Vaccinium consanguineum,194332,3,8,4,1
Aechmea chantinii,194337,9,2,1,1
Salvia lavanduloides,194529,0,21,37,3
Clematis paniculata,194530,0,17,18,1
Verbesina oncophora,194531,11,2,1,1
Kunzea pomifera,194545,3,8,5,2
Lathyrus grandiflorus,194552,3,2,1,1
Helichrysum arenarium,194555,0,21,18,7
Quadrella cynophallophora,194612,5,10,3,2
Asphodeline brevicaulis,194635,15,2,1,1
Piper borbonense,194688,11,4,1,1
Chamaescilla corymbosa,194766,0,20,24,4
Guaiacum angustifolium,194790,0,9,5,1
Correa alba,196520,0,7,4,1
Richea dracophylla,196546,12,4,2,1
Warszewiczia coccinea,196548,1,12,7,3
Sterculia urens,196563,1,16,11,3
Lumnitzera littorea,196656,0,21,12,7
Xylocarpus granatum,196657,0,11,5,3
Barringtonia racemosa,196659,0,21,14,8
Rhizophora apiculata,196660,0,21,15,7
Sonneratia alba,196661,0,21,15,8
Sonneratia caseolaris,196662,0,19,9,7
Osbornia octodonta,196665,7,4,2,1
Rhizophora stylosa,196666,0,21,28,9
Rhizophora mucronata,196667,0,21,16,11
Nymphaea candida,196966,0,11,8,3
Panicum turgidum,196993,1,6,4,2
Aerva javanica,196994,0,21,50,4
Abutilon pannosum,196995,1,4,2,2
Luronium natans,197010,15,2,1,1
Rubus cissoides,197048,0,3,3,1
Coprosma foetidissima,197055,16,2,1,1
Astelia fragrans,197058,1,4,2,1
Melicytus ramiflorus,197063,0,9,6,1
Salvadora persica,197082,0,19,12,3
Scabiosa lucida,197777,3,4,2,1
Amelanchier ovalis,198885,0,9,5,2
Rosa pendulina,198887,11,2,1,1
Aquilegia atrata,198888,15,6,3,1
Solanum incanum,199161,0,21,9,4
Solanum albidum,199162,19,2,1,1
Blepharis ciliaris,199175,7,8,2,1
Rhazya stricta,199176,0,21,25,3
Gymnadenia rhellicani,199181,1,4,2,1
Nitraria retusa,199193,3,2,1,1
Indigofera coerulea,199252,0,11,1,1
Tephrosia nubica,199253,1,14,3,2
Leptadenia pyrotechnica,199299,0,21,27,2
Agapanthus praecox,199324,0,13,10,5
Psoralea pinnata,199336,0,10,6,3
Psoralea arborea,199337,7,2,1,1
Prunus campanulata,199339,19,2,1,1
Ficus rubiginosa,199385,3,4,1,1
Crassula helmsii,199392,0,1,1,1
Chromolaena odorata,199400,0,21,94,23
Cenchrus ciliaris,199408,0,18,12,7
Argemone ochroleuca,199511,0,21,49,14
Lycium shawii,199609,3,14,11,3
Fagonia cretica,199614,0,19,16,2
Pergularia tomentosa,199681,0,21,6,4
Pallenis maritima,199876,3,2,2,1
Ziziphus lotus,199911,3,2,1,1
Lycium europaeum,199921,5,2,1,1
Psiadia punctulata,199960,0,17,3,3
Acacia glaucoptera,200010,0,7,6,2
Adenanthos sericeus,200012,0,8,7,1
Soliva anthemifolia,200023,17,2,1,1
Persicaria glabra,200026,0,9,5,3
Acmella repens,200050,0,3,4,1
Euphorbia nutans,200052,0,9,5,4
Euphorbia prostrata,200053,1,14,12,9
Euphorbia serpens,200054,0,17,14,11
Euphorbia thymifolia,200055,0,21,15,10
Stenotaphrum dimidiatum,200058,0,5,2,1
Parietaria debilis,200064,0,6,2,1
Lithospermum tuberosum,200070,0,1,1,1
Citrus trifoliata,200071,9,6,3,2
Rudbeckia amplexicaulis,200073,1,12,7,1
Gonolobus suberosus,200074,0,7,4,3
Smallanthus uvedalia,200075,0,15,10,4
Spinifex longifolius,200089,15,2,1,1
Spinifex hirsutus,200091,11,2,1,1
Echinops erinaceus,200097,5,8,2,1
Grewia tenax,200830,0,15,6,3
Hyphaene thebaica,200831,5,2,1,1
Griselinia littoralis,200843,20,1,1,1
Pittosporum eugenioides,200847,5,4,3,1
Fouquieria columnaris,201380,1,2,1,1
Alyogyne hakeifolia,201386,11,4,3,1
Pseudobombax ellipticum,201454,15,5,3,3
Erythrina americana,201455,9,2,1,1
Ehretia tinifolia,201456,7,8,3,2
Chiranthodendron pentadactylon,201465,15,6,4,1
Myristica globosa,201633,19,2,1,1
Passiflora aurantia,201644,1,14,8,3
Passiflora herbertiana,201649,17,2,1,1
Gymnadenia gabasiana,201835,15,2,1,1
Banksia attenuata,202058,0,15,11,2
Ptilotus spathulatus,202124,0,8,6,4
Ptilotus manglesii,202127,7,10,6,2
Melocactus intortus,202153,9,12,7,1
Castanospermum australe,202155,0,21,25,2
Sibbaldia parviflora,202175,1,4,2,1
Euphorbia leucocephala,202278,0,3,1,1
Helianthemum apenninum,202282,0,15,9,2
Alstroemeria pulchra,202296,3,8,6,2
Palicourea guianensis,202319,1,10,7,4
Epidendrum fimbriatum,202324,3,14,8,3
Cenchrus americanus,202342,1,14,7,2
Inga laurina,202489,5,6,1,1
Anthericum liliago,202500,0,1,1,1
Zilla spinosa,202552,0,21,8,2
Asphodelus tenuifolius,202554,0,19,9,2
Rumex vesicarius,202555,1,16,15,4
Aloe striata,202558,0,9,5,2
Acianthus fornicatus,202579,17,2,1,1
Hypochaeris albiflora,202635,0,21,27,5
Aristolochia bracteolata,202670,7,2,1,1
Trichocentrum ascendens,202748,3,2,1,1
Cylindropuntia leptocaulis,202757,3,10,5,4
Stevia jorullensis,202768,5,2,1,1
Corchorus trilocularis,202769,0,7,3,3
Fagonia bruguieri,202771,0,13,7,1
Serapias lingua,203000,0,13,7,2
Ligustrum quihoui,203827,0,11,6,2
Manilkara obovata,203858,3,10,1,1
Shorea robusta,203980,9,2,2,1
Rubus reflexus,203983,1,6,3,1
Agave horrida,204003,0,1,1,1
Cotoneaster glaucophyllus,204128,12,2,1,1
Capnoides sempervirens,204148,0,13,15,7
Crocanthemum bicknellii,204150,13,2,1,1
Eubotrys racemosus,204152,0,1,1,1
Hylodesmum glutinosum,204156,0,9,5,2
Ligustrum obtusifolium,204160,0,5,5,2
Micranthes pensylvanica,204163,1,2,1,1
Nuphar variegata,204164,0,21,16,4
Scorzoneroides autumnalis,204167,0,21,36,9
Trichophorum cespitosum,204169,5,8,3,2
Crocanthemum canadense,204170,9,4,2,1
Hylodesmum nudiflorum,204173,1,8,4,3
Lysimachia borealis,204174,0,21,58,7
Lysimachia maritima,204175,0,19,12,7
Micranthes virginiensis,204176,1,8,9,2
Persicaria sagittata,204179,5,2,1,1
Nabalus trifoliolatus,204185,3,4,3,1
Ampelopsis glandulosa,204237,3,10,7,2
Anthoxanthum hirtum,204239,1,2,1,1
Anthoxanthum monticola,204240,0,21,16,2
Arctanthemum arcticum,204242,0,21,10,4
Arctous alpina,204243,0,21,28,10
Atocion armeria,204246,0,11,7,4
Calamagrostis epigejos,204260,5,6,3,3
Calystegia pubescens,204262,7,2,1,1
Carex foenea,204268,7,2,1,1
Circaea canadensis,204271,7,4,4,1
Clinopodium acinos,204272,0,3,2,2
Cyperus microiria,204301,3,2,1,1
Drymocallis arguta,204304,3,10,6,2
Erodium stephanianum,204313,1,8,5,1
Ficaria verna,204321,0,21,543,17
Gaylussacia bigeloviana,204323,15,2,1,1
Hypericum stragulum,204328,1,2,2,1
Iris domestica,204330,0,17,15,12
Iris hookeri,204331,0,17,7,2
Juncus conglomeratus,204335,15,2,1,1
Kalmia procumbens,204337,0,21,203,12
Lamium galeobdolon,204339,0,21,69,10
Lamprocapnos spectabilis,204340,0,5,2,2
Linaria spartea,204343,0,9,7,1
Lithospermum officinale,204348,11,4,4,4
Medicago falcata,204355,0,21,61,13
Micranthes foliolosa,204357,9,8,3,3
Nabalus racemosus,204360,3,12,6,3
Nasturtium microphyllum,204362,16,2,1,1
Neottia cordata,204364,0,21,9,6
Nicotiana langsdorffii,204365,20,1,1,1
Nipponanthemum nipponicum,204366,3,6,2,2
Oenothera gaura,204370,17,2,1,1
Oenothera serrulata,204371,9,2,1,1
Persicaria chinensis,204375,0,19,18,6
Persicaria minor,204376,5,2,1,1
Persicaria nepalensis,204377,1,20,23,9
Phedimus spurius,204380,0,15,10,4
Potentilla alba,204388,1,8,4,3
Potentilla litoralis,204390,0,15,9,5
Potentilla verna,204391,0,5,3,3
Primula japonica,204392,9,6,2,2
Rorippa globosa,204397,5,10,5,1
Rosa glauca,204398,11,2,1,1
Rosa sempervirens,204401,5,6,3,2
Salpiglossis sinuata,204406,3,13,11,2
Sphaeralcea mendocina,204417,3,2,1,1
Stachys hispida,204419,1,2,1,1
Strophostyles helvola,204420,0,15,11,4
Syringa josikaea,204422,19,2,1,1
Syringa villosa,204423,15,2,1,1
Verbena hispida,204430,15,2,1,1
Veronica spuria,204432,0,17,6,3
Opuntia lasiacantha,204749,0,9,5,4
Hibiscus vitifolius,204772,1,10,6,4
Caladenia latifolia,204850,0,20,41,5
Tripterococcus brunonis,204906,0,16,14,4
Laelia anceps,204984,11,2,1,1
Oreocereus celsianus,205050,1,2,1,1
Oreocereus doelzianus,205051,11,2,1,1
Sowerbaea laxiflora,205058,0,14,9,2
Calytrix decandra,205060,11,2,1,1
Diuris corymbosa,205091,3,6,3,2
Lawrencella rosea,205092,0,7,6,2
Scaevola auriculata,205116,0,1,1,1
Mirbelia dilatata,205117,0,12,6,2
Marah fabacea,205330,3,14,13,2
Triuris hyalina,205638,7,4,2,1
Lecocarpus pinnatifidus,205717,0,17,14,1
Justicia flava,205898,0,21,11,7
Leucas glabrata,205937,7,2,1,1
Delonix elata,205944,0,21,9,4
Sagittaria trifolia,206167,3,8,3,3
Furcraea parmentieri,206183,7,2,1,1
Tillandsia seleriana,206223,9,2,1,1
Tillandsia roland-gosselinii,206226,13,2,1,1
Guarianthe skinneri,206239,13,2,1,1
Cyrtochiloides ochmatochila,206246,9,2,1,1
Echinodorus grandiflorus,206261,1,2,1,1
Dieffenbachia seguine,206266,0,1,1,1
Monstera adansonii,206267,1,12,5,3
Monstera tuberculata,206269,0,3,2,1
Oncidium poikilostalix,206345,1,4,2,2
Tillandsia elongata,206355,3,2,1,1
Tillandsia lampropoda,206357,7,4,2,1
Melocactus curvispinus,206377,0,1,1,1
Nymphaea gracilis,206515,7,4,2,2
Calliandra trinervia,206517,7,2,1,1
Sapium macrocarpum,206540,15,2,1,1
Bravaisia integerrima,206549,3,4,2,2
Echinodorus palifolius,206594,5,10,4,1
Heteranthera oblongifolia,206699,3,12,5,2
Fouquieria ochoterenae,206741,0,1,1,1
Villasenoria orcuttii,206768,0,1,1,1
Ormosia macrocalyx,206776,1,2,1,1
Litsea glaucescens,206793,0,3,2,2
Nemaconia dressleriana,206936,13,2,1,1
Pleurothallis crocodiliceps,206946,1,2,1,1
Brahea dulcis,206949,5,2,1,1
Maxillaria alba,207024,7,2,1,1
Caularthron bilamellatum,207065,9,4,2,1
Corallorhiza macrantha,207070,19,2,1,1
Erycina crista-galli,207086,5,4,2,1
Erycina pumilio,207089,19,2,1,1
Tillandsia festucoides,207115,9,2,1,1
Pontederia rotundifolia,207116,0,14,11,6
Tigridia orthantha,207124,0,1,1,1
Mammillaria melanocentra,207169,15,2,1,1
Crusea hispida,207367,3,14,7,2
Zinnia citrea,207391,0,3,2,1
Gentiana spathacea,207413,5,8,3,3
Phyllanthus fluitans,207419,9,2,1,1
Hypericum tetrapterum,207572,15,2,1,1
Tephroseris integrifolia,207576,0,9,5,4
Jasione crispa,207662,9,2,1,1
Iberis spathulata,207712,5,2,1,1
Lilium pyrenaicum,207716,11,4,1,1
Nolana galapagensis,207729,0,3,1,1
Lantana peduncularis,207730,0,17,10,1
Opuntia galapageia,207737,0,21,67,1
Hypericum terrae-firmae,207743,5,2,1,1
Rhynchospora cephalotes,207750,13,4,1,1
Russelia sarmentosa,207751,15,2,1,1
Androsace villosa,207816,3,4,2,1
Primula hirsuta,207827,7,4,2,1
Saxifraga moschata,207831,0,3,2,1
Eucalyptus melliodora,207906,9,2,1,1
Angophora floribunda,207930,7,4,2,2
Alphitonia excelsa,207932,0,7,4,3
Capparis mitchellii,207933,9,2,1,1
Flindersia australis,207937,0,1,1,1
Santalum lanceolatum,207945,1,12,7,3
Cochlospermum fraseri,207949,0,17,12,1
Cochlospermum gillivraei,207950,0,21,29,1
Elaeagnus triflora,207951,0,13,7,1
Tillandsia macdougallii,208014,3,2,1,1
Hibiscus aponeurus,208038,3,8,3,2
Dionycha bojerii,208062,0,11,2,1
Eucalyptus pauciflora,208115,12,2,1,1
Teucrium yemense,208124,0,13,1,1
Eucalyptus angulosa,208143,5,2,1,1
Eucalyptus arenacea,208161,1,8,5,2
Maerua crassifolia,208321,17,2,1,1
Paronychia argentea,208322,0,17,12,4
Digera muricata,208323,0,11,5,3
Lamourouxia dasyantha,208441,9,4,2,2
Carex paniculata,208495,5,2,1,1
Andropogon gayanus,208518,1,8,4,2
Themeda triandra,208571,0,5,3,2
Eucalyptus miniata,208588,5,12,7,1
Acalypha hispida,208742,0,21,15,11
Adonidia merrillii,208746,0,21,37,15
Convolvulus crenatifolius,208759,5,6,4,3
Cyathula prostrata,208765,9,2,1,1
Cyperus alternifolius,208766,1,4,2,2
Chenopodium giganteum,208769,9,2,1,1
Galium spurium,208784,5,4,3,3
Galium uliginosum,208789,15,4,2,2
Gastrolobium grandiflorum,208790,7,6,2,1
Eryngium bourgatii,208803,5,6,3,2
Magnolia figo,208814,7,2,1,1
Pseuderanthemum carruthersii,208828,0,21,8,7
Rubus moluccanus,208836,3,8,2,2
Senna siamea,208839,0,21,11,7
Stellaria nemorum,208852,5,10,6,4
Banksia spinulosa,208902,1,11,12,2
Leucanthemopsis alpina,208915,0,3,2,1
Veronica fruticans,208923,0,11,7,3
Veronica ponae,208925,5,4,2,2
Vincetoxicum nigrum,208963,11,4,2,1
Hippocrepis emerus,208964,11,4,3,2
Sedum dasyphyllum,208966,1,6,3,2
Silene otites,208996,17,2,1,1
Polianthes geminiflora,209118,0,1,1,1
Linaria texana,209238,5,6,5,4
Tabebuia rosea,209270,0,21,35,6
Coris monspeliensis,209296,0,3,2,2
Catananche caerulea,209304,0,21,7,4
Scorzonera angustifolia,209307,19,2,1,1
Lysimachia ephemerum,209312,0,1,1,1
Dactylorhiza elata,209319,7,2,1,1
Cotoneaster microphyllus,209325,0,3,3,2
Pedicularis mixta,209340,13,2,1,1
Cirsium rivulare,209342,1,6,3,1
Viola cornuta,209347,1,4,2,1
Agave attenuata,209357,3,4,1,1
Sedum alpestre,209374,3,4,2,1
Pseudorchis albida,209376,0,15,8,4
Leucochrysum stipitatum,209391,1,14,8,1
Tricoryne elatior,209397,0,17,20,4
Orlaya grandiflora,209429,9,4,2,2
Saxifraga longifolia,209436,3,2,1,1
Campanula speciosa,209443,3,4,2,1
Teucrium pyrenaicum,209455,0,3,2,1
Brimeura amethystina,209458,11,4,2,2
Linum narbonense,209478,5,4,2,2
Dipcadi serotinum,209483,5,10,5,2
Asphodelus albus,209586,0,7,4,2
Primula integrifolia,209626,0,5,3,2
Anthyllis montana,209629,0,7,4,2
Asclepias mellodora,209781,3,10,7,3
Apeiba tibourbou,209867,1,6,3,2
Astianthus viminalis,209870,1,8,2,1
Attalea butyracea,209871,13,4,2,1
Bellucia grossularioides,209873,1,6,3,2
Bursera excelsa,209880,9,2,1,1
Ceiba aesculifolia,209891,11,2,1,1
Cordia alliodora,209896,3,6,2,2
Cordia dodecandra,209898,5,6,3,2
Cordia elaeagnoides,209899,1,10,3,1
Dialium guineense,209907,3,10,2,1
Hura polyandra,209924,13,4,1,1
Inga vera,209925,1,16,5,1
Inga edulis,209926,1,16,4,4
Ipomoea wolcottiana,209927,3,2,1,1
Lonchocarpus sericeus,209940,0,11,2,1
Maclura tinctoria,209943,16,2,1,1
Parkinsonia praecox,209956,0,15,7,3
Parmentiera aculeata,209957,3,2,1,1
Ruprechtia fusca,209990,15,2,1,1
Salix humboldtiana,209991,0,15,7,4
Sterculia apetala,210054,3,4,2,1
Vitex mollis,210076,7,10,3,2
Xerochrysum viscosum,210124,1,8,4,2
Ajuga australis,210141,0,12,7,3
Daviesia mimosoides,210143,9,4,2,1
Brachyloma daphnoides,210147,1,10,7,2
Hydrocotyle laxiflora,210152,0,15,12,3
Triptilodiscus pygmaeus,210155,11,3,2,2
Viola betonicifolia,210157,0,12,12,5
Stellaria pungens,210160,0,11,6,2
Isotoma fluviatilis,210163,11,1,1,1
Hovea linearis,210164,9,2,1,1
Kunzea ericoides,210165,3,2,1,1
Poranthera microphylla,210166,0,16,13,4
Dianella revoluta,210175,0,10,8,3
Daviesia genistifolia,210180,15,2,1,1
Hardenbergia violacea,210184,0,21,47,4
Acacia gunnii,210185,1,12,7,3
Goodenia hederacea,210193,16,3,2,2
Clivia miniata,210194,11,2,2,2
Ranunculus kuepferi,210266,5,4,2,1
Comesperma calymega,210343,3,3,2,1
Comesperma ericinum,210344,1,8,5,2
Gonocarpus tetragynus,210345,1,6,3,3
Daucus glochidiatus,210346,5,4,2,2
Hibbertia obtusifolia,210348,3,5,3,2
Hibbertia riparia,210349,0,11,8,1
Medicago marina,210354,3,2,1,1
Alkanna orientalis,210412,0,13,4,2
Alkanna tinctoria,210414,0,3,2,2
Ipomoea ternifolia,210427,0,11,6,2
Cheiranthera filifolia,210432,5,4,1,1
Langsdorffia hypogaea,210458,0,19,14,6
Ophrys fusca,210510,0,5,5,2
Asparagus acutifolius,210513,3,2,1,1
Crocus serotinus,210572,0,7,5,1
Impatiens sodenii,210929,1,15,11,3
Hymenocallis littoralis,210935,0,21,25,12
Sophora microphylla,210947,16,4,3,1
Leucocoryne purpurea,210979,1,6,3,1
Gardenia jasminoides,210990,0,21,40,1
Crocus carpetanus,211064,0,3,2,1
Combretum mossambicense,211071,1,4,3,1
Buddleja salviifolia,211103,1,8,5,3
Orchis olbiensis,211188,9,2,2,1
Gennaria diphylla,211282,5,8,4,1
Scilla monophyllos,211472,1,10,5,1
Hornungia petraea,212118,0,1,1,1
Iris planifolia,212157,9,2,1,1
Aristolochia baetica,219151,1,16,17,1
Lilium bulbiferum,223665,7,2,1,1
Lilium longiflorum,223669,19,2,1,1
Lilium michauxii,223670,19,2,1,1
Lilium michiganense,223671,1,6,3,2
Linaria angustissima,223830,0,1,1,1
Linum austriacum,223851,13,6,3,2
Linum rupestre,223863,1,2,2,1
Lippia alba,223926,0,17,20,10
Liriope muscari,223938,0,7,3,2
Lithospermum mirabile,224012,0,1,1,1
Lithospermum viride,224015,13,2,1,1
Lobelia boykinii,224049,5,2,1,1
Lobelia chinensis,224052,1,10,6,2
Lobelia glandulosa,224058,7,2,1,1
Lobelia nuttallii,224066,0,3,2,2
Lobelia paludosa,224068,7,2,1,1
Pieris phillyreifolia,228120,9,2,1,1
Scoparia montevidensis,230664,11,2,2,2
Viscum cruciatum,236870,13,2,1,1
Moricandia moricandioides,236872,1,2,1,1
Anacamptis collina,236883,0,9,5,3
Siloxerus multiflorus,243556,3,8,3,3
Herminium monorchis,243592,0,5,2,1
Giliastrum incisum,243601,15,2,1,1
Neotinea maculata,243619,0,5,3,2
Serapias parviflora,243620,3,6,3,1
Ophrys sphegodes,243623,5,6,3,2
Ophrys fuciflora,243627,0,11,9,2
Lantana horrida,243637,1,12,5,4
Artocarpus mariannensis,243723,3,8,1,1
Acacia ligulata,243733,7,4,2,1
Sisyrinchium striatum,243780,0,11,12,3
Crocosmia paniculata,243783,11,4,2,1
Potentilla indica,243824,0,21,39,18
Edgeworthia gardneri,243937,3,12,10,1
Allium subhirsutum,244029,1,4,2,1
Allium paradoxum,244033,9,2,1,1
Polygonatum verticillatum,244049,5,2,1,1
Scilla lilio-hyacinthus,244095,3,6,3,2
Scilla peruviana,244096,5,6,3,3
Scilla luciliae,244100,1,10,5,4
Lotus cytisoides,244102,7,2,1,1
Fascicularia bicolor,244184,0,5,5,1
Ochagavia carnea,244192,9,3,2,1
Acacia falciformis,244219,9,2,1,1
Acacia obliquinervia,244220,16,2,1,1
Chrysocephalum apiculatum,244345,0,14,21,4
Acacia rubida,244348,0,5,3,1
Giliastrum acerosum,244355,15,2,1,1
Acrocomia aculeata,244459,0,3,2,2
Chrysocephalum semipapposum,244465,0,7,5,3
