species,inat_taxon_id,first_v2_round,n_v2_rounds_seen,unique_v2_observations,occupied_v2_cells
Pintoa chilensis,1102078,4,3,6,1
Alysicarpus pubescens,1102115,11,1,1,1
Barleria longiflora,1102153,18,1,1,1
Billardiera coriacea,1102536,10,1,1,1
Wulfeniopsis amherstiana,1103284,5,1,1,1
Dicoma niccolifera,1103423,1,1,1,1
Cynorkis anisoloba,1103487,7,1,1,1
Malephora purpureocrocea,1103491,8,4,5,4
Matisia lozanoi,1103595,14,1,1,1
Trigonia laevis,1103672,4,2,2,1
Vochysia tomentosa,1103837,4,1,1,1
Jamesbrittenia fodina,1103932,9,1,2,1
Indigofera serpentinicola,1103963,9,1,1,1
Stigmaphyllon convolvulifolium,1104220,20,1,1,1
Caluera surinamensis,1104233,4,1,1,1
Psammomoya choretroides,1104337,8,2,2,2
Allium pseudostamineum,1104362,7,2,3,1
Pycnarrhena novoguineensis,1104470,5,1,1,1
Rytigynia macrura,1104520,9,1,2,1
Tragia mazoensis,1104565,9,1,1,1
Boronia crassifolia,1104574,13,1,1,1
Acacia gonophylla,1104585,5,4,4,2
Miconia symplocoidea,1104609,13,1,1,1
Cajanus confertiflorus,1104686,16,1,1,1
Leionema viridiflorum,1104696,12,1,1,1
Aphelandra pilosa,1104870,9,1,1,1
Alangium polyosmoides,1104901,1,2,2,2
Melaleuca empetrifolia,1104906,1,8,14,3
Cryptandra pungens,1104908,1,3,3,3
Aeschynanthus lineatus,1104921,8,1,1,1
Hovea acanthoclada,1104926,7,1,2,1
Argyrolobium biebersteinii,1104995,20,1,1,1
Chaetanthera schroederi,1105076,17,1,1,1
Distichlis scoparia,1105085,9,2,2,1
Pulicaria auranitica,1105093,20,1,1,1
Corydalis diphylla,1105181,5,2,1,1
Gilliesia isopetala,1105196,1,3,3,1
Odontocarya tamoides,1105734,14,1,1,1
Mussaenda taihokuensis,1105930,14,2,2,1
Ophrys bornmuelleri,1106059,16,1,1,1
Acacia burkittii,1106116,2,1,1,1
Oncidium lehmannii,1106121,20,1,1,1
Centaurea aggregata,1106244,5,1,1,1
Smyrniopsis aucheri,1106284,15,1,1,1
Erythrina excelsa,1106297,19,1,1,1
Ageratina latipes,1106364,10,1,1,1
Ageratina theifolia,1106380,2,1,1,1
Cristonia biloba,1106426,2,2,2,1
Carum buriaticum,1106433,8,1,1,1
Hibiscus hamabo,1106438,18,1,1,1
Pluchea tomentosa,1106998,6,2,2,1
Pedicularis semenowii,1107043,14,1,2,1
Leptohyptis macrostachys,1107764,9,1,1,1
Medusantha martiusii,1107773,1,1,1,1
Buddleja colvilei,1107798,13,2,2,1
Siphonoglossa sessilis,1107808,4,1,1,1
Claoxylon hillii,1107843,4,1,1,1
Xylosma nelsonii,1108140,3,4,1,1
Ageratum petiolatum,1108198,20,1,1,1
Berberis serratodentata,1108231,1,4,5,1
Crotalaria saharae,1108250,13,1,1,1
Pterostylis diminuta,1108271,11,1,1,1
Pedicularis schistostegia,1108289,4,6,3,1
Tribulus hirsutus,1108881,2,2,2,1
Hieracium pilosum,1109136,1,1,1,1
Vicia noeana,1109253,6,1,1,1
Vicia michauxii,1109322,15,1,1,1
Habenaria pumila,1109538,15,1,2,1
Thermopsis dahurica,1109564,20,1,1,1
Fagonia zilloides,1109715,7,1,1,1
Bulbophyllum lygeron,1109757,6,2,2,1
Bulbophyllum lyriforme,1109758,14,1,1,1
Bulbophyllum unguiculatum,1109920,13,1,1,1
Vicia lecomtei,1109986,20,1,1,1
Hypocalymma speciosum,1110141,5,3,4,1
Argyreia involucrata,1110231,19,1,1,1
Galium nabelekii,1110263,17,1,1,1
Campanula reuteriana,1110269,5,2,2,1
Dupineta brazzae,1110284,5,2,1,1
Pentanema salicinum,1110513,1,12,18,4
Indopoa paupercula,1110586,4,1,2,1
Aerides maculosa,1110616,4,8,12,2
Astragalus melanostictus,1110679,5,1,1,1
Spirotheca rivieri,1110682,17,1,1,1
Paepalanthus caryonauta,1110748,7,1,1,1
Ploiarium elegans,1110791,6,1,1,1
Osbeckia zeylanica,1110883,17,1,1,1
Boronia hapalophylla,1110927,18,1,4,1
Logania vaginalis,1110964,4,8,8,1
Leucas cephalotes,1111046,8,1,1,1
Leucas longifolia,1111050,9,2,2,1
Ficus talbotii,1111097,6,1,1,1
Aconitum fletcherianum,1111173,18,1,1,1
Phyllocara aucheri,1111269,1,1,1,1
Aegopodium tribracteolatum,1111326,18,1,1,1
Oxytropis longirostra,1111348,10,2,1,1
Leiotulus secacul,1111581,5,1,1,1
Astragalus bruguieri,1111631,15,1,1,1
Aniba cylindriflora,1111758,8,1,1,1
Aniba firmula,1111762,17,1,1,1
Thinopyrum acutum,1112044,13,1,1,1
Heterocondylus alatus,1112243,1,1,1,1
Crassula undulata,1112278,5,1,1,1
Passiflora jaenensis,1112414,10,1,1,1
Crassula mesembryanthoides,1112562,12,1,1,1
Eriogonum wootonii,1112762,14,1,1,1
Hibbertia acuminata,1112931,18,2,2,1
Iris oxypetala,1112958,5,3,4,2
Bupleurum angulosum,1112980,7,3,3,2
Pleroma granulosum,1113012,2,6,9,3
Weinmannia paulliniifolia,1113072,15,1,1,1
Poranthera obovata,1113136,18,2,2,1
Crotalaria novae-hollandiae,1113231,6,4,3,2
Tovomita fructipendula,1113527,16,1,1,1
Impatiens coelotropis,1113564,9,1,1,1
Loeseneriella bourdillonii,1113601,4,2,2,1
Piptocarpha lundiana,1113691,6,1,1,1
Zornia brasiliensis,1113760,1,3,3,2
Leucanthemum aligulatum,1113996,6,1,1,1
Allium rupicola,1114105,20,1,1,1
Ilex microphylla,1114140,5,1,1,1
Psidium oligospermum,1114331,14,1,1,1
Oberonia chandrasekharanii,1114372,6,1,1,1
Maxillaria amplifoliata,1114385,3,1,1,1
Hibbertia nemorosa,1114553,5,1,1,1
Craterostigma nummulariifolium,1114691,6,2,2,1
Psephellus pulcherrimus,1114839,7,1,1,1
Chaetogastra gracilis,1114853,3,2,2,1
Tolpis santosii,1114919,19,1,1,1
Podochilus falcatus,1115120,1,1,1,1
Tribulus platypterus,1115372,11,1,1,1
Neohymenopogon parasiticus,1115415,15,1,1,1
Allium austroiranicum,1115460,6,1,1,1
Trianthema triquetrum,1115587,19,1,1,1
Begonia concinna,1115767,3,2,2,1
Pseudobombax majus,1115848,9,1,1,1
Guzmania testudinis,1115863,1,1,1,1
Croton lundianus,1115972,4,1,2,1
Eugenia stictopetala,1116035,20,1,1,1
Justicia sphaerosperma,1116046,16,2,2,2
Lantana radula,1116047,3,5,8,2
Octomeria graminifolia,1116069,18,1,1,1
Tillandsia pardoi,1116105,2,1,1,1
Guzmania amplectens,1116162,16,1,1,1
Goeppertia loeseneri,1116223,5,3,1,1
Salvia castanea,1116367,18,1,1,1
Pultenaea robusta,1116384,15,2,2,1
Bossiaea riparia,1116421,2,1,2,1
Dracocephalum rupestre,1116435,13,3,3,1
Apium annuum,1116600,3,2,2,1
Erythrina mulungu,1116794,6,4,4,3
Tillandsia globosa,1116796,11,1,1,1
Nervilia campestris,1116831,2,4,1,1
Acacia obovata,1116855,8,1,2,1
Gastrolobium minus,1116865,18,1,1,1
Salacia arborea,1116885,14,1,1,1
Salacia multiflora,1116970,14,1,1,1
Helia acutangula,1117036,20,1,1,1
Ludwigia sedioides,1117232,6,4,4,3
Vriesea pardalina,1117480,19,1,1,1
Austroeupatorium picturatum,1117521,10,1,2,1
Barnadesia hutchisoniana,1117539,9,1,1,1
Ipomoea cambodiensis,1117595,16,1,1,1
Pleroma heteromallum,1117609,2,12,17,6
Solanum leucocarpon,1117675,3,3,3,1
Coleus australis,1117678,4,2,3,1
Schinus latifolia,1117845,1,6,6,1
Schinus polygama,1117857,3,7,11,2
Colliguaja dombeyana,1118042,8,1,1,1
Nothoscordum dialystemon,1118048,3,2,2,2
Xanthostemon carlii,1118063,4,3,1,1
Geissois pruinosa,1118066,5,3,1,1
Homalium africanum,1118143,9,1,1,1
Ranunculus lowii,1118158,11,1,1,1
Peripterygia marginata,1118172,5,3,1,1
Dichaea picta,1118376,3,1,1,1
Duguetia cadaverica,1118378,3,2,4,1
Sedum multicaule,1118419,15,2,3,2
Olearia subspicata,1118587,12,2,2,1
Debregeasia australis,1118823,5,2,2,1
Pleione limprichtii,1118881,14,1,1,1
Tillandsia samaipatensis,1119029,19,1,1,1
Sida glaziovii,1119030,8,1,1,1
Cryptandra arbutiflora,1119059,6,2,2,1
Cryptandra intermedia,1119060,3,1,1,1
Astrotricha glabra,1119104,6,1,1,1
Trichosanthes scabra,1119307,3,4,3,2
Berberis glauca,1119319,2,3,3,1
Berberis petriruizii,1119324,2,1,1,1
Berberis rigidifolia,1119325,17,1,1,1
Berberis hallii,1119332,9,1,1,1
Pultenaea rostrata,1119442,9,2,2,1
Berberis ceylanica,1119446,12,1,1,1
Hibiscus solanifolius,1119486,5,2,2,1
Cogniauxia trilobata,1119496,9,1,1,1
Cotula pruinosa,1119530,7,4,6,2
Espeletia corymbosa,1119754,4,1,1,1
Espeletia santanderensis,1119777,7,1,1,1
Espeletia pleiochasia,1119780,2,2,2,1
Burmannia wallichii,1120077,4,4,6,1
Biophytum helenae,1120365,10,5,5,2
Caladenia hillmanii,1120589,16,2,2,2
Bursaria longisepala,1120610,17,1,1,1
Acianthera glanduligera,1120614,5,1,1,1
Thymus minussinensis,1120690,11,1,1,1
Senecio roseiflorus,1120716,8,2,2,1
Aulacocalyx jasminiflora,1120846,17,1,1,1
Aechmea emmerichiae,1120895,4,3,3,1
Goniothalamus roseus,1120905,10,1,1,1
Hydrocotyle paludosa,1120911,13,1,1,1
Bossiaea armitii,1120919,6,1,1,1
Oxalis pilulifera,1121013,12,1,1,1
Brunellia propinqua,1121038,3,1,1,1
Pleroma semidecandrum,1121127,1,2,2,2
Plukenetia serrata,1121245,7,1,1,1
Begonia modestiflora,1121451,5,1,1,1
Ancistrotropis peduncularis,1121638,4,1,1,1
Palicourea colorata,1121974,2,8,12,4
Kunzea occidentalis,1122173,17,1,1,1
Solanum sturtianum,1122291,16,2,2,2
Codiaeum peltatum,1122310,6,3,1,1
Pisonia horneae,1122329,15,1,1,1
Jacquemontia unilateralis,1122406,15,1,1,1
Adenocalymma candolleanum,1122537,1,1,1,1
Boronia safrolifera,1122719,19,1,1,1
Trichotosia aporina,1122858,3,2,1,1
Senecio hispidissimus,1123000,4,1,1,1
Tapura guianensis,1123104,6,4,5,1
Impatiens kamtilongensis,1123132,8,2,2,1
Scaevola platyphylla,1123169,20,1,1,1
Pedicularis japonica,1123181,3,2,3,1
Impatiens rubricolor,1123320,16,1,1,1
Galeopsis pyrenaica,1123333,3,1,1,1
Aphelandra hieronymi,1123348,4,1,1,1
Goodenia heenanii,1123429,17,1,2,1
Celtis chichape,1123437,1,1,1,1
Oxalis umbraticola,1123625,6,2,2,2
Oxalis puberula,1123626,8,1,1,1
Miconia globuliflora,1123910,18,1,1,1
Astragalus strictus,1123931,7,1,1,1
Lindackeria paludosa,1123960,16,1,1,1
Lindackeria pauciflora,1123974,20,1,1,1
Haplanthodes plumosa,1124129,8,1,1,1
Psychotria micrantha,1124209,6,2,2,2
Caladenia stellata,1124317,11,1,4,1
Senecio hadiensis,1124358,17,1,1,1
Tarenaya longicarpa,1124516,2,13,38,2
Philodendron microstictum,1124675,4,1,1,1
Davilla alata,1124687,9,2,2,1
Pedicularis scullyana,1124690,17,1,6,1
Lepanthes helleri,1124859,17,1,1,1
Davilla cearensis,1124901,16,1,1,1
Lithosciadium multicaule,1124932,18,1,1,1
Ptilotrichum canescens,1124938,9,2,2,1
Senna weddelliana,1124939,2,1,1,1
Piper mollicomum,1124975,10,1,1,1
Pedaliodiscus macrocarpus,1124985,4,2,1,1
Pimelea strigosa,1125010,4,1,1,1
Solanum pygmaeum,1125029,16,1,1,1
Strobilanthes anceps,1125136,8,1,1,1
Veronica stelleri,1125303,1,1,1,1
Zieria graniticola,1125304,18,1,1,1
Zieria alata,1125307,1,1,1,1
Fragaria hayatae,1125546,5,4,7,1
Barbarea brachycarpa,1125716,8,1,1,1
Pulsatilla orientali-sibirica,1125786,8,1,2,1
Anthurium crassiradix,1125806,12,1,1,1
Anthurium jefense,1125809,12,1,1,1
Coffea wightiana,1125868,12,1,1,1
Stanhopea cirrhata,1126223,1,1,1,1
Cleistopholis glauca,1126488,9,1,1,1
Heteranthera missouriensis,1126531,2,1,1,1
Heteranthera multiflora,1126536,19,1,3,1
Vincetoxicum hirsutum,1126719,5,1,1,1
Philodendron gigas,1126763,11,1,1,1
Passiflora sanguinolenta,1126791,4,2,2,1
Boronia ternata,1126792,2,1,1,1
Anthurium lancifolium,1126803,10,1,1,1
Colubrina glandulosa,1126984,2,1,1,1
Columnea moorei,1127009,10,1,1,1
Saussurea oxyodonta,1127083,7,2,1,1
Impatiens chandrasekharanii,1127147,13,1,1,1
Amphidasya panamensis,1127168,12,1,1,1
Oreocarya nubigena,1127175,19,1,1,1
Thalia densibracteata,1127215,5,3,3,2
Psephellus turgaicus,1127363,9,3,3,2
Ruellia angustior,1127379,18,1,1,1
Cissus decidua,1127397,3,5,5,1
Encyclia xerophytica,1127678,6,1,1,1
Himantoglossum calcaratum,1128092,14,1,1,1
Dialium reygaertii,1128117,9,1,1,1
Cicerbita prenanthoides,1128243,20,1,1,1
Terminalia coronata,1128353,3,2,1,1
Rhaphiostylis beninensis,1128394,9,1,1,1
Byrsonima intermedia,1128552,7,3,3,3
Diuris porrifolia,1128603,10,1,1,1
Conostylis prolifera,1129198,1,2,2,1
Aechmea floribunda,1129240,12,1,1,1
Mezoneuron hymenocarpum,1129345,20,1,1,1
Uvaria littoralis,1129510,2,9,16,1
Boronia subulifolia,1130137,19,1,1,1
Inula linariifolia,1130154,7,1,1,1
Astragalus teskhemicus,1130467,9,2,1,1
Bauhinia dubia,1130577,16,1,1,1
Jacksonia restioides,1130874,4,5,6,1
Clematis kirilowii,1130885,7,3,4,1
Forsteronia pubescens,1130890,11,1,1,1
Elaeocarpus culminicola,1131175,20,1,1,1
Nothoscordum montevidense,1131747,3,3,3,2
Glechon marifolia,1131905,9,2,4,1
Calliandra tweediei,1132038,2,5,5,2
Drosera coomallo,1132110,4,1,1,1
Microseris walteri,1132139,2,7,12,3
Indigofera parodiana,1132140,17,1,1,1
Pilosella stoloniflora,1132151,5,1,1,1
Coursetia hassleri,1132152,2,1,1,1
Dinizia jueirana-facao,1132229,15,1,1,1
Euphrasia tatarica,1132649,10,1,1,1
Croton antisyphiliticus,1133423,11,1,1,1
Hibbertia banksii,1133621,6,4,7,1
Baeckea pentagonantha,1133700,1,2,3,1
Oplopanax japonicus,1133781,9,1,2,1
Eremophila christophori,1134140,11,3,3,1
Ranunculus lancipetalus,1134163,15,1,1,1
Stenanthemum humile,1134242,10,1,1,1
Limonium sarcophyllum,1134256,11,1,1,1
Solanum saponaceum,1134259,6,1,1,1
Cardamine scaposa,1134906,8,1,1,1
Philotheca gardneri,1134907,7,1,1,1
Solanum subumbellatum,1135307,7,4,4,1
Conostylis pusilla,1135319,5,1,1,1
Asterolasia pallida,1135516,1,5,6,1
Aotus gracillima,1135582,16,1,1,1
Nasa chenopodiifolia,1136037,2,1,1,1
Cyclanthera carthagenensis,1136071,9,1,1,1
Pavonia mutisii,1136159,1,2,2,1
Leymus paboanus,1136173,20,1,1,1
Lepanthes effusa,1136508,10,1,1,1
Stylidium pulchellum,1136569,7,2,2,1
Eremophila exilifolia,1136792,6,1,1,1
Muilla lordsburgana,1136873,8,1,6,1
Stylidium pycnostachyum,1136925,17,1,1,1
Maxillaria inflexa,1136966,18,1,1,1
Syncolostemon comosus,1136985,9,1,1,1
Pitaviaster haplophyllus,1137014,4,1,1,1
Carex setifolia,1137084,9,2,2,1
Epidendrum mutelianum,1137087,2,1,1,1
Cynanchum radians,1137093,1,5,5,1
Salvia glabrescens,1137218,20,1,1,1
Drosera monantha,1137231,13,1,1,1
Vandellia micrantha,1137246,6,1,1,1
Clusia organensis,1137249,11,1,1,1
Caladenia gardneri,1137257,16,1,5,1
Ceiba jasminodora,1137801,1,1,1,1
Pavonia communis,1137802,12,1,1,1
Epidendrum patens,1137826,5,2,2,1
Indigofera complanata,1137850,14,1,1,1
Goeppertia cylindrica,1137981,2,2,2,2
Goeppertia eichleri,1137982,14,1,1,1
Goeppertia warszewiczii,1138036,1,1,1,1
Stromanthe schottiana,1138041,2,3,3,2
Frangula goudotiana,1138138,12,1,1,1
Pultenaea subspicata,1138224,12,1,1,1
Armeria curvifolia,1138435,1,17,28,3
Paraboea sinensis,1138447,16,1,1,1
Calycolpus goetheanus,1138695,8,2,2,1
Arthropodium fimbriatum,1138705,3,3,6,3
Arthropodium strictum,1138706,1,13,21,3
Huberantha cerasoides,1138748,8,1,1,1
Critoniella albertosmithii,1138767,15,1,1,1
Eremophila tietkensii,1138922,14,1,1,1
Robiquetia rosea,1138980,13,1,1,1
Melaleuca schaueri,1139002,9,1,1,1
Buddleja tubiflora,1139024,11,1,1,1
Annona hypoglauca,1139063,14,1,1,1
Byrsonima aerugo,1139081,8,1,1,1
Oritrophium hieracioides,1139180,11,1,1,1
Corydalis quantmeyeriana,1139294,1,1,2,1
Coussapoa microcarpa,1139340,10,1,1,1
Conchocarpus macrophyllus,1139341,5,3,4,3
Passiflora mathewsii,1139390,12,2,2,2
Annona exsucca,1139404,8,2,2,2
Maxillaria galantha,1139480,12,1,1,1
Taraxacum roseum,1139739,11,1,1,1
Tillandsia grao-mogolensis,1139780,9,1,1,1
Rhamnus erythroxyloides,1139793,20,1,1,1
Angelica decurrens,1140774,7,2,2,2
Piper parmatum,1140894,11,1,1,1
Hedlundia mougeotii,1141128,10,1,1,1
Boronia dichotoma,1141215,10,1,1,1
Ficaria kochii,1142042,5,3,2,2
Byrsonima densa,1142222,3,2,2,1
Boronia ovata,1142299,10,3,5,1
Anthyllis circinnata,1142417,3,5,5,3
Justicia austrosinensis,1142436,4,1,1,1
Dichorisandra procera,1142469,5,2,2,2
Clusia fockeana,1142477,5,2,2,1
Astragalus ucrainicus,1142603,16,1,1,1
Sorocea hilarii,1143057,6,1,1,1
Dichorisandra tejucensis,1143083,16,1,1,1
Mollinedia ovata,1143088,1,1,1,1
Schoenus graciliculmis,1143112,3,2,2,1
Stelis gemma,1143127,8,1,1,1
Senecio danai,1143162,7,1,2,1
Tropaeolum peltophorum,1143307,11,1,1,1
Lupinus interruptus,1143323,14,1,1,1
Bonnaya oppositifolia,1143343,10,1,1,1
Haemodorum laxum,1143491,10,1,1,1
Cuphea linarioides,1143493,9,2,2,1
Coccoloba marginata,1143512,3,1,1,1
Anthurium sanctifidense,1143610,12,1,1,1
Cienfuegosia hispida,1143713,2,1,1,1
Mouriri guianensis,1143863,1,5,5,1
Gnaphalium gayanum,1144002,5,1,1,1
Wisteriopsis reticulata,1144135,8,2,5,1
Besleria flavovirens,1144182,3,2,3,1
Taraxacum glaucanthum,1144206,13,1,1,1
Nautilocalyx mimuloides,1144303,3,1,1,1
Trichocentrum caatingaense,1144318,10,2,2,2
Rinorea pubiflora,1144352,1,1,1,1
Ipomoea leprieurii,1144377,1,1,1,1
Pedicularis pectinata,1144387,16,1,1,1
Strobilanthes echinata,1144468,12,1,1,1
Strobilanthes tetrasperma,1144509,4,1,1,1
Hibiscus macilwraithensis,1144901,3,1,1,1
Appendicularia thymifolia,1144969,10,1,1,1
Hypochaeris lutea,1144979,14,2,2,1
Pseudoernestia glandulosa,1144983,17,1,1,1
Comolia villosa,1145006,14,2,2,1
Noterophila bivalvis,1145012,13,1,1,1
Haemodorum tenuifolium,1145018,1,1,1,1
Palicourea tomentosa,1145089,1,15,33,4
Oxytropis racemosa,1145125,11,1,1,1
Xanthosia singuliflora,1145150,19,2,2,2
Flindersia ifflana,1145360,14,1,1,1
Aceratium ferrugineum,1145365,20,1,1,1
Thelymitra glaucophylla,1145369,4,2,9,2
Justicia phyllostachys,1145423,2,3,4,1
Echinops sahyadricus,1145429,11,2,2,1
Hypochaeris megapotamica,1145466,8,5,6,3
Chamaecytisus hirsutus,1145482,2,2,2,2
Zephyranthes cearensis,1145575,3,8,15,3
Stemodia grossa,1145714,2,6,4,3
Leptactina benguelensis,1145723,2,5,5,1
Gladiolus erectiflorus,1145727,1,1,1,1
Caladenia aurulenta,1145760,7,1,1,1
Paliavana tenuiflora,1145863,2,2,2,1
Manettia divaricata,1145899,1,1,1,1
Randia audasii,1145938,17,1,1,1
Maxillaria tigrina,1146035,2,1,1,1
Maxillaria frontinoensis,1146036,13,1,1,1
Maxillaria valenzuelana,1146037,17,1,1,1
Maxillaria arbuscula,1146041,9,2,2,1
Maxillaria caucana,1146042,7,1,1,1
Maxillaria richii,1146045,14,1,1,1
Maxillaria multicaulis,1146046,19,1,1,1
Maxillaria scorpioidea,1146047,7,1,1,1
Maxillaria lutescens,1146109,5,3,3,2
Blumea densiflora,1146384,2,1,1,1
Stylogyne incognita,1146421,3,1,1,1
Buddleja angusticarpa,1146709,3,2,2,1
Oldenlandia mellii,1146749,2,1,1,1
Melaleuca planifolia,1146761,9,1,1,1
Peperomia mameiana,1146767,12,1,1,1
Melaleuca torulosa,1146777,9,1,1,1
Melaleuca tuberosa,1146778,2,4,4,1
Aotus intermedia,1146810,1,3,3,1
Aphelia cyperoides,1146812,2,1,1,1
Stylidium spinulosum,1146860,2,3,11,1
Primula reptans,1147323,5,1,1,1
Miconia mayeta,1147337,2,1,1,1
Swartzia grandifolia,1147380,3,2,2,1
Loxanthocereus hystrix,1147423,7,2,2,1
Stylidium plantagineum,1147515,7,2,2,1
Smithia salsuginea,1147569,16,1,1,1
Ptilotus arthrolasius,1147772,1,5,6,2
Odontocarya wullschlaegelii,1147859,14,1,1,1
Passiflora kuranda,1147863,13,2,2,1
Herbertia darwinii,1147964,13,1,1,1
Aceratium concinnum,1148215,9,1,1,1
Lespedeza davidi,1148216,13,1,1,1
Sorbus sibirica,1148360,13,3,4,2
Loxanthocereus pachycladus,1148390,15,1,1,1
Pomaria rubicunda,1148428,7,1,1,1
Aquilegia jucunda,1148522,3,5,2,1
Cicerbita azurea,1148639,12,1,1,1
Turraea rhombifolia,1148652,4,3,1,1
Loxanthocereus peculiaris,1148696,12,1,1,1
Zygostigma australe,1148744,13,1,1,1
Abutilon lepidum,1148839,13,1,1,1
Passiflora margaritae,1149069,1,2,2,1
Passiflora costata,1149071,15,1,1,1
Hibbertia setifera,1149236,10,2,5,1
Galium linearifolium,1149301,16,1,1,1
Anemonastrum speciosum,1149317,2,2,2,1
Culcitium albifolium,1149322,20,1,1,1
Culcitium canescens,1149337,17,1,1,1
Culcitium nivale,1149361,8,1,1,1
Eschweilera congestiflora,1149605,14,2,2,1
Silene stenophylla,1149641,2,3,1,1
Mostuea hirsuta,1149647,9,1,1,1
Arabidella nasturtium,1149689,13,1,1,1
Adelonema wallisii,1149915,11,1,1,1
Epidendrum ferrugineum,1150004,5,1,1,1
Tremandra diffusa,1150041,5,2,2,1
Helicteres heptandra,1150052,3,6,7,2
Aeschynanthus humilis,1150069,11,2,2,2
Aeschynanthus wardii,1150070,19,1,1,1
Gompholobium uncinatum,1150222,10,1,1,1
Clematis glauca,1150237,3,4,2,2
Centaurea maroccana,1150241,11,2,2,1
Geissois magnifica,1150278,6,3,1,1
Stanhopea warszewicziana,1150345,17,1,1,1
Cheiranthera borealis,1150493,4,1,1,1
Coleus ciliatus,1150557,16,1,1,1
Cumulopuntia subterranea,1150651,19,1,1,1
Aechmea longicuspis,1150700,6,3,3,2
Phyllota diffusa,1150728,14,1,1,1
Chaetogastra clinopodifolia,1150790,8,3,5,1
Impatiens bannaensis,1150989,9,1,1,1
Phycella australis,1151035,13,2,2,1
Radlkoferotoma cistifolium,1151164,11,1,1,1
Eulychnia vallenarensis,1151173,8,2,2,1
Calanthe labrosa,1151208,9,1,1,1
Chaetogastra mollis,1151489,8,1,1,1
Chaetogastra hieracioides,1151493,9,2,2,1
Boronia alulata,1151544,11,2,2,1
Didymocarpus purpureobracteatus,1151545,9,1,2,1
Caladenia serotina,1151604,13,2,3,1
Nymphaea lukei,1151733,1,1,1,1
Scaevola striata,1151813,4,6,7,1
Hylaeanthe hexantha,1151916,15,1,1,1
Carex fecunda,1151964,20,1,1,1
Solanum corneliomulleri,1152136,5,1,1,1
Hypochaeris petiolaris,1152282,12,1,1,1
Primula heterochroma,1152311,9,1,1,1
Maihueniopsis molfinoi,1152535,7,4,5,1
Solanum richardii,1152597,3,1,1,1
Eschweilera sessilis,1152646,11,1,1,1
Coursetia rostrata,1152752,1,2,2,2
Bauhinia catingae,1152781,3,1,1,1
Neanotis decipiens,1152798,6,1,1,1
Glycosmis mauritiana,1152861,12,1,1,1
Manilkara roxburghiana,1152865,20,1,1,1
Exodeconus prostratus,1153013,8,1,1,1
Matthiola maroccana,1153201,5,1,1,1
Corydalis hemidicentra,1153297,8,1,2,1
Ixora thwaitesii,1153302,1,1,1,1
Murdannia sahyadrica,1153334,17,1,1,1
Stylidium luteum,1153400,13,2,5,1
Oplismenus burmanni,1153571,15,1,1,1
Dryas alaskensis,1153588,4,2,2,2
Achimenes warszewicziana,1153845,14,1,1,1
Palicourea callithrix,1153852,2,1,1,1
Maranta humilis,1154088,3,3,3,1
Solanum hovei,1154113,3,3,4,1
Himatanthus drasticus,1154115,6,2,3,1
Gunniopsis zygophylloides,1154205,4,4,4,1
Polygala wattersii,1154213,7,1,1,1
Orthosiphon parvifolius,1154250,2,6,4,1
Carduus chevallieri,1154263,13,2,4,1
Acmispon tomentosus,1154291,7,3,4,2
Acmispon subpinnatus,1154292,4,3,4,2
Lotus hirsutus,1154339,1,2,2,2
Lotus dorycnium,1154342,2,6,7,2
Youngia racemifera,1154443,16,1,2,1
Medinilla petelotii,1154508,9,1,1,1
Goeppertia roseopicta,1154562,9,1,1,1
Ruellia viscidula,1154572,2,4,4,1
Tragia cearensis,1154684,19,1,1,1
Melochia longidentata,1154688,3,5,4,2
Hertia marocana,1154874,14,1,1,1
Hemigenia podalyrina,1155016,13,2,2,1
Hydrocotyle batrachium,1155078,2,11,26,2
Philibertia candolleana,1155160,4,1,1,1
Phanera vahlii,1155237,4,4,4,3
Lupinus cuzcensis,1155312,7,2,2,1
Phanera kockiana,1155314,2,5,3,1
Lepidagathis lutea,1155341,11,1,1,1
Agave cordillerensis,1155386,1,2,2,2
Corchorus hirtus,1155641,2,8,10,2
Silene nigrescens,1155775,16,1,2,1
Anthurium dominicense,1155985,3,5,5,1
Berberis tsarica,1156082,17,1,2,1
Pedicularis roylei,1156120,11,3,12,1
Pedicularis trichoglossa,1156121,17,1,3,1
Schnella guianensis,1156142,16,1,1,1
Phanera macrostachya,1156145,18,1,1,1
Buxus portoricensis,1156442,3,1,1,1
Eschenbachia stricta,1156475,3,1,2,1
Schnella kunthiana,1156528,18,1,1,1
Wedelia martii,1156597,9,1,1,1
Kutchubaea insignis,1156603,11,2,2,1
Parinari campestris,1156608,3,1,1,1
Cissus duarteana,1156654,1,2,2,1
Luetzelburgia auriculata,1156666,4,5,8,2
Cheniella glauca,1156874,6,2,2,1
Schnella glabra,1156885,8,2,2,2
Lupinus albescens,1156895,4,2,2,1
Cheniella corymbosa,1156897,20,1,1,1
Curculigo racemosa,1156922,8,2,2,1
Phanera championii,1157045,2,4,6,1
Phanera aureifolia,1157070,9,3,2,2
Xyris lanata,1157125,7,2,2,1
Ixia fuscocitrina,1157140,17,1,1,1
Hypochaeris chondrilloides,1157151,10,1,1,1
Thymus gobicus,1157354,5,2,3,1
Hemigenia humilis,1157368,14,1,1,1
Erucaria erucarioides,1157380,11,2,2,1
Cleome simplicifolia,1157538,1,2,2,1
Cnidium salinum,1157608,14,1,1,1
Acacia crispula,1157613,7,1,1,1
Acanthophyllum cerastioides,1157643,5,5,7,3
