species,inat_taxon_id,first_v2_round,n_v2_rounds_seen,unique_v2_observations,occupied_v2_cells
Silene gallica,53212,1,20,53,22
Salvia hispanica,53219,4,6,6,4
Chamaecrista mimosoides,53263,8,5,6,4
Sisymbrium officinale,53266,2,11,26,7
Maianthemum stellatum,53268,2,16,52,6
Sonchus asper,53269,1,16,41,25
Brassica rapa,53271,1,8,7,7
Sonchus oleraceus,53294,1,20,177,40
Stellaria media,53298,1,20,66,28
Thalictrum fendleri,53299,8,1,1,1
Torilis nodosa,53304,4,6,6,3
Stachys rigida,53306,6,3,3,1
Cerastium fontanum,53307,3,5,7,3
Trifolium dubium,53313,2,16,39,14
Urtica urens,53315,1,3,4,4
Verbena lasiostachys,53316,2,2,4,1
Vicia americana,53320,2,13,25,4
Vicia sativa,53324,1,20,107,23
Vinca major,53326,1,20,114,31
Viola adunca,53328,2,12,27,6
Vicia benghalensis,53333,5,5,4,4
Acacia dealbata,53343,1,9,22,9
Acacia melanoxylon,53344,1,8,15,7
Acacia cochlearis,53345,4,3,3,2
Aesculus californica,53348,3,2,1,1
Arctostaphylos glandulosa,53353,18,2,2,2
Baccharis pilularis,53359,1,8,12,2
Chrysolepis chrysophylla,53363,3,3,6,1
Corylus cornuta,53374,6,3,13,2
Chrysolepis sempervirens,53386,15,2,2,1
Cornus sericea,53387,1,18,45,10
Eriophyllum confertiflorum,53395,3,8,15,2
Eucalyptus globulus,53398,8,2,2,2
Garrya elliptica,53399,1,1,2,1
Genista monspessulana,53403,1,9,25,7
Heteromeles arbutifolia,53405,1,16,23,2
Holodiscus discolor,53414,2,17,48,2
Lonicera hispidula,53416,2,6,7,1
Oemleria cerasiformis,53419,1,1,1,1
Frangula californica,53423,3,4,4,2
Ribes sanguineum,53435,1,6,8,2
Rosa californica,53437,1,10,15,3
Rubus ursinus,53445,2,2,2,1
Commelina erecta,53478,1,20,528,30
Brickellia eupatorioides,53501,10,3,3,1
Liriodendron tulipifera,53582,2,5,7,5
Ambrosia artemisiifolia,53587,1,11,20,4
Dianella caerulea,53680,1,5,6,1
Melia azedarach,53720,2,19,40,20
Tabebuia heterophylla,53722,2,14,27,7
Cotoneaster adpressus,53775,8,1,1,1
Humulus lupulus,53779,1,10,19,10
Fumaria officinalis,53785,3,13,22,10
Fumaria vaillantii,53786,2,2,2,1
Mitella diphylla,53793,8,1,1,1
Clintonia borealis,53794,2,12,28,3
Abronia umbellata,53801,5,1,1,1
Ilex aquifolium,53856,18,1,1,1
Solanum tuberosum,53858,3,5,6,4
Calochortus venustus,53902,2,2,2,2
Gilia angelensis,53920,8,1,1,1
Galax urceolata,53925,19,1,1,1
Hevea brasiliensis,53940,15,3,3,3
Styphnolobium japonicum,53945,13,1,1,1
Digitalis purpurea,53983,1,20,206,25
Crepis capillaris,54050,1,9,12,5
Pyracantha angustifolia,54053,13,2,2,2
Achillea ptarmica,54055,1,15,38,7
Tragopogon porrifolius,54141,1,9,13,7
Tragopogon dubius,54143,2,15,40,17
Fagus sylvatica,54227,8,1,1,1
Tropaeolum majus,54329,1,20,118,29
Veronica beccabunga,54333,1,19,63,9
Papaver rhoeas,54404,1,18,63,14
Ribes uva-crispa,54429,10,1,1,1
Ribes nigrum,54430,4,5,5,4
Rubus idaeus,54436,3,12,27,8
Carnegiea gigantea,54449,1,7,18,2
Ferocactus cylindraceus,54453,3,5,6,1
Corylus avellana,54491,4,9,18,5
Beta vulgaris,54498,9,1,1,1
Brassica oleracea,54516,19,2,3,1
Tanacetum parthenium,54520,1,16,36,14
Pisum sativum,54522,2,8,12,7
Cardamine pratensis,54531,2,16,39,15
Marrubium vulgare,54605,2,10,20,12
Cypripedium calceolus,54638,2,9,18,7
Platanthera chlorantha,54639,7,9,14,6
Amphitecna latifolia,54657,4,3,2,1
Hemitomes congestum,54663,5,5,9,1
Drosera arcturi,54678,2,4,4,1
Drosera binata,54684,3,4,4,3
Thelymitra venosa,54685,7,2,2,1
Leptospermum scoparium,54699,1,15,34,2
Fuchsia boliviana,54712,1,11,14,7
Laurus nobilis,54759,1,2,2,2
Acer platanoides,54763,6,4,8,5
Rhus glabra,54764,3,2,2,2
Viburnum lentago,54773,8,1,2,1
Cornus drummondii,54776,3,4,6,1
Cornus florida,54777,1,2,2,1
Cornus foemina,54778,1,5,5,2
Sassafras albidum,54795,12,1,1,1
Fraxinus pennsylvanica,54808,10,1,1,1
Rhamnus cathartica,54811,8,1,2,2
Prunus pensylvanica,54833,2,4,3,3
Prunus serotina,54834,9,5,5,5
Prunus virginiana,54835,3,12,19,8
Populus balsamifera,54838,4,5,5,3
Populus tremuloides,54840,6,5,13,4
Salix alba,54841,7,1,1,1
Salix bebbiana,54843,2,12,24,4
Salix discolor,54844,10,2,2,2
Salix nigra,54847,16,1,1,1
Salix petiolaris,54848,3,2,2,1
Trichostema lanceolatum,54875,1,5,8,3
Epidendrum centropetalum,54883,7,3,7,1
Prosthechea abbreviata,54887,17,1,1,1
Epidendrum radicans,54890,1,13,19,2
Eriogonum heracleoides,54897,2,5,7,2
Chaerophyllum bulbosum,54898,2,2,2,2
Crepis pulchra,54905,5,1,1,1
Lupinus albus,54906,9,1,1,1
Cucumis sativus,54919,9,1,1,1
Senecio serra,54922,2,6,8,1
Ficus microcarpa,54982,11,1,1,1
Stapelia gigantea,54990,2,5,7,3
Vaccinium dentatum,54993,4,2,1,1
Scaevola chamissoniana,54994,13,1,1,1
Sida fallax,54995,1,19,44,1
Eriogonum fasciculatum,54999,1,17,47,2
Vauquelinia californica,55008,2,1,1,1
Rhus integrifolia,55009,6,3,3,1
Arabidopsis thaliana,55021,1,12,26,12
Jasione montana,55022,1,14,25,6
Arctostaphylos glauca,55133,15,1,1,1
Arctostaphylos viscida,55135,1,1,1,1
Actinidia chinensis,55149,10,1,1,1
Aristolochia erecta,55188,7,2,5,1
Aristolochia littoralis,55189,1,14,18,10
Coleonema pulchellum,55218,7,2,4,1
Coleonema album,55226,2,1,1,1
Viola sempervirens,55342,6,2,2,1
Acacia baileyana,55345,4,6,6,4
Fragaria chiloensis,55367,1,9,13,4
Crambe maritima,55399,7,2,2,2
Trillium grandiflorum,55402,8,3,3,1
Petunia axillaris,55405,2,8,12,2
Raphanus raphanistrum,55411,1,20,63,24
Amsinckia menziesii,55436,11,1,1,1
Pholistoma auritum,55437,11,1,1,1
Lupinus luteus,55440,1,3,3,3
Onobrychis viciifolia,55441,1,19,36,13
Trifolium lupinaster,55443,1,18,45,5
Lamium amplexicaule,55459,1,20,229,24
Allium thunbergii,55504,8,2,2,1
Allium triquetrum,55505,1,18,61,12
Allium angulosum,55506,3,7,8,4
Castilleja densiflora,55508,8,3,3,1
Ribes aureum,55544,2,4,5,4
Bellis perennis,55563,1,20,130,23
Senecio inaequidens,55607,1,16,39,6
Solanum dulcamara,55620,1,20,187,20
Cypripedium candidum,55628,15,1,1,1
Cypripedium passerinum,55630,6,12,14,4
Trifolium nigrescens,55631,5,4,4,3
Orthoceras strictum,55664,10,2,4,2
Veronica persica,55666,1,20,324,31
Sagina procumbens,55667,3,8,8,6
Ornithopus perpusillus,55668,18,1,1,1
Linum bienne,55679,1,11,11,7
Centaurea jacea,55713,1,18,63,9
Teucrium chamaedrys,55717,4,6,6,3
Pterocephalus lasiospermus,55720,8,5,8,1
Silene vulgaris,55721,1,20,88,17
Geranium pratense,55722,1,20,587,16
Symphytum officinale,55724,1,15,27,10
Cymbalaria muralis,55727,1,20,159,27
Lathyrus tuberosus,55729,1,20,597,15
Spergularia rubra,55730,1,10,17,7
Potentilla norvegica,55732,2,16,20,9
Chaerophyllum temulum,55733,5,3,3,2
Sedum acre,55734,2,17,62,13
Sanguisorba minor,55736,7,4,5,3
Viola tricolor,55739,1,20,174,14
Trifolium repens,55745,1,20,649,56
Veronica arvensis,55748,1,15,31,10
Veronica serpyllifolia,55749,1,20,131,20
Geum rivale,55750,3,18,65,15
Valerianella locusta,55752,10,1,1,1
Geranium platyanthum,55755,5,5,6,3
Geranium phaeum,55756,1,19,109,6
Chelidonium majus,55757,1,20,135,18
Silene dioica,55759,1,20,84,12
Viola arvensis,55760,1,20,193,17
Euphorbia cyparissias,55766,2,12,15,7
Claytonia sibirica,55767,1,12,16,5
Crocus vernus,55769,5,2,3,2
Erica cinerea,55775,1,15,29,4
Erica vagans,55777,1,9,27,2
Petasites frigidus,55780,2,19,106,8
Adoxa moschatellina,55790,3,15,43,13
Luzula campestris,55795,2,2,1,1
Fritillaria meleagris,55797,6,3,8,2
Tulipa sylvestris,55798,1,12,53,5
Leucojum aestivum,55809,1,11,15,8
Prunus spinosa,55811,2,8,11,4
Corydalis solida,55814,4,10,33,5
Primula veris,55819,2,15,45,9
Rumex acetosa,55821,2,12,13,7
Draba verna,55823,4,5,6,3
Veronica filiformis,55825,3,7,17,7
Myosotis sylvatica,55826,1,15,29,9
Helleborus foetidus,55827,8,1,1,1
Lamium maculatum,55828,1,20,314,10
Cardamine hirsuta,55829,2,8,10,7
Glechoma hederacea,55830,1,20,111,17
Prunus cerasifera,55837,1,5,9,3
Cochlearia officinalis,55838,1,7,6,2
Primula elatior,55840,4,4,8,2
Vinca minor,55844,2,18,147,12
Viola odorata,55845,1,18,106,10
Salix caprea,55846,2,12,16,4
Euonymus europaeus,55847,2,11,21,7
Narcissus pseudonarcissus,55848,14,1,1,1
Petasites hybridus,55850,19,1,1,1
Lamium purpureum,55851,1,20,454,13
Brunnera macrophylla,55852,19,1,1,1
Datura stramonium,55854,1,20,97,27
Cornus mas,55858,8,1,2,1
Cyclamen coum,55859,20,1,4,1
Lamium album,55876,1,20,532,14
