species,inat_taxon_id,target_cell_order,cell_id,old_metadata_records,old_unique_observers,cell_center_latitude,cell_center_longitude,min_distance_to_previous_selected_km
Tridax procumbens,169944,4,90,2,2,12.839588406904143,-170.0,8630.562389643572
Tridax procumbens,169944,5,66,6,2,-12.839588406904156,70.0,5253.69314446163
Tridax procumbens,169944,6,93,2,2,12.839588406904143,-110.0,5253.69314446163
Ficaria verna,204321,1,131,5,5,41.81031489577858,-70.0,
Ficaria verna,204321,2,138,2,2,41.81031489577858,70.0,9887.366118639853
Ficaria verna,204321,3,134,4,4,41.81031489577858,-10.0,4866.0904898717545
Ficaria verna,204321,4,154,5,5,62.73395554926718,30.0,3483.9505736017595
Ficaria verna,204321,5,136,3,3,41.81031489577858,30.0,2326.6059012422766
Ficaria verna,204321,6,152,14,14,62.73395554926718,-10.0,2004.7725461811929
Sphagneticola trilobata,246102,1,60,2,1,-12.839588406904156,-50.0,
Sphagneticola trilobata,246102,2,87,2,2,0.0,130.0,18587.415378964677
Sphagneticola trilobata,246102,3,109,6,5,26.387799961242997,-150.0,9012.473043495158
Sphagneticola trilobata,246102,4,65,4,4,-12.839588406904156,50.0,8923.68456359248
Sphagneticola trilobata,246102,5,99,2,2,12.839588406904143,10.0,5253.69314446163
Sphagneticola trilobata,246102,6,71,4,4,-12.839588406904156,170.0,4634.419755523541
Turnera subulata,327909,1,86,7,7,0.0,110.0,
Turnera subulata,327909,2,78,2,2,0.0,-50.0,17791.212837365263
Turnera subulata,327909,3,81,3,3,0.0,10.0,6671.704814011973
Turnera subulata,327909,4,61,3,3,-12.839588406904156,-30.0,2626.8465722308147
Turnera subulata,327909,5,103,2,2,12.839588406904143,90.0,2626.8465722308147
Turnera subulata,327909,6,80,2,1,0.0,-10.0,2223.9016046706574
Asystasia intrusa,344320,1,55,3,3,-12.839588406904156,-150.0,
Asystasia intrusa,344320,2,83,4,3,0.0,50.0,17388.26786980511
Asystasia intrusa,344320,3,105,4,4,12.839588406904143,130.0,8923.68456359248
Asystasia intrusa,344320,4,81,2,2,0.0,10.0,4447.803209341317
Asystasia intrusa,344320,5,85,2,2,0.0,90.0,4447.803209341317
Asystasia intrusa,344320,6,47,2,2,-26.387799961242997,50.0,2934.1935338768317
Scaevola taccada,363481,1,113,2,2,26.387799961242997,-70.0,
Scaevola taccada,363481,2,67,3,2,-12.839588406904156,90.0,17441.295883485058
Scaevola taccada,363481,3,54,2,2,-12.839588406904156,-170.0,10746.274930988839
Scaevola taccada,363481,4,109,3,3,26.387799961242997,-150.0,4868.419301854908
Scaevola taccada,363481,5,83,4,4,0.0,50.0,4634.419755523541
Scaevola taccada,363481,6,70,2,2,-12.839588406904156,150.0,4332.031811359732
Pemphis acidula,425753,1,84,4,4,0.0,70.0,
Pemphis acidula,425753,2,55,5,5,-12.839588406904156,-150.0,15380.694686512381
Pemphis acidula,425753,3,106,2,2,12.839588406904143,150.0,7204.408687529314
Pemphis acidula,425753,4,53,3,3,-26.387799961242997,170.0,4430.030886734926
Pemphis acidula,425753,5,67,2,2,-12.839588406904156,90.0,2626.8465722308147
Pemphis acidula,425753,6,87,2,2,0.0,130.0,2626.8465722308147
Chamaenerion angustifolium,564969,1,129,3,3,41.81031489577858,-110.0,
Chamaenerion angustifolium,564969,2,138,2,2,41.81031489577858,70.0,10716.91180318517
Chamaenerion angustifolium,564969,3,142,2,2,41.81031489577858,150.0,6366.363882617295
Chamaenerion angustifolium,564969,4,152,2,2,62.73395554926718,-10.0,5483.691263562674
Chamaenerion angustifolium,564969,5,132,10,8,41.81031489577858,-50.0,3483.9505736017595
