tranche,species,n_classifiable,D,C_star,S_star,organization_state,maximum_pairwise_span_km,frag_100km,frag_250km,frag_500km,frag_multiscale,valid_dated_photos,eligible_local_dated_pairs,same_morph_local_dated_pairs,cross_morph_local_dated_pairs,phenology_proxy_gate,phenology_delta_days,phenology_within_species_perm_p
discovery,Desmanthus illinoensis,66,0.2355371900826446,True,False,local_cooccurrence_only,1874.0191890520964,0.8484848484848485,0.3484848484848485,0.0,0.398989898989899,66,51,37,14,True,11.0,0.240532241555783
discovery,Diplacus mephiticus,68,0.5627162629757786,True,False,local_cooccurrence_only,573.7879052506904,0.05882352941176472,0.0,0.0,0.019607843137254905,68,760,360,400,True,2.0,0.358
discovery,Disphyma crassifolium,47,0.4717066545948393,True,True,cooccurrence_and_segregation,19360.608462751097,0.851063829787234,0.7021276595744681,0.5531914893617021,0.7021276595744682,47,31,21,10,True,13.5,0.4092276830491474
discovery,Drosera spatulata,43,0.6803677663601947,True,True,cooccurrence_and_segregation,9376.714794242156,0.813953488372093,0.39534883720930236,0.39534883720930236,0.5348837209302325,43,51,22,29,True,9.5,0.842
discovery,Echium gaditanum,62,0.2814776274713838,True,False,local_cooccurrence_only,348.01486338302516,0.0,0.0,0.0,0.0,62,930,680,250,True,20.0,0.064
discovery,Echium rosulatum,53,0.4841580633677466,True,True,cooccurrence_and_segregation,729.3788599070106,0.16981132075471694,0.0,0.0,0.05660377358490565,53,297,203,94,True,5.0,0.423
discovery,Epacris obtusifolia,41,0.2141582391433669,True,False,local_cooccurrence_only,2026.012309218682,0.3414634146341463,0.1707317073170732,0.07317073170731703,0.19512195121951217,41,234,164,70,True,9.0,0.457
discovery,Erechtites hieraciifolius,47,0.4762335898596649,False,True,spatial_segregation_only,19675.015951793695,0.9787234042553191,0.9148936170212766,0.6808510638297872,0.8581560283687942,47,0,0,0,False,,
discovery,Erigeron foliosus,50,0.6024,True,False,local_cooccurrence_only,1372.0957509246964,0.31999999999999995,0.31999999999999995,0.0,0.2133333333333333,50,259,96,163,True,-8.0,0.199
discovery,Eriogonum latifolium,70,0.2240816326530612,True,True,cooccurrence_and_segregation,717.0794345894809,0.19999999999999996,0.0,0.0,0.06666666666666665,70,979,810,169,True,-7.0,0.557
discovery,Eriophorum vaginatum,45,0.345679012345679,False,False,unresolved_photo_state,8982.933019841688,0.9777777777777777,0.9111111111111111,0.28888888888888886,0.7259259259259259,45,0,0,0,False,,
discovery,Erythranthe erubescens,45,0.5698765432098767,True,False,local_cooccurrence_only,415.5854121603235,0.0444444444444444,0.0,0.0,0.0148148148148148,45,491,192,299,True,2.0,0.596
discovery,Erythrina humeana,52,0.2921597633136095,True,False,local_cooccurrence_only,1132.979415181869,0.25,0.0,0.0,0.08333333333333333,52,310,240,70,True,21.5,0.012
discovery,Euonymus obovatus,41,0.4997025580011898,True,False,local_cooccurrence_only,1258.6288729292803,0.5609756097560976,0.09756097560975607,0.024390243902439046,0.22764227642276424,41,82,39,43,True,6.0,0.211
discovery,Eupatorium altissimum,55,0.1943801652892562,False,True,spatial_segregation_only,2231.9102769545907,0.9090909090909091,0.4181818181818182,0.0,0.4424242424242424,55,30,29,1,False,,
