cohort,species,n_classifiable,D
reserve,Nemastylis geminiflora,52,0.573224852071006
reserve,Nuphar lutea,62,0.148283038501561
reserve,Nymphoides indica,57,0.245614035087719
reserve,Oenothera primiveris,68,0.112024221453287
reserve,Oenothera speciosa,47,0.327750113173382
reserve,Olearia arborescens,62,0.120707596253902
reserve,Ononis natrix,67,0.029405212742259
reserve,Opuntia fragilis,58,0.2705112960761
reserve,Opuntia humifusa,61,0.0634238108035474
reserve,Opuntia macrorhiza,52,0.142011834319526
reserve,Ornithogalum umbellatum,69,0.0562906952320941
reserve,Ornithopus pinnatus,59,0.0
reserve,Osmorhiza berteroi,52,0.173816568047337
reserve,Oxalis acetosella,53,0.106799572801709
reserve,Oxalis incarnata,58,0.131391200951249
reserve,Oxalis smalliana,49,0.589754269054561
reserve,Palafoxia arida,46,0.121928166351607
reserve,Palafoxia texana,69,0.346145767695862
reserve,Palustricodon aparinoides,62,0.0624349635796044
reserve,Papaver somniferum,50,0.6144
reserve,Patersonia sericea,75,0.284444444444444
reserve,Pavonia hastata,55,0.258512396694215
reserve,Pedicularis sylvatica,41,0.510410469958358
reserve,Penstemon davidsonii,50,0.2176
reserve,Perideridia kelloggii,82,0.0475907198096372
reserve,Persicaria capitata,68,0.332612456747405
reserve,Phacelia hastata,40,0.22625
reserve,Philotheca spicata,49,0.51228654727197
reserve,Phyllota phylicoides,50,0.0392000000000001
reserve,Physocarpus malvaceus,69,0.0831758034026464
reserve,Pigea calycina,55,0.462148760330579
reserve,Pimelea prostrata,59,0.0333237575409364
reserve,Pittocaulon praecox,62,0.120707596253902
reserve,Platysace lanceolata,72,0.0
reserve,Plumbago zeylanica,58,0.0665873959571937
reserve,Polygala virgata,40,0.62875
reserve,Pontederia azurea,52,0.370562130177515
reserve,Portulaca amilis,74,0.0785244704163623
reserve,Portulaca pilosa,66,0.0592286501377409
reserve,Portulaca umbraticola,49,0.603915035401916
reserve,Primula pauciflora,46,0.52930056710775
reserve,Primula vulgaris,72,0.334876543209876
reserve,Prunus ilicifolia,48,0.254340277777778
reserve,Pseudognaphalium californicum,68,0.136245674740484
reserve,Pseudorchis albida,46,0.520793950850662
reserve,Ptilotus exaltatus,48,0.0807291666666665
reserve,Pulmonaria mollis,60,0.0650000000000001
reserve,Pulsatilla pratensis,41,0.497323022010708
reserve,Pultenaea spinosa,51,0.0
reserve,Quincula lobata,73,0.154250328391818
reserve,Rafinesquia californica,53,0.0
reserve,Rafinesquia neomexicana,62,0.0920915712799166
reserve,Ranunculus auricomus,73,0.0
reserve,Ranunculus glaberrimus,72,0.0273919753086418
reserve,Ranunculus glacialis,67,0.330585876587213
reserve,Ranunculus polyanthemos,75,0.051911111111111
reserve,Raphanus raphanistrum,58,0.483353151010702
reserve,Ratibida pinnata,51,0.0753556324490581
reserve,Rhexia alifanus,45,0.401975308641975
reserve,Rhododendron columbianum,50,0.0392000000000001
reserve,Richardia grandiflora,58,0.06718192627824
reserve,Roldana barba-johannis,54,0.0
reserve,Romanzoffia sitchensis,66,0.11386593204775
reserve,Rosa rubiginosa,46,0.673913043478261
reserve,Rosa woodsii,54,0.546639231824417
reserve,Rubus hispidus,55,0.035702479338843
reserve,Rubus parviflorus,52,0.173816568047337
reserve,Rubus pubescens,58,0.0992865636147443
reserve,Ruellia metziae,70,0.0281632653061223
reserve,Ruellia simplex,63,0.398589065255732
reserve,Sabatia angularis,64,0.50439453125
reserve,Sabatia campestris,65,0.345562130177515
reserve,Sagittaria platyphylla,55,0.035702479338843
reserve,Salsola australis,40,0.29625
reserve,Salvia coccinea,54,0.172153635116598
reserve,Salvia longispicata,50,0.5376
reserve,Salvia lyrata,51,0.148404459823145
reserve,Salvia misella,48,0.542534722222222
reserve,Salvia nemorosa,41,0.331945270672219
reserve,Salvia texana,58,0.190249702734839
reserve,Salvia tiliifolia,50,0.4296
reserve,Sambucus nigra,63,0.0619803476946335
reserve,Scaevola crassifolia,48,0.259548611111111
reserve,Scaevola nitida,46,0.499054820415879
reserve,Schelhammera undulata,47,0.555907650520598
reserve,Scutellaria serrata,62,0.31789802289282
reserve,Sedum acre,55,0.0
reserve,Senecio odoratus,72,0.0273919753086418
reserve,Senecio viscosus,67,0.139897527288928
reserve,Senna lindheimeriana,71,0.0547510414600276
reserve,Sidalcea sparsifolia,52,0.503698224852071
reserve,Silene dioica,62,0.205515088449532
reserve,Silene gallica,46,0.234404536862004
reserve,Silene rotundifolia,54,0.200960219478738
reserve,Silphium integrifolium,53,0.0370238519045925
reserve,Simethis mattiazzi,72,0.24266975308642
reserve,Smallanthus uvedalia,47,0.0416478044363966
reserve,Solanum americanum,44,0.304752066115702
reserve,Solidago hispida,72,0.106095679012346
reserve,Sphaerolobium minus,55,0.035702479338843
reserve,Spiraea douglasii,46,0.388468809073724
reserve,Spiranthes australis,54,0.336762688614541
reserve,Stellaria pubera,63,0.0312421264802218
reserve,Stephanomeria exigua,74,0.0785244704163623
reserve,Strophostyles helvola,41,0.455681142177275
reserve,Symphyotrichum pilosum,86,0.0673336938885882
reserve,Tagetes minuta,50,0.48
reserve,Tanacetum parthenium,77,0.098498903693709
reserve,Tecoma stans,55,0.035702479338843
reserve,Thalictrum pubescens,71,0.0547510414600276
reserve,Thalictrum tuberosum,53,0.139551441794233
reserve,Thelesperma filifolium,71,0.0
reserve,Thunbergia grandiflora,43,0.379664683612764
reserve,Thymbra capitata,42,0.645124716553288
reserve,Thymus praecox,45,0.556049382716049
reserve,Tradescantia occidentalis,77,0.235452858829482
reserve,Trichostema lanceolatum,44,0.517561983471074
reserve,Trifolium campestre,72,0.0540123456790125
reserve,Trifolium depauperatum,47,0.537799909461295
reserve,Trifolium hybridum,56,0.191326530612245
reserve,Trifolium lupinaster,51,0.549019607843137
reserve,Trigonotis peduncularis,73,0.0795646462750986
reserve,Tropaeolum tricolor,43,0.421849648458626
reserve,Tulipa sylvestris,62,0.152445369406868
reserve,Verbesina occidentalis,52,0.0377218934911243
reserve,Vernonia gigantea,47,0.516976007243096
reserve,Vernonia noveboracensis,51,0.476739715494041
reserve,Veronica alpina,49,0.356518117451062
reserve,Veronica anagallis-aquatica,57,0.132348414896891
reserve,Veronica elliptica,42,0.359410430839002
reserve,Veronica lyallii,61,0.122547702230583
reserve,Veronica regina-nivalis,46,0.439508506616257
reserve,Viburnum edule,63,0.0917107583774252
reserve,Vicia ludoviciana,43,0.510546241211466
reserve,Vicia onobrychioides,53,0.106799572801709
reserve,Vicia sativa,45,0.601481481481482
reserve,Vicia sepium,43,0.466197944835046
reserve,Vicia tetrasperma,49,0.0783007080383175
reserve,Viola adunca,52,0.333579881656805
reserve,Viola cornuta,52,0.42085798816568
reserve,Viola filicaulis,46,0.0
reserve,Viola hastata,62,0.0317377731529656
reserve,Voyria aphylla,56,0.068877551020408
reserve,Wahlenbergia capensis,49,0.478967097042899
reserve,Xyris ambigua,68,0.160899653979239
reserve,Xyris caroliniana,67,0.498552016039207
reserve,Zinnia elegans,48,0.426215277777778
reserve,Zizia aptera,77,0.0
