null_H0_delta,pure_C_count,pure_S_count
5.136950625752705,88,4
5.750468514272484,89,4
12.424088144974966,84,4
12.197447859792035,85,2
7.421786733075002,90,2
9.07358628269051,89,2
11.501154402211546,89,3
12.662296108085439,86,6
11.501154402211546,87,3
4.511928141118025,89,1
2.4462827212262033,89,4
23.67752483433187,93,1
21.06618232439864,91,4
12.634047866548231,90,4
3.3914877327195465,85,5
16.795932261872284,90,5
9.115955429622819,88,2
6.333929053338073,87,1
2.797652493735662,88,5
9.998520813750108,86,3
11.46288214349273,90,4
4.463374905212033,82,6
5.960754144481961,86,6
10.110338587956113,87,3
23.36070532146136,84,1
3.163998726242934,86,3
10.029515742447854,87,4
8.429623287613639,89,4
2.2250290097924017,83,3
13.164569334904675,85,7
8.78530855232132,90,4
9.715897678823918,88,2
4.943952359452183,83,6
61.20360947525364,87,1
6.046930157997125,88,3
10.188665779712135,87,3
20.39936951499996,92,5
11.535288075521587,90,5
12.245125449459465,87,4
9.966593211040408,90,5
9.114117301141754,85,1
13.17594613130293,88,7
10.05477753396431,85,5
7.6124184814218046,83,4
10.988177532301119,92,3
17.376767602733153,90,5
11.029707475549069,87,4
19.042132919554447,86,3
10.211419372508642,89,3
12.506953702248698,87,4
15.581266267733461,89,3
10.89278830307937,89,2
1.0379441866546468,90,2
3.764374994432293,92,7
10.508368114814635,88,7
8.719719390589795,89,3
4.169473067315366,93,4
6.77956315026754,90,3
6.294515219753114,86,3
11.69308556748372,87,5
8.203965897815765,87,2
7.3468840686681345,88,2
6.857633866956677,88,5
8.80906905306945,86,2
9.0043215052549,88,6
3.5334610373734394,90,6
13.728567672993329,91,4
2.430316068654339,89,1
20.116683675439496,86,3
17.30321570782732,89,5
11.535288075521587,90,3
23.67752483433187,89,1
11.708775074818718,86,2
5.978903582484165,86,6
20.365235841689923,87,3
5.716993411985612,88,5
0.8537635117380327,90,3
17.00883082063082,91,5
2.280342849569751,84,3
9.288923619920007,89,5
7.919103614155812,89,4
3.5804359923085185,87,3
15.439112936720031,89,4
22.4907744086044,90,4
9.667578844931736,87,2
16.529984933812294,91,8
10.84794122048165,89,7
16.95194355452427,82,3
12.584091153646149,88,7
12.233543901896157,89,3
11.375660145912045,83,6
11.535288075521587,84,1
18.962488776536112,91,5
15.904665649435689,90,3
5.380189579584856,92,2
12.852546749600702,87,7
9.681952107390627,90,5
40.934135341041774,89,4
5.994377519471109,90,4
4.827646929888716,88,2
4.2681022351669835,91,2
11.397833219456333,88,10
2.76509224675482,87,5
10.825187627685143,87,3
2.430316068654339,87,1
1.5358512092900942,87,5
11.519184326324018,87,6
32.84501512773943,87,1
17.243444138126435,88,8
10.154532106402094,90,1
19.05567816294826,89,4
8.628698451173205,87,5
3.7704639050208515,90,5
34.93385630450228,86,3
1.5358512092900942,91,3
3.7040171787059504,86,7
4.567241980895375,88,1
20.76724089295762,92,3
9.169431140919103,88,3
8.321379736047726,89,4
11.569421748831628,91,3
5.59341222558818,89,3
10.408584580026675,86,4
15.30137249348909,86,6
4.845758638106532,85,5
12.572714357247895,89,5
6.825073619975835,88,5
15.999592534338523,88,7
12.15430597709265,90,3
12.11166628255421,88,5
13.219883174682025,90,9
6.131974601733688,87,2
5.514863010942263,91,3
12.74456708810871,90,4
6.569642175712358,89,2
4.321783175155997,88,3
6.311175460541566,87,3
10.791053954375101,88,5
5.583130357562346,91,3
1.5670112099279256,91,4
16.017064788767435,86,6
10.179656725723119,91,6
11.02231120561116,91,7
7.745573883896395,88,6
10.200042576110388,90,5
1.61433917331171,88,4
8.384943212489315,89,5
5.141605069883905,87,1
20.755864096559364,89,5
8.38014628492278,82,7
5.983541817327383,86,2
10.874013841703912,89,8
11.438546292423835,89,4
8.368035989202886,88,5
9.688704299046476,85,3
9.361685675338267,89,4
22.026504868381593,87,3
9.376797706678198,87,5
31.450493984413256,86,2
5.545645759645214,88,6
3.6145696656185597,92,3
11.158479130792259,89,6
34.99074357060883,87,3
29.099640044684897,90,1
3.6600801353268544,88,1
27.625343047678378,84,4
5.6616795722082625,89,3
3.586665859126966,89,4
4.106506669813755,89,4
16.72040704515792,84,4
9.114117301141754,91,7
20.21660791046492,87,4
6.928364332401431,91,6
5.466001616626878,87,2
14.779395792541104,87,4
10.193401264530607,91,3
16.361687394426767,88,2
2.67407130733823,91,1
11.578505630594998,88,4
9.825504828392182,90,6
6.370018738266733,89,6
28.583607660324397,85,3
14.338784128009028,88,4
13.07285085728454,85,6
6.311175460541566,85,5
9.811577332875416,87,4
8.696965797793288,87,5
9.169431140919103,88,5
17.30321570782732,91,9
2.5386779491607663,89,5
10.102380325114018,87,7
12.923955685853635,86,8
9.864632568002282,88,5
2.7403826111095624,86,2
9.300300416318262,86,1
16.12018164400341,89,4
5.406630558034205,86,2
11.443343689164628,88,6
12.222852489445447,87,6
-0.3777754568593952,88,1
12.313188044914494,88,5
8.546978517918692,83,5
16.29354899736367,86,2
5.605883950358853,87,5
9.700822229431914,89,6
56.45101428610883,88,1
9.882323298849602,90,2
4.004506969695123,88,4
21.88185583426262,88,2
9.408194160807986,87,4
16.986077227834315,89,7
10.866299912959175,86,5
6.202941450649112,90,5
8.268184291612993,88,6
7.8259693646066175,82,2
11.08747491887346,88,4
3.1067366769562117,89,4
18.99662244984615,84,5
11.580798545229882,88,9
2.8621194583694742,84,3
9.256834300308231,86,8
29.221647804753133,89,1
16.40388452686095,89,2
-0.33226498715110053,92,3
23.732838674109217,88,5
20.469179202108478,89,2
7.472127713735537,83,6
3.615928281807105,88,4
15.333838076807577,85,6
5.198178451891014,85,4
2.156761663172319,89,5
11.580798545229882,86,5
13.540876492302699,86,1
1.249779313156914,86,4
6.991314766022396,92,4
12.276313737160882,89,7
2.3386220062082037,87,3
9.344237459697357,88,9
7.283352837541168,89,4
10.954043858991078,91,5
