species,inat_taxon_id,family,family_taxon_id,retrieved_taxon_name,retrieved_taxon_rank,retrieval_status,source_url,retrieved_at_utc
Calochortus concolor,64420,Liliaceae,47328.0,Calochortus concolor,species,ok,https://api.inaturalist.org/v1/taxa/64420,2026-09-10T06:52:50.478467+00:00
Calochortus flexuosus,64430,Liliaceae,47328.0,Calochortus flexuosus,species,ok,https://api.inaturalist.org/v1/taxa/64430,2026-09-10T06:52:50.489015+00:00
Calochortus leichtlinii,52542,Liliaceae,47328.0,Calochortus leichtlinii,species,ok,https://api.inaturalist.org/v1/taxa/52542,2026-09-10T06:52:50.513639+00:00
Calochortus monophyllus,64441,Liliaceae,47328.0,Calochortus monophyllus,species,ok,https://api.inaturalist.org/v1/taxa/64441,2026-09-10T06:52:50.628113+00:00
Calycadenia multiglandulosa,56863,Asteraceae,47604.0,Calycadenia multiglandulosa,species,ok,https://api.inaturalist.org/v1/taxa/56863,2026-09-10T06:52:50.669014+00:00
Calystegia tuguriorum,400343,Convolvulaceae,52345.0,Calystegia tuguriorum,species,ok,https://api.inaturalist.org/v1/taxa/400343,2026-09-10T06:52:50.681792+00:00
Campanula latifolia,159760,Campanulaceae,48040.0,Campanula latifolia,species,ok,https://api.inaturalist.org/v1/taxa/159760,2026-09-10T06:52:50.706754+00:00
Campanula patula,159763,Campanulaceae,48040.0,Campanula patula,species,ok,https://api.inaturalist.org/v1/taxa/159763,2026-09-10T06:52:50.824949+00:00
Cardamine amara,132481,Brassicaceae,47204.0,Cardamine amara,species,ok,https://api.inaturalist.org/v1/taxa/132481,2026-09-10T06:52:50.859155+00:00
Cardamine concatenata,60438,Brassicaceae,47204.0,Cardamine concatenata,species,ok,https://api.inaturalist.org/v1/taxa/60438,2026-09-10T06:52:50.866518+00:00
Cardamine hirsuta,55829,Brassicaceae,47204.0,Cardamine hirsuta,species,ok,https://api.inaturalist.org/v1/taxa/55829,2026-09-10T06:52:51.022933+00:00
Carlina hispanica,333950,Asteraceae,47604.0,Carlina hispanica,species,ok,https://api.inaturalist.org/v1/taxa/333950,2026-09-10T06:52:51.061351+00:00
Carlina vulgaris,118834,Asteraceae,47604.0,Carlina vulgaris,species,ok,https://api.inaturalist.org/v1/taxa/118834,2026-09-10T06:52:51.088475+00:00
